Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_STD, R1p_err_MC, red. chi-sq
901,0,100,14.2507377848,0.148729944146,8.1894929184
902,0,150,14.2951926614,0.138043462477,6.9950628559
903,0,200,14.0443334809,0.149108247703,10.5303270887
904,0,250,14.0743807893,0.144453036722,8.45960797995
905,0,300,13.8177573521,0.136389498429,10.8866582568
906,0,350,13.6884279847,0.144576016646,9.33218613123
907,0,400,13.5576405705,0.136881511725,10.5569814095
908,0,450,13.453599666,0.143769197417,11.8983564322
909,0,500,13.2606816976,0.143366910646,5.61596460215
910,0,550,13.1738020866,0.119692502446,12.6583990333
911,0,600,12.9801459492,0.137374272552,11.0808177179
912,0,700,12.7157900245,0.135216570431,8.52606697528
913,0,800,12.3747306873,0.129830759646,7.62783964652
914,0,900,12.0618780935,0.125551765066,10.5520676114
915,0,1000,11.8950219865,0.124966190471,9.03001750915
916,0,1200,11.4623380534,0.118052017204,9.65331044507
917,0,1400,10.9474084335,0.10949190039,14.435070809
918,0,1600,10.7493053645,0.105034477485,9.80203660334
919,0,1800,10.366997872,0.118097597904,8.21642792959
920,0,2000,10.0917340612,0.116194856927,14.1655086159
921,-328,1500,11.3071595489,0.126731616895,14.5932049422
922,-656,1500,10.9869057435,0.121329252156,14.2276738525
923,-984,1500,9.91853878817,0.115727916644,13.1548214871
924,-1312,1500,8.83393282753,0.101398161276,20.121876192
925,-1640,1500,7.50819431466,0.0965064484606,18.5711810391
926,-1968,1500,6.61036148725,0.0906041904117,13.8158729212
927,-2296,1500,5.8272773236,0.0925751084782,22.5148290525
928,-2625,1500,5.02406399592,0.0884173817483,23.2734701489
929,-2953,1500,4.46880486941,0.0765965702798,26.7326142282
930,-3281,1500,3.99533670425,0.088335714864,21.2863333323
931,-3609,1500,3.62316010558,0.0788551566068,24.9538388354
932,-3937,1500,3.33848476152,0.0794334853206,23.9801456048
941,328,1500,9.9115972422,0.1113388647,12.9439974467
942,656,1500,8.55409148495,0.0991117573878,12.5855973544
943,984,1500,7.09488396354,0.0957529180251,18.0812496001
