Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
0.0,400.0,14.4788862297,0.192666176287,14.4788862297,0.192666176287,14.6652603004,14.6652603004,-0.186374070666,-0.186374070666
-87.0,400.0,14.6867104678,0.217686760971,15.2798665384,0.227984705307,14.5782121327,15.1662355539,0.108498335089,0.113630984453
-175.0,400.0,13.779598694,0.185423461543,16.0059460233,0.220914670979,13.5275658933,15.7056725694,0.252032800686,0.300273453942
-262.0,400.0,12.1491248999,0.155776637704,16.4398275685,0.222608709695,12.033816352,16.2750487708,0.115308547937,0.164778797715
-350.0,400.0,10.4784982168,0.155684513381,16.8564824811,0.274880468938,10.499599316,16.8937391095,-0.0211010992199,-0.0372566283101
-437.0,400.0,9.00042503058,0.146054023664,17.1790964553,0.320377716446,9.17108458723,17.5534477924,-0.170659556647,-0.374351337106
-525.0,400.0,8.25938315087,0.129267727595,18.7870753079,0.35195158646,8.0717617433,18.2762467099,0.187621407573,0.510828597962
-612.0,400.0,7.14246080327,0.127580001401,18.8338307265,0.426232026681,7.20675209743,19.0486215112,-0.0642912941636,-0.214790784671
-700.0,400.0,6.50737537861,0.128350145197,19.8577487441,0.521422464863,6.51689012133,19.8964023863,-0.00951474271849,-0.0386536422939
-787.0,400.0,6.04359821291,0.117742116899,21.1234078619,0.573528474409,5.97840914751,20.8058682574,0.0651890653981,0.317539604439
-875.0,400.0,5.55753132409,0.11643206255,21.8723374936,0.673577674362,5.54579363026,21.8044331008,0.0117376938309,0.0679043928263
-962.0,400.0,5.20898510175,0.103828016932,22.9133957884,0.704371862567,5.20367902961,22.8773992624,0.00530607213991,0.035996526049
-1050.0,400.0,5.0498644272,0.11942812426,25.0450430999,0.942362542989,4.92479491158,24.0581664532,0.125069515617,0.986876646664
87.0,400.0,13.6996294092,0.174031946875,14.2460903764,0.182264745662,13.6523497808,14.1965741261,0.0472796284169,0.0495162503387
175.0,400.0,11.7856057036,0.178956811131,13.6302903121,0.213210263262,11.8896853034,13.7542913978,-0.104079599812,-0.124001085713
262.0,400.0,9.83856044208,0.145105944282,13.1379731941,0.207360022028,9.98636507071,13.3491897036,-0.147804628629,-0.211216509426
350.0,400.0,8.16390085397,0.144608324407,12.7697715124,0.255324072781,8.27728717562,12.9699692366,-0.113386321652,-0.200197724166
437.0,400.0,7.00352425729,0.118675706925,12.7987822834,0.260321838649,6.92319164986,12.6225681903,0.0803326074294,0.176214093105
525.0,400.0,5.90877241779,0.11486027996,12.3871703041,0.31272505911,5.87511173502,12.2955238358,0.0336606827739,0.0916464683337
612.0,400.0,5.15207754583,0.110649673387,12.1841593017,0.369669493819,5.0952441495,11.9942846079,0.0568333963349,0.189874693815
700.0,400.0,4.44402773603,0.117936031797,11.4753989461,0.479115129175,4.50165474453,11.7095086681,-0.0576270084997,-0.23410972203
