Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-10.0,150.0,77.4343400966,2.36761175097,77.7713511723,2.37813446986,77.5378366097,77.8753076699,-0.103496513146,-0.103956497649
-48.0,150.0,77.0298763628,2.68081560916,84.7531944595,2.95533112754,77.9734480169,85.793387851,-0.943571654069,-1.04019339145
-96.0,150.0,67.7447161787,2.53708625095,94.8347869542,3.57627677934,68.7734746685,96.2849249214,-1.02875848979,-1.45013796721
-144.0,150.0,55.4356366181,2.07113816023,105.04424814,3.9798990887,57.1346068799,108.308989395,-1.69897026177,-3.26474125502
-192.0,150.0,46.5423409417,1.73944469726,120.164652455,4.58935088925,47.7486321634,123.347331215,-1.2062912217,-3.18267875935
-240.0,150.0,40.5926792663,1.62561650174,140.396407117,5.78719474619,41.20603942,142.579969264,-0.613360153667,-2.18356214706
-288.0,150.0,36.0504694293,1.69415568583,163.023435191,7.93949120607,36.9611982773,167.291474865,-0.910728847958,-4.26803967307
-336.0,150.0,33.2812868079,1.50646844621,192.210950596,9.06532452191,34.4572610406,199.287493139,-1.17597423268,-7.07654254257
-384.0,150.0,32.3084489653,1.49570714907,233.514460563,11.2979735212,33.2643644059,240.735063435,-0.955915440551,-7.22060287175
-432.0,150.0,32.6830609442,1.38593621687,290.44160097,12.8814455741,33.0468951748,293.823221843,-0.36383423061,-3.38162087298
-480.0,150.0,34.0218400966,1.45835506354,365.951358402,16.3919109142,33.4675552773,359.721197034,0.554284819265,6.23016136854
-528.0,150.0,34.3725676874,1.56588119569,440.352939979,20.9677755628,34.0338875304,435.817877204,0.338680157009,4.53506277442
10.0,150.0,74.0528599469,2.53644037911,74.3748422219,2.54771344746,73.4816096104,73.801052995,0.571250336549,0.573789226933
48.0,150.0,59.5546911792,1.96728140964,65.4885503131,2.16873102599,60.372048244,66.3896047414,-0.817357064826,-0.901054428264
96.0,150.0,40.7063581002,1.76033163755,56.7215174067,2.48136347629,42.0539128579,58.6210305931,-1.34755475769,-1.89951318643
144.0,150.0,27.3584311586,1.42888007923,51.0910901289,2.74573596025,28.2094470958,52.7264023538,-0.851015937229,-1.63531222498
192.0,150.0,18.637521016,1.34339688314,46.5405755633,3.54441833648,19.2521861204,48.1623079748,-0.61466510441,-1.62173241148
240.0,150.0,12.9061810056,1.20118332467,41.8324733091,4.27621263583,13.6489775296,44.4768289345,-0.742796523979,-2.64435562536
288.0,150.0,10.0762960267,1.25050553204,41.2980689575,5.86036912535,10.1045755124,41.4305979392,-0.0282794856831,-0.132528981705
336.0,150.0,7.94706288927,1.17259069767,39.7597247436,7.0561817823,7.79208132013,38.8271076532,0.154981569138,0.932617090442
384.0,150.0,6.51628856474,1.08943044093,38.6907977613,8.22912177861,6.23669772865,36.5788804218,0.279590836087,2.11191733946
