Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
920,-10,600,11.9916373154,0.272882128691,5.53514550608
921,-218,600,11.6074919856,0.246183644164,3.63725793373
922,-436,600,10.1234230462,0.232053348554,5.34978732109
923,-654,600,8.41653085506,0.197463205075,9.15406104884
924,-872,600,7.40282681652,0.170943324273,10.0573496036
925,-1090,600,6.57593385024,0.16521382569,13.4253740116
926,-1308,600,5.90448640609,0.162292319669,17.0415429456
927,-1526,600,5.58231742625,0.154511479838,10.3706077848
928,-1744,600,5.58917742287,0.167493459466,13.7918619205
929,-1962,600,5.26989616034,0.153614100731,10.2069939084
930,-2180,600,5.18285284201,0.15384404953,14.9622140713
931,-2398,600,4.90575310628,0.160113302621,16.114780626
932,218,600,9.86854383642,0.206512816778,6.73964744412
933,654,600,5.79384363845,0.163985035785,13.1862874028
934,1090,600,4.0352327945,0.153467632287,20.5686436301
935,1526,600,3.35044304242,0.153158563312,12.1619213733
936,1962,600,2.97826334251,0.151641447698,17.3168938594
937,2398,600,2.83508177013,0.140532300741,19.4468829639
938,-10,800,11.8323886282,0.237291731239,6.02372258527
939,-291,800,11.8193936663,0.257103447906,3.88013438542
940,-582,800,10.1809040279,0.220368480918,7.22657439281
941,-873,800,8.93719585271,0.193140525435,12.8796473295
942,-1164,800,8.01673928294,0.183142116839,8.81852890944
943,-1455,800,7.31036447337,0.173716467739,9.58282835926
944,-1746,800,6.88922318573,0.178135550286,8.54889420091
945,-2037,800,6.46881946557,0.188757486513,8.85876740001
946,-2328,800,6.18043240758,0.159952685231,8.73184665438
947,-2619,800,5.62135306327,0.153748253148,18.7116909714
948,-2910,800,5.12053487871,0.180086500232,15.1975735835
949,-3201,800,4.50834803549,0.145318879157,15.663566631
950,291,800,9.26012168682,0.217830030708,8.92136751153
951,873,800,5.64641971608,0.148657215336,13.1256172986
952,1455,800,3.97041945941,0.141640844234,16.4464541275
953,2037,800,3.20724937735,0.151053144522,18.7946507233
954,2619,800,3.06979860923,0.153351493439,18.7809382646
955,3201,800,2.80805553555,0.137509589956,24.9969616067
956,-10,1000,11.5146995982,0.238217528362,9.66692740061
957,-364,1000,11.6366677231,0.244589092604,7.27161840162
958,-728,1000,10.8737147712,0.229347480554,5.77625798946
959,-1092,1000,9.37794659392,0.193081445805,6.89489752409
960,-1456,1000,8.70176581891,0.19967346741,8.14267449665
961,-1820,1000,7.91461002697,0.189742795698,11.5451135791
962,-2184,1000,7.37470761394,0.194763200161,4.59361498243
963,-2548,1000,6.55628303818,0.154395666778,11.3064864066
964,-2912,1000,5.65715420195,0.156014487546,11.0838577461
965,-3276,1000,4.86913935859,0.176348000584,9.62125794184
966,-3640,1000,4.28883878134,0.142389463718,20.1304383007
