Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
0.0,400.0,8.155790729,0.189736334,8.155790729,0.189736334,8.20392356577,8.20392356577,-0.0481328367679,-0.0481328367679
-116.0,400.0,8.15650064,0.178292953,8.6183854455,0.193287390347,8.08690031996,8.54293173855,0.0696003200369,0.075453706952
-233.0,400.0,7.128871415,0.166187237,8.64369100611,0.222575605184,7.34869242896,8.93809866398,-0.219821013957,-0.294407657874
-350.0,400.0,6.314927512,0.165463536,9.10985482443,0.29214655575,6.47950840724,9.4004429676,-0.164580895245,-0.290588143167
-466.0,400.0,5.713664955,0.179691288,9.85218973175,0.423572796356,5.7512554129,9.94079889887,-0.0375904578964,-0.0886091671149
-583.0,400.0,5.103124632,0.171718154,10.2837009292,0.536500101781,5.20055526912,10.5881040777,-0.0974306371194,-0.304403148493
-700.0,400.0,4.86585719,0.162224458,11.6077885786,0.659036860625,4.80593810485,11.3643672952,0.0599190851486,0.243421283416
-816.0,400.0,4.479577932,0.151023909,12.0335799407,0.779525008694,4.52987980409,12.2932180836,-0.050301872091,-0.259638142985
-933.0,400.0,4.22864652,0.141435999,12.7389621748,0.910926507334,4.33657845014,13.434103842,-0.107931930138,-0.695141667222
-1050.0,400.0,4.322797398,0.156633875,15.7501216431,1.23593916992,4.20700031976,14.8364103226,0.11579707824,0.91371132049
-1166.0,400.0,4.081577117,0.159799181,16.1235632226,1.51764877677,4.126923584,16.5542288227,-0.045346467001,-0.430665600063
-1283.0,400.0,3.965077518,0.148979416,17.3464159867,1.6816880279,4.08567428913,18.7077191228,-0.120596771128,-1.36130313606
-1400.0,400.0,4.072713446,0.152945894,21.3244281364,2.0265330955,4.07767934664,21.3902263199,-0.00496590064352,-0.0657981835267
116.0,400.0,7.539068571,0.194958524,7.9490273395,0.211354535868,7.50203905543,7.90888364167,0.0370295155687,0.040143697828
233.0,400.0,6.218005571,0.173682535,7.42376268833,0.232614104641,6.38615179964,7.64896198325,-0.168146228637,-0.225199294928
350.0,400.0,5.214633827,0.170583837,7.16714878685,0.301187087203,5.35893768318,7.42193528292,-0.144303856182,-0.254786496072
466.0,400.0,4.591256976,0.146142702,7.20642158346,0.344491230722,4.59884247125,7.22430230249,-0.00758549524667,-0.0178807190328
583.0,400.0,4.054899732,0.13802397,7.00872532271,0.431229152121,4.06752992581,7.04818591615,-0.0126301938056,-0.0394605934457
700.0,400.0,3.530724443,0.141872213,6.18381179391,0.576355865312,3.70501110166,6.89185134473,-0.174286658663,-0.708039550818
816.0,400.0,3.439560068,0.149692841,6.66542373383,0.772654568106,3.45668181494,6.75379934285,-0.0171217469432,-0.0883756090218
933.0,400.0,3.341947512,0.144015179,7.02812733694,0.927537861203,3.27998319315,6.6290426559,0.0619643188491,0.399084681041
1050.0,400.0,3.197584891,0.143770919,6.87149170504,1.13444240773,3.1526427044,6.51686976388,0.0449421866025,0.35462194116
1166.0,400.0,3.108479875,0.142654544,6.88183976843,1.35482230164,3.05948443439,6.41651904501,0.0489954406077,0.465320723425
1283.0,400.0,2.870240181,0.137827722,4.98783054206,1.55580707875,2.98868144542,6.32480219716,-0.118441264421,-1.3369716551
1400.0,400.0,2.941260523,0.143722121,6.33267690663,1.90431810325,2.93439072661,6.24165210445,0.00686979639085,0.0910248021787
0.0,600.0,8.047564213,0.176853962,8.047564213,0.176853962,8.08358048098,8.08358048098,-0.0360162679835,-0.0360162679835
-175.0,600.0,8.168597307,0.216634643,8.6368354458,0.235063631727,8.10992215415,8.57316883029,0.0586751528525,0.0636666155084
-350.0,600.0,7.401106708,0.207140245,9.01289926772,0.277625467257,7.52530125305,9.17935445657,-0.124194545052,-0.166455188855
-525.0,600.0,6.717369589,0.187862094,9.82041661663,0.331694009719,6.78586196559,9.94134846905,-0.0684923765877,-0.120931852413
-700.0,600.0,6.035000514,0.170320431,10.6227484333,0.402145462083,6.15741596264,10.9117849092,-0.122415448636,-0.289036475946
-875.0,600.0,5.716356654,0.167196561,12.2070413742,0.522779524932,5.70240563104,12.1634202069,0.0139510229582,0.0436211672703
-1050.0,600.0,5.351137344,0.175649447,13.5792392042,0.713575878438,5.40356628272,13.7922317678,-0.0524289387168,-0.212992563537
-1225.0,600.0,5.401227659,0.163947658,16.8093851325,0.847347531017,5.22934388661,15.9210205658,0.171883772385,0.888364566652
-1400.0,600.0,5.241302734,0.16283544,19.2710509422,1.04938394667,5.14927227028,18.6779657315,0.0920304637249,0.593085210672
-1575.0,600.0,5.124931076,0.163331675,22.0794576961,1.28878899805,5.13177936049,22.1334949409,-0.00684828449098,-0.0540372448116
-1750.0,600.0,5.096016098,0.160386908,25.7815523323,1.52478942397,5.13230964202,26.1265930389,-0.0362935440164,-0.345040706656
-1925.0,600.0,5.115919341,0.165413165,30.3502902813,1.86807749709,5.08391598533,29.9888634955,0.0320033556682,0.361426785802
-2100.0,600.0,5.156445578,0.154232909,35.6838788854,2.04358604425,4.91304240441,32.4587868353,0.243403173589,3.22509205006
175.0,600.0,7.265216748,0.203761974,7.65660480453,0.221095891927,7.29011173098,7.68361758988,-0.0248949829826,-0.0270127853544
350.0,600.0,6.082437528,0.18624664,7.24551626952,0.249622232778,6.16325123171,7.35382908075,-0.0808137037136,-0.108312811227
525.0,600.0,5.189705351,0.16520179,7.12313444641,0.291684410469,5.16517782517,7.07982803362,0.0245275258305,0.0433064127944
700.0,600.0,4.498209827,0.147712545,6.99421486674,0.34876573125,4.43713074568,6.85000036918,0.06107908132,0.144214497561
875.0,600.0,3.830759831,0.151758502,6.31127769673,0.474508788372,3.9408177309,6.65539970667,-0.1100578999,-0.344122009931
