Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
901,0,100,8.305010605,0.197860401,4.087496288
902,0,150,8.491875021,0.19271159,3.987079125
903,0,200,8.082221531,0.196150406,3.97931809
904,0,250,8.604873526,0.199084304,2.215627115
905,0,300,8.159906487,0.194696149,3.885195089
906,0,350,8.27720006,0.200637111,2.950530534
907,0,400,8.155790729,0.189736334,2.436919796
908,0,450,8.39028684,0.194879119,4.159762984
909,0,500,8.183362831,0.192764156,1.419574508
910,0,550,8.2661844,0.211014645,1.291567355
911,0,600,8.047564213,0.176853962,4.654358899
912,0,700,8.087431035,0.201198718,1.6173682
913,0,800,7.975200488,0.196905656,2.833156269
914,0,900,8.032661079,0.188846011,2.425181661
915,0,1000,7.908903291,0.171070576,3.457619876
916,0,1200,7.656430434,0.182291897,2.546195704
917,0,1400,7.246559181,0.180158307,5.658381389
918,0,1600,7.488018994,0.178900225,3.847774549
919,0,1800,6.797040023,0.18810577,2.074728854
920,0,2000,6.956932453,0.174188174,3.228135391
921,-312,1250,7.665111555,0.177826939,3.692219081
922,-625,1250,7.628606294,0.190758636,1.884019454
923,-937,1250,7.245614306,0.168236319,1.28788944
924,-1250,1250,6.931832108,0.187142119,1.218137344
925,-1562,1250,6.329413846,0.161663924,2.74193136
926,-1875,1250,5.975776218,0.159673598,1.159828467
927,-2187,1250,5.358992731,0.176750454,1.812428491
928,-2500,1250,4.880862942,0.148236685,1.466397881
929,-2812,1250,4.262705403,0.13776172,1.154007009
930,-3125,1250,3.923193298,0.142474238,1.061906267
931,-3437,1250,3.520530891,0.143057564,2.913481796
932,-3750,1250,3.38840632,0.142104246,1.785695078
941,312,1250,6.641198599,0.173469313,1.20305315
942,625,1250,5.883004233,0.168725375,2.157684574
943,937,1250,4.960267835,0.142828253,2.626597589
944,1250,1250,4.391249542,0.154967893,4.392192447
945,1562,1250,4.011580928,0.138562875,0.82807873
946,1875,1250,3.531409125,0.142321942,5.378241609
947,2187,1250,3.518527989,0.139810599,1.700359214
948,2500,1250,3.352278086,0.136691041,6.084053208
949,2812,1250,3.071415932,0.139853807,1.967305321
950,3125,1250,3.19414856,0.133521241,2.723545835
951,3437,1250,2.995079764,0.133823026,4.102989456
952,3750,1250,3.128576261,0.132147893,2.693553843
961,-116,400,8.15650064,0.178292953,1.977697449
962,-233,400,7.128871415,0.166187237,2.273727314
963,-350,400,6.314927512,0.165463536,0.951491694
964,-466,400,5.713664955,0.179691288,1.576070642
965,-583,400,5.103124632,0.171718154,0.96780999
966,-700,400,4.86585719,0.162224458,4.457587792
967,-816,400,4.479577932,0.151023909,4.391489957
968,-933,400,4.22864652,0.141435999,1.538035679
969,-1050,400,4.322797398,0.156633875,2.776576707
970,-1166,400,4.081577117,0.159799181,2.47933636
