Fit #1
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.100,19.372
dwB (ppm),1.00,108.78
kexAB (s^-1),1000,184800
R1 (s^-1),2.50,3.29
R2 (s^-1),16.00,11.88
Red. Chi-sq,257.50
Fit #2
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.100,3.855
dwB (ppm),2.00,43.90
kexAB (s^-1),1000,68221
R1 (s^-1),2.50,3.40
R2 (s^-1),16.00,12.40
Red. Chi-sq,255.10
Fit #3
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.100,2.387
dwB (ppm),3.00,32.02
kexAB (s^-1),1000,46148
R1 (s^-1),2.50,3.42
R2 (s^-1),16.00,12.46
Red. Chi-sq,252.63
Fit #4
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.100,2.807
dwB (ppm),4.00,27.66
kexAB (s^-1),1000,49285
R1 (s^-1),2.50,3.43
R2 (s^-1),16.00,12.74
Red. Chi-sq,250.76
Fit #5
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.100,3.949
dwB (ppm),5.00,25.46
kexAB (s^-1),1000,59545
R1 (s^-1),2.50,3.37
R2 (s^-1),16.00,13.44
Red. Chi-sq,249.56
Fit #6
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.100,3.887
dwB (ppm),6.00,27.34
kexAB (s^-1),1000,55020
R1 (s^-1),2.50,3.35
R2 (s^-1),16.00,12.48
Red. Chi-sq,248.90
Fit #7
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.100,5.454
dwB (ppm),7.00,27.61
kexAB (s^-1),1000,72134
R1 (s^-1),2.50,3.36
R2 (s^-1),16.00,13.07
Red. Chi-sq,248.64
Fit #8
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.100,6.629
dwB (ppm),8.00,30.36
kexAB (s^-1),1000,83163
R1 (s^-1),2.50,3.32
R2 (s^-1),16.00,12.70
Red. Chi-sq,248.62
Fit #9
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.268,19.282
dwB (ppm),1.00,40.32
kexAB (s^-1),1000,68730
R1 (s^-1),2.50,3.28
R2 (s^-1),16.00,11.84
Red. Chi-sq,255.70
Fit #10
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.268,3.806
dwB (ppm),2.00,16.15
kexAB (s^-1),1000,25144
R1 (s^-1),2.50,3.36
R2 (s^-1),16.00,12.26
Red. Chi-sq,249.31
Fit #11
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.268,2.339
dwB (ppm),3.00,11.68
kexAB (s^-1),1000,16859
R1 (s^-1),2.50,3.35
R2 (s^-1),16.00,12.22
Red. Chi-sq,242.79
Fit #12
dG6C1p-mc Pars,Fit Value,Error
pB (%),0.268,2.734
dwB (ppm),4.00,10.02
kexAB (s^-1),1000,17887
R1 (s^-1),2.50,3.34
R2 (s^-1),16.00,12.41
Red. Chi-sq,237.87
Fit #13
dG6C1p-mc Pars,Fit Value,Error
