Offset,SLP,R1p,R1p err,R2eff,R2eff err,Sim R1p, Sim R2eff,Residual R1p, Residual R2eff
-10.0,150.0,77.4343400966,2.36761175097,77.7713511902,2.37813446986,77.5378369038,77.8753079832,-0.103496807168,-0.103956792978
-48.0,150.0,77.0298763628,2.68081560916,84.7531948727,2.95533112754,77.9734464349,85.7933865202,-0.943570072128,-1.04019164751
-96.0,150.0,67.7447161787,2.53708625095,94.8347886068,3.57627677934,68.7734705481,96.2849207658,-1.02875436937,-1.45013215906
-144.0,150.0,55.4356366181,2.07113816023,105.044251858,3.9798990887,57.1346012903,108.308982372,-1.69896467219,-3.26473051409
-192.0,150.0,46.5423409417,1.73944469726,120.164659066,4.58935088925,47.7486261741,123.347322023,-1.2062852324,-3.18266295717
-240.0,150.0,40.5926792663,1.62561650174,140.396417446,5.78719474619,41.2060336573,142.579959078,-0.61335439096,-2.18354163182
-288.0,150.0,36.0504694293,1.69415568583,163.023450065,7.93949120607,36.9611931444,167.291465683,-0.910723715073,-4.26801561832
-336.0,150.0,33.2812868079,1.50646844621,192.210970841,9.06532452191,34.4572569706,199.287488892,-1.17597016265,-7.07651805078
-384.0,150.0,32.3084489653,1.49570714907,233.514487005,11.2979735212,33.2643619802,240.735071554,-0.955913014942,-7.22058454966
-432.0,150.0,32.6830609442,1.38593621687,290.441634436,12.8814455741,33.0468952089,293.823255626,-0.363834264711,-3.38162118993
-480.0,150.0,34.0218400966,1.45835506354,365.951399718,16.3919109142,33.4675588446,359.721278445,0.554281251995,6.23012127242
-528.0,150.0,34.3725676874,1.56588119569,440.35298997,20.9677755628,34.0338956572,435.818036016,0.338672030243,4.53495395376
10.0,150.0,74.0528599469,2.53644037911,74.3748422398,2.54771344746,73.481610441,73.8010538473,0.571249505866,0.573788392559
48.0,150.0,59.5546911792,1.96728140964,65.4885507263,2.16873102599,60.3720490391,66.389606031,-0.817357859864,-0.901055304715
96.0,150.0,40.7063581002,1.76033163755,56.7215190593,2.48136347629,42.0539128009,58.6210321655,-1.34755470073,-1.89951310615
144.0,150.0,27.3584311586,1.42888007923,51.0910938472,2.74573596025,28.2094462025,52.7264043557,-0.851015043932,-1.63531050842
