Name,FitNum,RedChiSq,lf,AlignMag,pB,pC,dwB,dwC,kexAB,kexAC,kexBC,R1,R1b,R1c,R2,R2b,R2c,pB_err,pC_err,dwB_err,dwC_err,kexAB_err,kexAC_err,kexBC_err,R1_err,R1b_err,R1c_err,R2_err,R2b_err,R2c_err,
dG6C1p-mc,1,258.580719883,150.784627,auto,1.0001e-06,0.0,1.0000000001,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.15588677662,0.0,87058.3124466,0.0,91131147.9265,0.0,0.0,3.26235662579,3.26235662579,3.26235662579,10.160962479,10.160962479,10.160962479,
dG6C1p-mc,2,258.578302409,150.784627,auto,1.0001e-06,0.0,2.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0368704026678,0.0,44029.2337951,0.0,54281249.1236,0.0,0.0,3.40584149258,3.40584149258,3.40584149258,10.7242137352,10.7242137352,10.7242137352,
dG6C1p-mc,3,258.575811262,150.784627,auto,1.0001e-06,0.0,3.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.023707129844,0.0,32340.1317243,0.0,44699026.4509,0.0,0.0,3.49672418478,3.49672418478,3.49672418478,12.1176101365,12.1176101365,12.1176101365,
dG6C1p-mc,4,258.573917302,150.784627,auto,1.0001e-06,0.0,4.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0261159129379,0.0,27991.5467963,0.0,44626798.6734,0.0,0.0,3.4731723853,3.4731723853,3.4731723853,11.907392715,11.907392715,11.907392715,
dG6C1p-mc,5,258.572697475,150.784627,auto,1.0001e-06,0.0,5.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.038080665182,0.0,26006.5962949,0.0,56971133.9063,0.0,0.0,3.45638152068,3.45638152068,3.45638152068,12.9699291714,12.9699291714,12.9699291714,
dG6C1p-mc,6,258.572011165,150.784627,auto,1.0001e-06,0.0,6.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0383545173361,0.0,27792.9891164,0.0,54599296.1424,0.0,0.0,3.45736986815,3.45736986815,3.45736986815,12.8572524853,12.8572524853,12.8572524853,
dG6C1p-mc,7,258.571740256,150.784627,auto,1.0001e-06,0.0,7.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0495998601854,0.0,27924.950144,0.0,65475959.6598,0.0,0.0,3.44298092101,3.44298092101,3.44298092101,12.6514289776,12.6514289776,12.6514289776,
dG6C1p-mc,8,258.571705556,150.784627,auto,1.0001e-06,0.0,8.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0605595491963,0.0,31150.8029808,0.0,75755984.5646,0.0,0.0,3.39313222733,3.39313222733,3.39313222733,12.0132870194,12.0132870194,12.0132870194,
dG6C1p-mc,9,258.571790528,150.784627,auto,1.0001e-06,0.0,9.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0758548029722,0.0,34385.0101997,0.0,91252001.7738,0.0,0.0,3.343628768,3.343628768,3.343628768,11.8465950028,11.8465950028,11.8465950028,
dG6C1p-mc,10,258.571930641,150.784627,auto,1.0001e-06,0.0,9.999999999,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.105462238065,0.0,36479.7032458,0.0,123320895.119,0.0,0.0,3.35542856996,3.35542856996,3.35542856996,12.4642861973,12.4642861973,12.4642861973,
dG6C1p-mc,11,258.57098138,150.784627,auto,1e-05,0.0,1.0000000001,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.195058487196,0.0,10910.4748002,0.0,18150797.4972,0.0,0.0,3.28210787349,3.28210787349,3.28210787349,11.595244559,11.595244559,11.595244559,
dG6C1p-mc,12,258.546810272,150.784627,auto,1e-05,0.0,2.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0388126084351,0.0,4424.08398562,0.0,6829034.42126,0.0,0.0,3.41611872242,3.41611872242,3.41611872242,12.4296662526,12.4296662526,12.4296662526,
dG6C1p-mc,13,258.521903269,150.784627,auto,1e-05,0.0,3.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0241294512275,0.0,3245.81596788,0.0,4665064.89387,0.0,0.0,3.45481311633,3.45481311633,3.45481311633,12.6210873486,12.6210873486,12.6210873486,
dG6C1p-mc,14,258.502967565,150.784627,auto,1e-05,0.0,4.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0284593291551,0.0,2809.45043784,0.0,4998787.56054,0.0,0.0,3.4710532823,3.4710532823,3.4710532823,12.9280243926,12.9280243926,12.9280243926,
dG6C1p-mc,15,258.490772481,150.784627,auto,1e-05,0.0,5.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0401809064619,0.0,2594.0104512,0.0,6069364.69276,0.0,0.0,3.42480350718,3.42480350718,3.42480350718,13.742491086,13.742491086,13.742491086,
dG6C1p-mc,16,258.483912035,150.784627,auto,1e-05,0.0,6.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0394096084056,0.0,2791.56137906,0.0,5579679.90008,0.0,0.0,3.40903804299,3.40903804299,3.40903804299,12.690567686,12.690567686,12.690567686,
dG6C1p-mc,17,258.481204905,150.784627,auto,1e-05,0.0,7.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0551134806714,0.0,2824.71389503,0.0,7283806.70532,0.0,0.0,3.41643538905,3.41643538905,3.41643538905,13.2044642722,13.2044642722,13.2044642722,
