Name,FitNum,N,DF,K,ChiSq,RedChiSq,Rsq,AdjRsq,AIC,BIC,RSS,TSS,SDR
dG6C1p-mc,1,120,115,5,29612.7671972,257.502323454,0.567325359715,0.548348401808,671.542611241,684.953754166,29612.7671972,68441.1898457,16.0468789319
dG6C1p-mc,2,120,115,5,29336.3392421,255.098602105,0.571364271891,0.552564459255,670.4171795,683.828322425,29336.3392421,68441.1898457,15.971806476
dG6C1p-mc,3,120,115,5,29052.4112489,252.629663034,0.575512767759,0.556894906696,669.250118124,682.661261049,29052.4112489,68441.1898457,15.8943280145
dG6C1p-mc,4,120,115,5,28837.1863443,250.758142124,0.578657437001,0.560177500027,668.357829747,681.768972671,28837.1863443,68441.1898457,15.8353447112
dG6C1p-mc,5,120,115,5,28699.4213258,249.560185441,0.580670333311,0.562278681263,667.783175297,681.194318222,28699.4213258,68441.1898457,15.7974740209
dG6C1p-mc,6,120,115,5,28623.0250769,248.895870234,0.58178656535,0.563443870848,667.463316119,680.874459044,28623.0250769,68441.1898457,15.7764340151
dG6C1p-mc,7,120,115,5,28594.0276839,248.64371899,0.582210248706,0.563886136808,667.341684987,680.752827911,28594.0276839,68441.1898457,15.7684406011
dG6C1p-mc,8,120,115,5,28591.7759215,248.624138448,0.582243149397,0.56392048051,667.332234687,680.743377612,28591.7759215,68441.1898457,15.7678197113
dG6C1p-mc,9,120,115,5,29405.2349928,255.69769559,0.570357630265,0.55151366668,670.69866647,684.109809395,29405.2349928,68441.1898457,15.9905501966
dG6C1p-mc,10,120,115,5,28670.6869368,249.31032119,0.581090173893,0.562716935906,667.662968902,681.074111826,28670.6869368,68441.1898457,15.7895636795
dG6C1p-mc,11,120,115,5,27920.4166879,242.786232068,0.592052435809,0.574159998783,664.480924389,677.892067314,27920.4166879,68441.1898457,15.5815991499
dG6C1p-mc,12,120,115,5,27354.5930232,237.866026289,0.600319733118,0.582789896852,662.02407411,675.435217034,27354.5930232,68441.1898457,15.4229058964
dG6C1p-mc,13,120,115,5,26996.3039213,234.750468881,0.605554725419,0.588254494078,660.441935913,673.853078838,26996.3039213,68441.1898457,15.3215687474
