Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
1420,-10,150,77.4343400966,2.36761175097,10.3720236123
1421,-48,150,77.0298763628,2.68081560916,8.64394821983
1422,-96,150,67.7447161787,2.53708625095,7.46901791674
1423,-144,150,55.4356366181,2.07113816023,4.46223469502
1424,-192,150,46.5423409417,1.73944469726,2.30958155783
1425,-240,150,40.5926792663,1.62561650174,2.30773344917
1426,-288,150,36.0504694293,1.69415568583,1.20903864558
1427,-336,150,33.2812868079,1.50646844621,1.57199622983
1428,-384,150,32.3084489653,1.49570714907,0.622080423149
1429,-432,150,32.6830609442,1.38593621687,0.64682609291
1430,-480,150,34.0218400966,1.45835506354,0.668706486737
1431,-528,150,34.3725676874,1.56588119569,0.479076392909
1432,10,150,74.0528599469,2.53644037911,9.70060597202
1433,48,150,59.5546911792,1.96728140964,5.80451968142
1434,96,150,40.7063581002,1.76033163755,2.81660601096
1435,144,150,27.3584311586,1.42888007923,0.520564698637
1436,192,150,18.637521016,1.34339688314,0.721626024728
1437,240,150,12.9061810056,1.20118332467,0.549259549861
1438,288,150,10.0762960267,1.25050553204,0.555348865368
1439,336,150,7.94706288927,1.17259069767,0.105778210894
1440,384,150,6.51628856474,1.08943044093,0.31576394996
1441,432,150,5.56384527074,1.17560484276,0.444649734763
1442,480,150,4.82261211591,1.12382236931,0.879459869318
1443,528,150,4.09589805473,1.16012297063,0.359525540016
1444,-10,250,74.0390004237,2.13683827583,5.18789935447
1445,-80,250,78.0692384898,2.34799982952,5.24821595749
1446,-160,250,73.9144577137,2.2180523659,4.57899500074
1447,-240,250,66.0430672868,2.06538431553,2.1435487853
1448,-320,250,61.2171049676,1.99904348141,1.29890057183
1449,-400,250,57.7278983685,1.91098122477,0.781745540699
1450,-480,250,56.3857119161,1.892356847,1.36946104328
1451,-560,250,53.5639111672,1.72754727678,1.2541429806
1452,-640,250,45.7563061523,1.93471841708,1.46346019236
1453,-720,250,36.0934962824,1.63359555329,0.386314861873
1454,-800,250,24.5437232059,1.28882738116,0.619989979409
1455,-880,250,17.5220302284,1.30968741151,0.482173043417
1456,10,250,69.2350575957,2.33616531227,5.65309539772
1457,80,250,52.4554565734,1.85430419657,2.8692379738
1458,160,250,35.4935970765,1.67524891941,1.04904596908
1459,240,250,22.8447592624,1.1892605369,0.960618911263
1460,320,250,15.2258673277,1.2847252586,0.47788306207
1461,400,250,10.6605875532,1.19122851763,0.645170498529
1462,480,250,8.17909816003,1.08458651601,0.778220946683
1463,560,250,6.69040026722,1.13969603612,0.616120515565
1464,640,250,5.83709047551,1.09103469647,0.180092611579
1465,720,250,4.54458652356,1.16955836368,0.139799713946
1466,800,250,4.01733010575,1.09020935763,0.356919399244
1467,880,250,3.28883458653,1.2249751746,0.211281168321
1468,-10,350,67.588790708,2.21242490561,4.21246957111
1469,-111,350,74.996698122,2.23782309087,3.53628657699
1470,-222,350,74.180490296,2.20462631821,2.09766431
1471,-333,350,70.5649315438,1.93405449101,1.9839954274
1472,-444,350,65.2377299262,2.10291543059,1.27388183468
1473,-555,350,59.1615405079,1.81462821301,1.3896078597
1474,-666,350,47.1953546502,1.67094723917,1.49344700982
1475,-777,350,33.3453751284,1.52538272798,0.464794090419
1476,-888,350,22.3244948207,1.38255670735,1.02373046222
1477,-999,350,14.4528268878,1.26613231176,0.400867499207
1478,-1110,350,10.1972492012,1.12930579897,0.391613125453
1479,-1221,350,7.14000777398,1.3059144016,0.211973983331
1480,10,350,63.501682211,2.22603839137,2.77688714587
1481,111,350,46.6908569033,1.87027386912,3.15387542228
1482,222,350,30.1427965548,1.33444812001,2.15141484402
1483,333,350,19.7686862517,1.40390126401,0.766853685189
1484,444,350,13.2368307769,1.1826357669,0.296719387744
1485,555,350,9.31488719031,1.19372281144,0.684602401032
1486,666,350,7.71339246218,1.31203085468,0.0452125805566
1487,777,350,5.72397061324,1.05140961187,0.250334348227
1488,888,350,4.87114676315,1.05986134423,0.461961449019
1489,999,350,4.03008811581,1.19587737069,0.317891581695
1490,1110,350,3.70124155248,1.10094202203,0.186141573246
1491,1221,350,3.25000262742,1.11181701066,0.355707601301
1492,-10,500,56.7898381294,1.9373522505,4.93380643386
1493,-159,500,65.0111062547,2.15481147569,3.25969367155
1494,-318,500,66.267132946,1.97517202255,2.19018118581
1495,-477,500,59.1928007511,1.96142624351,2.81498969747
1496,-636,500,46.6021206176,1.57550272509,1.42634609694
1497,-795,500,32.2111678148,1.48662848565,1.25884082108
1498,-954,500,20.4752164263,1.24918249537,0.930408932476
1499,-1113,500,13.3966194451,1.23635648875,0.556354666114
1500,-1272,500,9.62902989386,1.06141385201,0.320509920569
1501,-1431,500,7.03961362784,1.19623940096,0.136121976565
1502,-1590,500,5.41686402629,1.19532181778,0.37279421957
1503,-1749,500,4.48488301531,0.98522666444,0.508466608866
1504,10,500,55.1026031664,1.93801922546,2.35077208763
1505,159,500,39.1705608131,1.68524896538,1.20688058077
1506,318,500,25.1417992946,1.36926830218,0.937890914455
1507,477,500,16.7880959599,1.17813480388,1.47692592242
1508,636,500,11.0440433863,1.13727341842,0.351085989336
1509,795,500,7.85656921087,1.26676530396,0.205948471543
1510,954,500,6.52364814974,1.15458697088,0.289414346193
1511,1113,500,5.06986144144,1.09545947593,0.143701250057
1512,1272,500,4.33720332164,1.11824088238,0.130172913407
1513,1431,500,3.89846254805,1.1270471546,0.200342459156
1514,1590,500,3.50408247672,1.17333722462,0.0930528446861
1515,1749,500,3.08294528015,1.05476051868,0.494116818519
1516,-10,700,44.9703470454,1.69559957697,3.71928127549
1517,-159,700,49.5986352188,1.5978271867,2.541235565
1518,-318,700,51.2272638191,1.66635053626,2.25170427191
1519,-477,700,47.1511631749,1.82533652899,2.30437939327
1520,-636,700,39.3840272527,1.59813579245,1.99655173921
1521,-795,700,30.4645632402,1.38073207016,0.888613503354
1522,-954,700,21.791227136,1.39600517094,0.821037003993
1523,-1113,700,16.249209102,1.19931069103,0.771693858413
1524,-1272,700,11.8432320301,1.14881211576,0.453215765641
1525,-1431,700,9.03932486786,1.18215593045,0.52159314985
1526,-1590,700,6.76266663839,1.19385596737,0.326692687832
1527,-1749,700,5.52888477605,1.25656441243,0.489371870589
1528,10,700,43.3088531266,1.77908088488,2.1096793022
1529,159,700,35.9846611703,1.48854645063,3.04139381074
