Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.000000000000000000e+00,0.000000000000000000e+00,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,3.311950317208915973e-01,0.000000000000000000e+00,-8.903987033702359666e-01,1.743131745899429569e-02,0.000000000000000000e+00,-4.686308965106505964e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.926220525124441973e-01,0.000000000000000000e+00,8.628337193186240706e-01,2.978833319382011291e-02,3.749663081186626866e-19,3.034751538368052892e-01,-7.143230608741823855e-03,-8.077084652403935250e-01,2.482064630975586161e-02,1.533625099772189040e-02,-2.254994500355610165e-02,1.268626488750291038e-18,6.277078502101077286e-19,7.181591485797302704e-20,5.000000000000000104e-03
8.014073919264717016e-01,0.000000000000000000e+00,7.747765598541986876e-01,2.663083207227297591e-02,5.725942504310684339e-19,2.727189666948264812e-01,-5.708619338398254577e-03,-7.251971084324601025e-01,2.234604589719748832e-02,1.389755777072578663e-02,-2.010154666797418777e-02,1.207308999230837466e-18,5.296252639310420329e-19,-1.618486135108596462e-19,1.000000000000000021e-02
7.195490662970401852e-01,0.000000000000000000e+00,6.956374932405555711e-01,2.391157305648465917e-02,-7.118381281031349888e-19,2.450062391200592271e-01,-4.564430326579823477e-03,-6.510687484686221715e-01,2.005657018346176934e-02,1.248549936660756435e-02,-1.805186591658036743e-02,-2.949304985790591369e-18,-2.329356836346816518e-18,-3.375442209067877653e-19,1.499999999999999944e-02
6.460517193466582819e-01,0.000000000000000000e+00,6.245812523022522544e-01,2.147046704440605525e-02,8.934637695951583997e-19,2.200850700199027954e-01,-3.687807613618648925e-03,-5.845259050474950202e-01,1.800241680491037125e-02,1.121498361858758522e-02,-1.621142599690949399e-02,1.087324175865194530e-18,3.720407728487152334e-19,-5.488262891097673324e-19,2.000000000000000042e-02
5.800612403399199035e-01,0.000000000000000000e+00,5.607828970139850933e-01,1.927834332593481720e-02,1.806696961712494318e-18,1.976811200059711005e-01,-3.011205305248983513e-03,-5.247904625013706248e-01,1.615954875051586748e-02,1.007293872634736596e-02,-1.455804444632683402e-02,1.055389672407639033e-18,-7.273645900043385619e-20,-1.535067708906560245e-18,2.500000000000000139e-02
5.208110039611599795e-01,0.000000000000000000e+00,5.035011404488918263e-01,1.730986351226820874e-02,-7.430447417420733002e-19,1.775449116641137637e-01,-2.484453281020548160e-03,-4.711643100871927281e-01,1.450599396161265410e-02,9.046599190681122588e-03,-1.307285956542480684e-02,-2.089208480032583989e-18,-1.636004656778328507e-18,1.567504061516903262e-20,2.999999999999999889e-02
4.676126468605880659e-01,0.000000000000000000e+00,4.520703897903241564e-01,1.554225707026389916e-02,5.662259632857810324e-19,1.594503897711236906e-01,-2.070509406247853824e-03,-4.230213857870302463e-01,1.302212670398784217e-02,8.124402164060785109e-03,-1.173887665198432642e-02,1.077847039303359035e-18,1.105698702926161889e-18,-2.032090568688885203e-19,3.500000000000000333e-02
4.198480842402884106e-01,0.000000000000000000e+00,4.058930247239633249e-01,1.395505951632505792e-02,1.311917591219178752e-18,1.431930856169330302e-01,-1.741966673085569876e-03,-3.798001206365604898e-01,1.169040344656345314e-02,7.295896920662790427e-03,-1.054078691340100057e-02,9.141923292486763446e-19,1.834741321140976672e-19,-1.059689047841496704e-18,4.000000000000000083e-02
3.769623407204322763e-01,0.000000000000000000e+00,3.644324585432740515e-01,1.252988217715823513e-02,8.050274698458820413e-19,1.285883170138854281e-01,-1.478493764530286513e-03,-3.409967048857114325e-01,1.049512933202579636e-02,6.551649868260059004e-03,-9.464808679939156963e-03,1.131052806222634259e-19,6.304678870317249405e-19,-8.168432709943786212e-19,4.499999999999999833e-02
