Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.000000000000000000e+00,0.000000000000000000e+00,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,9.499999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.190923794476937747e-01,0.000000000000000000e+00,7.113598906796174681e-01,7.732488768076320462e-03,0.000000000000000000e+00,7.113598906796174681e-01,1.037199252103515081e-02,-6.652685753488355239e-03,7.732488768076320462e-03,1.016612211031602854e-02,1.152488453615611690e-02,0.000000000000000000e+00,1.209109855993823002e-19,1.316152316565285909e-19,5.000000000000000104e-03
5.343848377962139296e-01,0.000000000000000000e+00,5.288879491426051738e-01,5.496888653608809558e-03,0.000000000000000000e+00,5.288879491426051738e-01,8.794527187444129562e-03,-5.728005506345195362e-03,5.496888653608809558e-03,7.650413062729326079e-03,8.622266090309709322e-03,0.000000000000000000e+00,1.477322910926560103e-19,1.608110265491790223e-19,1.000000000000000021e-02
3.972573343863488038e-01,0.000000000000000000e+00,3.931941969468932818e-01,4.063137439455545390e-03,0.000000000000000000e+00,3.931941969468932818e-01,7.340439421687435656e-03,-4.842574917869056465e-03,4.063137439455545390e-03,5.700202587910198522e-03,6.384036204969198783e-03,0.000000000000000000e+00,2.589644058708050242e-19,3.694706237081798468e-20,1.499999999999999944e-02
2.953184288389126277e-01,0.000000000000000000e+00,2.923149360477085845e-01,3.003492791204031946e-03,0.000000000000000000e+00,2.923149360477085845e-01,6.090896245495088825e-03,-4.061646728808747213e-03,3.003492791204031946e-03,4.247249883590980581e-03,4.725001833948079370e-03,0.000000000000000000e+00,1.513338457597278384e-19,1.647314267467333686e-19,2.000000000000000042e-02
2.195373640462137121e-01,0.000000000000000000e+00,2.173180325533031754e-01,2.219331492910533304e-03,0.000000000000000000e+00,2.173180325533031754e-01,5.029142337888953262e-03,-3.384371255435915209e-03,2.219331492910533304e-03,3.165081381561823080e-03,3.496044572072582249e-03,0.000000000000000000e+00,-9.332973432563535055e-20,-1.107563184543689299e-19,2.500000000000000139e-02
1.632020275690209410e-01,0.000000000000000000e+00,1.615628222679119375e-01,1.639205301108998328e-03,0.000000000000000000e+00,1.615628222679119375e-01,4.134827680348980052e-03,-2.804420832202103413e-03,1.639205301108998328e-03,2.358986403521923757e-03,2.585896300296665860e-03,0.000000000000000000e+00,2.121277496845899895e-19,3.026476620145193422e-20,2.999999999999999889e-02
1.213226289964888932e-01,0.000000000000000000e+00,1.201124604616649744e-01,1.210168534823913202e-03,0.000000000000000000e+00,1.201124604616649744e-01,3.386988615649424300e-03,-2.312842657984537365e-03,1.210168534823913202e-03,1.758462705044112201e-03,1.912026816989017284e-03,0.000000000000000000e+00,2.754852957024427459e-17,9.076033949777443616e-18,3.500000000000000333e-02
9.018974937687104787e-02,0.000000000000000000e+00,8.929676438302633357e-02,8.929849938447197242e-04,0.000000000000000000e+00,8.929676438302633357e-02,2.765431026246097362e-03,-1.899624535721307524e-03,8.929849938447197242e-04,1.311027854032139261e-03,1.413234589292802464e-03,0.000000000000000000e+00,9.749465638014254483e-20,1.061258554889465832e-19,4.000000000000000083e-02
6.704580282628430643e-02,0.000000000000000000e+00,6.638721866302649266e-02,6.585841632578098674e-04,0.000000000000000000e+00,6.638721866302649266e-02,2.251498718377101076e-03,-1.554670011483378234e-03,6.585841632578098674e-04,9.776103065738711746e-04,1.044142173988003765e-03,0.000000000000000000e+00,1.138218088089819020e-19,8.541904673088149514e-21,4.499999999999999833e-02
4.984079931018277343e-02,0.000000000000000000e+00,4.935536705208352221e-02,4.854322580992529584e-04,0.000000000000000000e+00,4.935536705208352221e-02,1.828442254757284280e-03,-1.268375927024849434e-03,4.854322580992529584e-04,7.291199610305339847e-04,7.711106999844586155e-04,0.000000000000000000e+00,-4.695416163091124577e-20,-5.572147093236408477e-20,5.000000000000000278e-02
3.705077743489521708e-02,0.000000000000000000e+00,3.669319530019032882e-02,3.575821347048873874e-04,0.000000000000000000e+00,3.669319530019032882e-02,1.481533186074356166e-03,-1.031945295833568404e-03,3.575821347048873874e-04,5.438962295059512290e-04,5.692079340283741351e-04,0.000000000000000000e+00,-1.028346273815201648e-20,7.101174882906626653e-21,5.500000000000000028e-02
