offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
0.000000000000000000e+00,1.000000000000000000e+02,6.419472289231792672e+01,0.000000000000000000e+00,6.419472289231792672e+01,0.000000000000000000e+00,9.903275260945070269e-01
0.000000000000000000e+00,1.693877551020408134e+02,6.069312777049754715e+01,0.000000000000000000e+00,6.069312777049754715e+01,0.000000000000000000e+00,9.902143618367397204e-01
0.000000000000000000e+00,2.387755102040816269e+02,5.630896958097927296e+01,0.000000000000000000e+00,5.630896958097927296e+01,0.000000000000000000e+00,9.901736510746936837e-01
0.000000000000000000e+00,3.081632653061224119e+02,5.172848743412433237e+01,0.000000000000000000e+00,5.172848743412433237e+01,0.000000000000000000e+00,9.902926074995587191e-01
0.000000000000000000e+00,3.775510204081632537e+02,4.739800237475493816e+01,0.000000000000000000e+00,4.739800237475493816e+01,0.000000000000000000e+00,9.905950454795325877e-01
0.000000000000000000e+00,4.469387755102040956e+02,4.353819247372458534e+01,0.000000000000000000e+00,4.353819247372458534e+01,0.000000000000000000e+00,9.910552327762687241e-01
0.000000000000000000e+00,5.163265306122448237e+02,4.021368837593514911e+01,0.000000000000000000e+00,4.021368837593514911e+01,0.000000000000000000e+00,9.916229086278158800e-01
0.000000000000000000e+00,5.857142857142856656e+02,3.740339800357249089e+01,0.000000000000000000e+00,3.740339800357249089e+01,0.000000000000000000e+00,9.922454339413487867e-01
0.000000000000000000e+00,6.551020408163265074e+02,3.504898542362106895e+01,0.000000000000000000e+00,3.504898542362106895e+01,0.000000000000000000e+00,9.928798187790418561e-01
0.000000000000000000e+00,7.244897959183673493e+02,3.308210702829803296e+01,0.000000000000000000e+00,3.308210702829803296e+01,0.000000000000000000e+00,9.934961341410594171e-01
0.000000000000000000e+00,7.938775510204081911e+02,3.143744460136392149e+01,0.000000000000000000e+00,3.143744460136392149e+01,0.000000000000000000e+00,9.940762487034088268e-01
0.000000000000000000e+00,8.632653061224489193e+02,3.005778567723660544e+01,0.000000000000000000e+00,3.005778567723660544e+01,0.000000000000000000e+00,9.946109497655739595e-01
0.000000000000000000e+00,9.326530612244897611e+02,2.889516186836333489e+01,0.000000000000000000e+00,2.889516186836333489e+01,0.000000000000000000e+00,9.950970570158031991e-01
0.000000000000000000e+00,1.002040816326530603e+03,2.791026253328441342e+01,0.000000000000000000e+00,2.791026253328441342e+01,0.000000000000000000e+00,9.955351221884111146e-01
0.000000000000000000e+00,1.071428571428571331e+03,2.707123851536874781e+01,0.000000000000000000e+00,2.707123851536874781e+01,0.000000000000000000e+00,9.959278031195527570e-01
0.000000000000000000e+00,1.140816326530612287e+03,2.635240878879077897e+01,0.000000000000000000e+00,2.635240878879077897e+01,0.000000000000000000e+00,9.962787873539452610e-01
0.000000000000000000e+00,1.210204081632653015e+03,2.573308173955956946e+01,0.000000000000000000e+00,2.573308173955956946e+01,0.000000000000000000e+00,9.965921337311147710e-01
0.000000000000000000e+00,1.279591836734693743e+03,2.519655675336901623e+01,0.000000000000000000e+00,2.519655675336901623e+01,0.000000000000000000e+00,9.968718843273345342e-01
0.000000000000000000e+00,1.348979591836734699e+03,2.472931011318873473e+01,0.000000000000000000e+00,2.472931011318873473e+01,0.000000000000000000e+00,9.971218554192505801e-01
0.000000000000000000e+00,1.418367346938775427e+03,2.432034427062510318e+01,0.000000000000000000e+00,2.432034427062510318e+01,0.000000000000000000e+00,9.973455376848756604e-01
0.000000000000000000e+00,1.487755102040816382e+03,2.396067311407283640e+01,0.000000000000000000e+00,2.396067311407283640e+01,0.000000000000000000e+00,9.975460617099872751e-01
0.000000000000000000e+00,1.557142857142857110e+03,2.364291669759430548e+01,0.000000000000000000e+00,2.364291669759430548e+01,0.000000000000000000e+00,9.977262000192662628e-01
0.000000000000000000e+00,1.626530612244897839e+03,2.336098253566530403e+01,0.000000000000000000e+00,2.336098253566530403e+01,0.000000000000000000e+00,9.978883886001959080e-01
0.000000000000000000e+00,1.695918367346938794e+03,2.310981469555593648e+01,0.000000000000000000e+00,2.310981469555593648e+01,0.000000000000000000e+00,9.980347573331975752e-01
0.000000000000000000e+00,1.765306122448979522e+03,2.288519576263893285e+01,0.000000000000000000e+00,2.288519576263893285e+01,0.000000000000000000e+00,9.981671633239567187e-01
0.000000000000000000e+00,1.834693877551020250e+03,2.268358998900083279e+01,0.000000000000000000e+00,2.268358998900083279e+01,0.000000000000000000e+00,9.982872237517813607e-01
0.000000000000000000e+00,1.904081632653061206e+03,2.250201855691912201e+01,0.000000000000000000e+00,2.250201855691912201e+01,0.000000000000000000e+00,9.983963465928523684e-01
0.000000000000000000e+00,1.973469387755101934e+03,2.233795993315433037e+01,0.000000000000000000e+00,2.233795993315433037e+01,0.000000000000000000e+00,9.984957583142928250e-01
0.000000000000000000e+00,2.042857142857142662e+03,2.218926990046427150e+01,0.000000000000000000e+00,2.218926990046427150e+01,0.000000000000000000e+00,9.985865284388592000e-01
0.000000000000000000e+00,2.112244897959183618e+03,2.205411707344248029e+01,0.000000000000000000e+00,2.205411707344248029e+01,0.000000000000000000e+00,9.986695910322588299e-01
0.000000000000000000e+00,2.181632653061224573e+03,2.193093064905449907e+01,0.000000000000000000e+00,2.193093064905449907e+01,0.000000000000000000e+00,9.987457632618397252e-01
0.000000000000000000e+00,2.251020408163265074e+03,2.181835787250997427e+01,0.000000000000000000e+00,2.181835787250997427e+01,0.000000000000000000e+00,9.988157614311417021e-01
0.000000000000000000e+00,2.320408163265306030e+03,2.171522924820914113e+01,0.000000000000000000e+00,2.171522924820914113e+01,0.000000000000000000e+00,9.988802147344031379e-01
0.000000000000000000e+00,2.389795918367346985e+03,2.162052995564121716e+01,0.000000000000000000e+00,2.162052995564121716e+01,0.000000000000000000e+00,9.989396770447315221e-01
0.000000000000000000e+00,2.459183673469387486e+03,2.153337625781050235e+01,0.000000000000000000e+00,2.153337625781050235e+01,0.000000000000000000e+00,9.989946370061780767e-01
0.000000000000000000e+00,2.528571428571428442e+03,2.145299594623843120e+01,0.000000000000000000e+00,2.145299594623843120e+01,0.000000000000000000e+00,9.990455266756081976e-01
0.000000000000000000e+00,2.597959183673469397e+03,2.137871206336316021e+01,0.000000000000000000e+00,2.137871206336316021e+01,0.000000000000000000e+00,9.990927289376868581e-01
0.000000000000000000e+00,2.667346938775509898e+03,2.130992929700405369e+01,0.000000000000000000e+00,2.130992929700405369e+01,0.000000000000000000e+00,9.991365838345420691e-01
0.000000000000000000e+00,2.736734693877550853e+03,2.124612256471654348e+01,0.000000000000000000e+00,2.124612256471654348e+01,0.000000000000000000e+00,9.991773940368358087e-01
0.000000000000000000e+00,2.806122448979591809e+03,2.118682739790005698e+01,0.000000000000000000e+00,2.118682739790005698e+01,0.000000000000000000e+00,9.992154295291503230e-01
0.000000000000000000e+00,2.875510204081632764e+03,2.113163181179305639e+01,0.000000000000000000e+00,2.113163181179305639e+01,0.000000000000000000e+00,9.992509316372942818e-01
0.000000000000000000e+00,2.944897959183673265e+03,2.108016940914166071e+01,0.000000000000000000e+00,2.108016940914166071e+01,0.000000000000000000e+00,9.992841165320253127e-01
0.000000000000000000e+00,3.014285714285714221e+03,2.103211350797434065e+01,0.000000000000000000e+00,2.103211350797434065e+01,0.000000000000000000e+00,9.993151782368463465e-01
0.000000000000000000e+00,3.083673469387755176e+03,2.098717212605333060e+01,0.000000000000000000e+00,2.098717212605333060e+01,0.000000000000000000e+00,9.993442912349543850e-01
0.000000000000000000e+00,3.153061224489795677e+03,2.094508368344772364e+01,0.000000000000000000e+00,2.094508368344772364e+01,0.000000000000000000e+00,9.993716127413759809e-01
0.000000000000000000e+00,3.222448979591836633e+03,2.090561330892639447e+01,0.000000000000000000e+00,2.090561330892639447e+01,0.000000000000000000e+00,9.993972846901760798e-01
0.000000000000000000e+00,3.291836734693877588e+03,2.086854965467187739e+01,0.000000000000000000e+00,2.086854965467187739e+01,0.000000000000000000e+00,9.994214354290605895e-01
0.000000000000000000e+00,3.361224489795918089e+03,2.083370214382450669e+01,0.000000000000000000e+00,2.083370214382450669e+01,0.000000000000000000e+00,9.994441812463626951e-01
0.000000000000000000e+00,3.430612244897959044e+03,2.080089858294240557e+01,0.000000000000000000e+00,2.080089858294240557e+01,0.000000000000000000e+00,9.994656276693730801e-01
0.000000000000000000e+00,3.500000000000000000e+03,2.076998308767244339e+01,0.000000000000000000e+00,2.076998308767244339e+01,0.000000000000000000e+00,9.994858706374066815e-01
-1.000000000000000000e+03,1.000000000000000000e+02,2.484882374578428976e+00,0.000000000000000000e+00,5.097311983242133238e+01,0.000000000000000000e+00,9.997678795467506152e-01
-9.899497487437186010e+02,1.000000000000000000e+02,2.504970577995461856e+00,0.000000000000000000e+00,5.199211272447124088e+01,0.000000000000000000e+00,9.997566636029225906e-01
-9.798994974874372019e+02,1.000000000000000000e+02,2.526290780375274991e+00,0.000000000000000000e+00,5.306089072423992548e+01,0.000000000000000000e+00,9.997448130681449996e-01
-9.698492462311558029e+02,1.000000000000000000e+02,2.548939526745236162e+00,0.000000000000000000e+00,5.418260643347315408e+01,0.000000000000000000e+00,9.997322904486017903e-01
-9.597989949748744039e+02,1.000000000000000000e+02,2.573022368171581142e+00,0.000000000000000000e+00,5.536065150194966122e+01,0.000000000000000000e+00,9.997190565378893945e-01
-9.497487437185930048e+02,1.000000000000000000e+02,2.598654818497087682e+00,0.000000000000000000e+00,5.659867696827731720e+01,0.000000000000000000e+00,9.997050704978871494e-01
-9.396984924623116058e+02,1.000000000000000000e+02,2.625963422739034492e+00,0.000000000000000000e+00,5.790061540062166046e+01,0.000000000000000000e+00,9.996902899971821244e-01
-9.296482412060302067e+02,1.000000000000000000e+02,2.655086950777822086e+00,0.000000000000000000e+00,5.927070496641118780e+01,0.000000000000000000e+00,9.996746714117492605e-01
-9.195979899497486940e+02,1.000000000000000000e+02,2.686177731831374427e+00,0.000000000000000000e+00,6.071351558012028704e+01,0.000000000000000000e+00,9.996581701155932143e-01
-9.095477386934672950e+02,1.000000000000000000e+02,2.719403146870936983e+00,0.000000000000000000e+00,6.223397726024879262e+01,0.000000000000000000e+00,9.996407408748285706e-01
-8.994974874371858959e+02,1.000000000000000000e+02,2.754947298251732235e+00,0.000000000000000000e+00,6.383741083019219786e+01,0.000000000000000000e+00,9.996223383753708447e-01
