Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,1.007259437491032861e+00,9.298519627538246943e-03,9.900000000000001021e-01,1.000000000000000194e-02,0.000000000000000000e+00,5.726444895348533626e-01,0.000000000000000000e+00,-8.075755621645365201e-01,5.784287773079327920e-03,0.000000000000000000e+00,-8.157328910752895124e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.296915264067394657e-01,9.619420356922512433e-03,9.269883719176807979e-01,7.206313196879067517e-03,2.672787039829811700e-19,5.367736157295455168e-01,-1.909211057294743453e-03,-7.557658547608819832e-01,4.040031488297215513e-03,3.944118681972104586e-03,-5.969408339534917375e-03,3.217452082561454681e-19,-4.828314281848247923e-20,-9.950808341158434739e-20
1.000000000000000021e-02,8.567585734172048495e-01,9.972175690618081609e-03,8.649004577127830107e-01,6.723642164074128576e-03,2.031456159539781387e-19,5.007288791225983360e-01,-1.544599622259819425e-03,-7.052118048603139844e-01,3.767890618797822312e-03,3.681104745001700668e-03,-5.570678649996302356e-03,2.735213089327025911e-19,-4.516834266546600299e-20,-5.508300591035314926e-20
1.499999999999999944e-02,7.960015693224232747e-01,9.820559359744131592e-03,8.069710238181235784e-01,6.273300387420239002e-03,2.271295813550575019e-20,4.671090570267902864e-01,-1.231836387029280845e-03,-6.580361157009085860e-01,3.514156637325089889e-03,3.435571833060979251e-03,-5.198528963119051528e-03,-7.976657104869366542e-20,-1.921399609654672484e-20,-8.440537221257288039e-20
2.000000000000000042e-02,7.427691942851954998e-01,9.828471334847217744e-03,7.529215530809277857e-01,5.853121873452374856e-03,9.198492651268255835e-20,4.357504954145711706e-01,-9.642715796637141073e-04,-6.140134010616016269e-01,3.277575552382725951e-03,3.206365823282225896e-03,-4.851193199941743021e-03,1.891395525431677739e-19,-3.953394943697933143e-20,2.135359968441407726e-20
2.500000000000000139e-02,7.087778623737480688e-01,1.009794423096711802e-02,7.024921806473117813e-01,5.461086341595440714e-03,-1.026834455878875630e-19,4.065006440935665100e-01,-7.360683259202686251e-04,-5.729332667870163931e-01,3.056980171186528001e-03,2.992406904310282879e-03,-4.527022361515377000e-03,-2.466602582808315770e-19,-1.614217118318806279e-19,-4.902578583932766065e-20
2.999999999999999889e-02,6.811236716913158240e-01,1.015925255326312511e-02,6.554404458209869277e-01,5.095308824540992557e-03,-9.570577039670810551e-20,3.792172971701215367e-01,-5.421062045359564124e-04,-5.345993192820820417e-01,2.851283599441562389e-03,2.792685996498750316e-03,-4.224476389342733847e-03,-1.305806056951477627e-19,-1.592049088435561124e-20,2.473136798216034918e-20
3.500000000000000333e-02,6.249280202577717214e-01,9.856751609198398725e-03,6.115401265064648317e-01,4.754030605475978617e-03,1.486852026430016804e-20,3.537678855276311096e-01,-3.778955477351592573e-04,-4.988282383630746608e-01,2.659473617294867438e-03,2.606260198938371419e-03,-3.942117043365122447e-03,-3.028215943086239648e-20,5.577943804006782877e-20,-3.969999625177403429e-20
4.000000000000000083e-02,5.662845925915598322e-01,9.795762525614388344e-03,5.705801517019897240e-01,4.435610762283515376e-03,-7.325699690034291546e-20,3.300288183936954667e-01,-2.395018510413433367e-04,-4.654489109807137259e-01,2.480607460451689488e-03,2.432248520055034762e-03,-3.678601236733199976e-03,6.082795409796180023e-20,-3.030761835606485047e-20,1.329376775189529730e-19
4.499999999999999833e-02,5.491113550285132705e-01,9.842955969428097279e-03,5.323635868163192342e-01,4.138518278064310177e-03,-3.390769124943008601e-19,3.078848705110971418e-01,-1.234791090754236756e-04,-4.343016218801403205e-01,2.313806976018549250e-03,2.269827875261097409e-03,-3.432674799110057347e-03,-1.103725994755810020e-19,-1.873426410747408396e-19,3.374072907229863857e-19
5.000000000000000278e-02,5.031390699085368512e-01,9.913237619769201328e-03,4.967066869338566670e-01,3.861324680053512814e-03,7.694027748973238480e-20,2.872286116841664128e-01,-2.681103192525471478e-05,-4.052372975101958819e-01,2.158254125058323147e-03,2.118229335964384903e-03,-3.203166641879419321e-03,-8.817512309089127354e-20,-1.133919038885554369e-19,-1.568446087291144188e-19
5.500000000000000028e-02,4.706866667893707112e-01,1.015847519215912730e-02,4.634380134784404359e-01,3.602697171543806261e-03,-2.784920387897705046e-19,2.679598757082083949e-01,5.314078145708341951e-05,-3.781167997264041070e-01,2.013186806055414831e-03,1.976734615035001617e-03,-2.988983300171565299e-03,-4.233536495002793563e-19,-8.980982434107934909e-20,4.120479302503757447e-20
5.999999999999999778e-02,4.324078323181694272e-01,9.948184856094976700e-03,4.323976100309885884e-01,3.361392223798428513e-03,-2.396637840336535101e-19,2.499852659081266970e-01,1.186825286614042038e-04,-3.528102660509119248e-01,1.877894975518160352e-03,1.844672774605004379e-03,-2.789103828089676499e-03,-1.878603943422031843e-19,-1.095436633239389454e-20,1.605916927746094840e-19
6.500000000000000222e-02,4.083837247482808297e-01,9.966534882720735899e-03,4.034362333402505829e-01,3.136249597147932906e-03,-7.490529071193024968e-21,2.332176947138772383e-01,1.718284686928217044e-04,-3.291964934579826862e-01,1.751717043801339800e-03,1.721417142823629051e-03,-2.602575024912794684e-03,5.651518247957754171e-20,3.280624302924855801e-20,4.925697788062003630e-20
7.000000000000000666e-02,3.823680372761493196e-01,1.002460720443163270e-02,3.764146358309941043e-01,2.926186762526190518e-03,1.085782945730479993e-19,2.175759548865913162e-01,2.143364028626017605e-04,-3.071623628465547373e-01,1.634036525931143857e-03,1.606382426910186838e-03,-2.428506971373912710e-03,3.866902885214322428e-20,3.446897442777238742e-20,-1.056853492578622043e-19
