Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,9.882719911197260787e-01,9.810579786564499125e-03,9.899999999999999911e-01,1.000000000000000021e-02,0.000000000000000000e+00,5.726444895348530295e-01,0.000000000000000000e+00,8.075755621645367421e-01,5.784287773079324450e-03,0.000000000000000000e+00,8.157328910752896858e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.543476067716203382e-01,9.736605921302337111e-03,9.438611192066206357e-01,8.725455931080434990e-03,1.575013533000177413e-19,5.477829239980583909e-01,-1.646027263996273186e-04,7.686434114747358048e-01,3.244063240650407309e-03,1.483407323780823288e-03,8.396126320532623297e-03,2.061729681312533692e-19,-7.288303017873060426e-21,4.688418947959235503e-20
1.000000000000000021e-02,9.051593656736514060e-01,1.000075674150480327e-02,8.994431839151965091e-01,8.316229184053142154e-03,1.713681879006894714e-19,5.221842639613916148e-01,-5.973924971298684959e-04,7.323436202199529177e-01,3.094752305254079919e-03,1.412179512778215674e-03,8.000333765445503953e-03,1.707795775302461267e-19,-1.538157824822574180e-21,8.898055536907932616e-20
1.499999999999999944e-02,8.535896714725157430e-01,9.971256525397039633e-03,8.571154899348092382e-01,7.926087320005579390e-03,1.767578059206236869e-19,4.977678826109382948e-01,-9.550743978324308277e-04,6.977678949082256610e-01,2.952051536574133023e-03,1.344479499634508666e-03,7.623249996647553026e-03,-2.024535867429735907e-20,-2.236871229467746943e-19,2.310416878450509853e-19
2.000000000000000042e-02,8.296969371547557870e-01,1.036340225952537761e-02,8.167796810660515883e-01,7.554153548158132683e-03,1.948679177946905927e-19,4.744809263508266151e-01,-1.247984967176504843e-03,6.648331395171764857e-01,2.815701007403633143e-03,1.280119816444720776e-03,7.263984475812968258e-03,1.107735062238254384e-19,8.124947059301323312e-21,1.603384336496721545e-19
2.500000000000000139e-02,8.024501898187583748e-01,1.004575274564782107e-02,7.783420282202078155e-01,7.199589900019626697e-03,-2.487642745316510644e-19,4.522726823258650941e-01,-1.485129189949780477e-03,6.334604123802404230e-01,2.685447269296677500e-03,1.218924088916111155e-03,6.921689662497980053e-03,5.560630196128227871e-20,2.177003426813226406e-19,-3.443879275425739865e-19
2.999999999999999889e-02,7.361606481921901812e-01,9.854883259260245262e-03,7.417132119817387848e-01,6.861595491969364399e-03,2.379268554548825633e-19,4.310945212417901518e-01,-1.674348083633562080e-03,6.035747001775102483e-01,2.561043160161089512e-03,1.160726625864852944e-03,6.595559020689242824e-03,-1.446721580845559838e-19,-3.879179626577615752e-19,3.942582167335319684e-19
3.500000000000000333e-02,7.129624637525970865e-01,1.019285473712761882e-02,7.068081152449741111e-01,6.539405072085502368e-03,-1.837234583500303101e-19,4.108998369643316328e-01,-1.822465450392722142e-03,5.751047065605786601e-01,2.442248209374984960e-03,1.105371620375898613e-03,6.284824950108650228e-03,-6.777820686156439370e-20,-1.225632143211491447e-19,-1.771641116940482409e-19
4.000000000000000083e-02,6.634004550703825887e-01,1.001521507958889369e-02,6.735456255898104594e-01,6.232287599069619849e-03,2.275434803287843351e-19,3.916439842821318185e-01,-1.935416294100408222e-03,5.479826540183390104e-01,2.328828936740057285e-03,1.052712425348810996e-03,5.988756832144021686e-03,2.582954016846616290e-20,2.146342353463627297e-20,2.606281214313444749e-19
4.499999999999999833e-02,6.566605707835737604e-01,9.711548442267348147e-03,6.418484469401164461e-01,5.939544856261650720e-03,4.212003381092774900e-19,3.732842155010499541e-01,-2.018359185373206754e-03,5.221440979510304503e-01,2.220559061084696750e-03,1.002610895352967898e-03,5.706659182863237784e-03,-3.600634885854120975e-19,-2.318431846930315399e-19,7.716636517318850414e-19
5.000000000000000278e-02,6.116877450340800770e-01,1.025883949150726594e-02,6.116429200708242142e-01,5.660510103051815886e-03,-3.414463829514791661e-19,3.557796164343814405e-01,-2.075774573702763529e-03,4.975277520201660253e-01,2.117219632254262445e-03,9.549367876735220893e-04,5.437869906198518691e-03,1.611272533992119819e-19,3.251166864657324286e-19,-5.328300818583201952e-19
5.500000000000000028e-02,6.088954433491813312e-01,9.850289095356937544e-03,5.828588515486574639e-01,5.394546765380123926e-03,-1.438113424659815012e-19,3.390910422629872523e-01,-2.111550797134079463e-03,4.740753239294261401e-01,2.018599098389702463e-03,9.095672162562415527e-04,5.181758640934268183e-03,5.449997798872082152e-20,1.048322507378429375e-19,-2.149425381955373201e-19
5.999999999999999778e-02,5.454224142004994169e-01,1.005738796166652516e-02,5.554293507116138118e-01,5.141047166519616823e-03,3.125027118671713118e-19,3.231810536621319008e-01,-2.129059322253681625e-03,4.517313608710756823e-01,1.924493318811582813e-03,8.663861529871856593e-04,4.937725195649109340e-03,-2.714730097252413749e-19,-5.558953970776458219e-19,5.755934547836087375e-19
6.500000000000000222e-02,5.382344402890677504e-01,9.936764412758064546e-03,5.292906743097860467e-01,4.899431298891543558e-03,3.083047075461771247e-19,3.080138535241069841e-01,-2.131220556573998771e-03,4.304431039418812888e-01,1.834705531430805021e-03,8.252839713946044089e-04,4.705198066203352542e-03,-8.549690395756779333e-20,1.246324604348956731e-21,4.385731911513014536e-19
7.000000000000000666e-02,5.099961103714434341e-01,1.018836685511798415e-02,5.043820784491811482e-01,4.669145637315967774e-03,-2.482973614768711787e-19,2.935552245486028888e-01,-2.120561408482035930e-03,4.101603508964019595e-01,1.749046282409158753e-03,7.861570284203651298e-04,4.483633030790077842e-03,-6.834146981578370952e-20,-1.489764824565728366e-19,-2.559253046382702270e-19
7.499999999999999722e-02,4.934546808113522420e-01,9.716656013785266929e-03,4.806456774946427091e-01,4.449661993767711071e-03,2.807416133163191011e-19,2.797724679214720345e-01,-2.099265623692155112e-03,3.908353266596148456e-01,1.667333324716997441e-03,7.489072804079890825e-04,4.272511817922041398e-03,9.320956211193086043e-20,-5.529461100614830049e-20,2.780646983248488056e-19
