offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
9.999999999999998863e+02,2.000000000000000000e+02,-2.960294879068010232e+01,-2.960294879068010232e+01,-3.427394956670466009e+00,-3.001432437324337116e+03,-3.001432437324337116e+03,-3.003501832813298734e+03,-1.574262963018099981e+01,-1.574262963018099981e+01,-3.014740739638010147e+00
9.487179487179487296e+02,2.000000000000000000e+02,-2.952940872512544956e+01,-2.952940872512544956e+01,-3.572763329605050941e+00,-3.001368524933732260e+03,-3.001368524933732260e+03,-3.003631369352676302e+03,-1.571539209181037222e+01,-1.571539209181037222e+01,-3.069215816379768036e+00
8.974358974358974592e+02,2.000000000000000000e+02,-2.944332368635491548e+01,-2.944332368635491548e+01,-3.750099064162650819e+00,-3.001289980549488973e+03,-3.001289980549488973e+03,-3.003783292464143869e+03,-1.568366851489520286e+01,-1.568366851489520286e+01,-3.132662970209335374e+00
8.461538461538461888e+02,2.000000000000000000e+02,-2.934181683490135129e+01,-2.934181683490135129e+01,-3.967339531909684247e+00,-3.001194163344504886e+03,-3.001194163344504886e+03,-3.003960700109277241e+03,-1.564643773654756842e+01,-1.564643773654756842e+01,-3.207124526905528850e+00
7.948717948717949184e+02,2.000000000000000000e+02,-2.922118755181490712e+01,-2.922118755181490712e+01,-4.234205325466273706e+00,-3.001079175576108810e+03,-3.001079175576108810e+03,-3.004165068418679311e+03,-1.560237806668396843e+01,-1.560237806668396843e+01,-3.295243866632278973e+00
7.435897435897436480e+02,2.000000000000000000e+02,-2.907663460851108539e+01,-2.907663460851108539e+01,-4.562386865634553423e+00,-3.000945716574114613e+03,-3.000945716574114613e+03,-3.004392910769119226e+03,-1.554975799825001559e+01,-1.554975799825001559e+01,-3.400484003500664265e+00
6.923076923076922640e+02,2.000000000000000000e+02,-2.890187865423467883e+01,-2.890187865423467883e+01,-4.965660766968699846e+00,-3.000801191207831835e+03,-3.000801191207831835e+03,-3.004628199508899797e+03,-1.548627957893084783e+01,-1.548627957893084783e+01,-3.527440842137459232e+00
6.410256410256409936e+02,2.000000000000000000e+02,-2.868865114729112520e+01,-2.868865114729112520e+01,-5.459980623683264866e+00,-3.000668007204881178e+03,-3.000668007204881178e+03,-3.004826702671979547e+03,-1.540885092933854139e+01,-1.540885092933854139e+01,-3.682298141323847585e+00
5.897435897435897232e+02,2.000000000000000000e+02,-2.842601541350046546e+01,-2.842601541350046546e+01,-6.063736209330130578e+00,-3.000597196537158197e+03,-3.000597196537158197e+03,-3.004889839889355699e+03,-1.531325170236243594e+01,-1.531325170236243594e+01,-3.873496595275487397e+00
5.384615384615384528e+02,2.000000000000000000e+02,-2.809949887375387334e+01,-2.809949887375387334e+01,-6.798611048034841176e+00,-3.000678529061924564e+03,-3.000678529061924564e+03,-3.004645333080609817e+03,-1.519363599246150898e+01,-1.519363599246150898e+01,-4.112728015076956289e+00
4.871794871794871824e+02,2.000000000000000000e+02,-2.769006152371889584e+01,-2.769006152371889584e+01,-7.691710749613815068e+00,-3.001008203442918784e+03,-3.001008203442918784e+03,-3.003911759317112228e+03,-1.504178956086423113e+01,-1.504178956086423113e+01,-4.416420878271575035e+00
4.358974358974359120e+02,2.000000000000000000e+02,-2.717301886874528805e+01,-2.717301886874528805e+01,-8.779693309478474816e+00,-3.001574748684231054e+03,-3.001574748684231054e+03,-3.002724771584571045e+03,-1.484602467925537894e+01,-1.484602467925537894e+01,-4.807950641489958876e+00
3.846153846153845279e+02,2.000000000000000000e+02,-2.651713140586207373e+01,-2.651713140586207373e+01,-1.011524788365561456e+01,-3.002190688985928773e+03,-3.002190688985928773e+03,-3.001469111332759894e+03,-1.458957743012388164e+01,-1.458957743012388164e+01,-5.320845139752271358e+00
3.333333333333332575e+02,2.000000000000000000e+02,-2.568396947150495180e+01,-2.568396947150495180e+01,-1.177508188427841063e+01,-3.002652316438278831e+03,-3.002652316438278831e+03,-3.000552346296159158e+03,-1.424845699220998085e+01,-1.424845699220998085e+01,-6.003086015579958357e+00
2.820512820512819872e+02,2.000000000000000000e+02,-2.462739788855520828e+01,-2.462739788855520828e+01,-1.386555144896543901e+01,-3.002899741639223521e+03,-3.002899741639223521e+03,-3.000080169495478913e+03,-1.378919056922569553e+01,-1.378919056922569553e+01,-6.921618861548945567e+00
2.307692307692307168e+02,2.000000000000000000e+02,-2.329536473815875297e+01,-2.329536473815875297e+01,-1.651373705196960273e+01,-3.002973366577329216e+03,-3.002973366577329216e+03,-2.999948800317047699e+03,-1.316875014710302594e+01,-1.316875014710302594e+01,-8.162499705793939242e+00
