Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.018043194673046825e+00,1.863996148861421856e-02,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,1.241254045166480108e-01,0.000000000000000000e+00,-9.418560845233089340e-01,6.532916027192001845e-03,0.000000000000000000e+00,-4.957137286964784229e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.001544880057239517e+00,2.173512723217090395e-02,9.332417103035394179e-01,4.780074176402486497e-02,5.019248239616328263e-20,1.223723916814283136e-01,-2.144303058690329687e-03,-9.251839176791667452e-01,1.332681703407135113e-02,3.484058987910637790e-03,-4.645774321529828194e-02,1.344250567304758995e-19,7.379540631555888938e-19,-3.291085999428431809e-20,5.000000000000000104e-03
9.729823133091646259e-01,1.982404715639138337e-02,9.163256485558120001e-01,4.692450328655532049e-02,6.281404027401405336e-20,1.202250881937229066e-01,-1.812534899133876054e-03,-9.084045773892878151e-01,1.313359761327959757e-02,3.450334892711365547e-03,-4.559939221230084605e-02,2.421982062684443894e-19,1.104366113958440488e-18,-3.143833587805774671e-20,1.000000000000000021e-02
9.379681417204571714e-01,1.640174120770217236e-02,8.997126754733778542e-01,4.607390630986859387e-02,-2.541319495804335350e-20,1.180947556737023674e-01,-1.553749596556520431e-03,-8.919287099000803298e-01,1.289255065586342348e-02,3.389989736172255904e-03,-4.477320752279020238e-02,9.350047124408408867e-19,-2.328265177066362845e-19,1.488554097283246597e-19,1.499999999999999944e-02
9.116841775917913226e-01,2.057399666559505541e-02,8.834008302450859773e-01,4.523874294991452744e-02,8.633802714936543603e-20,1.159893602255262085e-01,-1.362100420045135162e-03,-8.757532876083449214e-01,1.265639520289652507e-02,3.329980530808606017e-03,-4.396194525737227854e-02,4.235822432523690488e-19,1.713243025564504289e-18,-3.126147294257775671e-20,2.000000000000000042e-02
8.909795710065826491e-01,2.120256948872803124e-02,8.673846917727259243e-01,4.441867602462360592e-02,-1.382562936535367513e-20,1.139122559242169846e-01,-1.219188354570531095e-03,-8.598724005143373317e-01,1.242518666059094605e-02,3.270656183157309455e-03,-4.316525801659837347e-02,1.951091068461139706e-18,-1.711028214302119711e-18,2.710757197559150933e-19,2.500000000000000139e-02
8.642717811156906960e-01,1.832100123714382536e-02,8.516589072774131131e-01,4.361344394110541062e-02,-4.372252662157172732e-20,1.118656655109529219e-01,-1.111598578151356534e-03,-8.442803566246878111e-01,1.219865332660012743e-02,3.212117002183113943e-03,-4.238291775280201429e-02,1.427935203743053938e-18,-4.050598896934476430e-19,2.322854188380492420e-19,2.999999999999999889e-02
9.094056862780541817e-01,2.037137565735440761e-02,8.362182185424339442e-01,4.282278690770900675e-02,-2.124296819494684287e-20,1.098510138640750589e-01,-1.029628239337701447e-03,-8.289716644746563112e-01,1.197657662651824967e-02,3.154429164049017686e-03,-4.161469123350166471e-02,-1.903401868962856995e-18,-9.649361844401155518e-20,-2.294190277136882869e-19,3.500000000000000333e-02
8.745156531525617449e-01,2.327756127927076840e-02,8.210574610340848345e-01,4.204644730797756774e-02,1.290401789829165758e-19,1.078691523417242421e-01,-9.662595580988374549e-04,-8.139410026756842553e-01,1.175877898108931841e-02,3.097635372804697328e-03,-4.086034201754600720e-02,6.758704154524690754e-19,2.547608530372967472e-18,-4.108428235560274869e-20,4.000000000000000083e-02
8.484503129312386260e-01,1.890245781031373029e-02,8.061715626609597951e-01,4.128417035992601458e-02,1.069832032440471024e-20,1.059205208214538119e-01,-9.164164292430311770e-04,-7.991831973090648411e-01,1.154511282631206712e-02,3.041761460974654312e-03,-4.011963256711140874e-02,-1.232399841957360697e-18,-1.040043642363000064e-18,-1.732064334435562118e-19,4.499999999999999833e-02
8.107671637006625964e-01,2.121936093124316899e-02,7.915555424279325791e-01,4.053570457301503005e-02,-4.965474392337103563e-20,1.040052648153664550e-01,-8.764268467707477320e-04,-7.846932051339071679e-01,1.133545265033358493e-02,2.986821152439395922e-03,-3.939232575806980025e-02,2.887437235630137153e-18,-2.464531382593492794e-18,4.306138998098578649e-19,5.000000000000000278e-02
8.279512719387068787e-01,2.190805084636905306e-02,7.772045090230820241e-01,3.980080205610830868e-02,9.911978142390265128e-20,1.021233201012452657e-01,-8.436341687970281200e-04,-7.704661010084699058e-01,1.112968922869991828e-02,2.932819504867138685e-03,-3.867818595033388485e-02,-3.409065086080814720e-18,8.461667797671476333e-19,-5.492509776033280111e-19,5.500000000000000028e-02
8.165145306363962296e-01,1.867710490826335334e-02,7.631136593643403909e-01,3.907921871806440545e-02,-7.547934195789505503e-20,1.002744738647641520e-01,-8.161160129215044466e-04,-7.564970683664276052e-01,1.092772544953730940e-02,2.879755397401567284e-03,-3.797697974037485963e-02,1.957933290346796882e-18,-5.995444215383650891e-19,3.341642547228446571e-19,5.999999999999999778e-02
8.090302702515486111e-01,1.983930905533154432e-02,7.492782771244487217e-01,3.837071439107234833e-02,1.439601117074361342e-19,9.845840885723886049e-02,-7.924809819099923628e-04,-7.427813919096071249e-01,1.072947328856570584e-02,2.827623327964961207e-03,-3.728847648428159495e-02,-4.532697317952665726e-19,2.060285844587127458e-18,-2.049404342214316425e-19,6.500000000000000222e-02
7.592834028341892694e-01,2.094497340758439546e-02,7.356937312485335445e-01,3.767505289854758410e-02,-1.185282412308739420e-20,9.667473527257802735e-02,-7.717216704551159651e-04,-7.293144519117439328e-01,1.053485161569658879e-02,2.776414711367180058e-03,-3.661244865530791787e-02,-2.486125676483325080e-18,-9.417903316009540860e-20,-3.156864166846358850e-19,7.000000000000000666e-02
8.087142929767680011e-01,1.859578949140667722e-02,7.223554744730640298e-01,3.699200208327920597e-02,4.596207450812999027e-20,9.492301374455858198e-02,-7.531083702226870884e-04,-7.160917196938666462e-01,1.034378460307564668e-02,2.726118816458228747e-03,-3.594867208206423137e-02,2.130466906604994509e-20,-3.389386709647408288e-18,-4.355179181920077700e-20,7.499999999999999722e-02
7.491166053106804723e-01,2.128988732101211312e-02,7.092590418541609987e-01,3.632133380726482175e-02,1.989643623774283943e-19,9.320277192408106537e-02,-7.361122048612305478e-04,-7.031087539551958976e-01,1.015620056815303221e-02,2.676723442292894359e-03,-3.529692610082049015e-02,8.945777450806650520e-19,3.235118563536620350e-18,-8.279005790815044144e-20,8.000000000000000167e-02
7.333783708694007197e-01,1.677093262462789336e-02,6.964000493089419486e-01,3.566282393139143247e-02,-1.215557178386849937e-19,9.151351641476787591e-02,-7.203495465784562259e-04,-6.903611977289076940e-01,9.972031131440428978e-03,2.628215405594143059e-03,-3.465699364600897253e-02,-1.344040817181708958e-18,-1.419416908637211363e-18,-5.452178843098424424e-20,8.500000000000000611e-02
7.390127343416157402e-01,2.057569853376845989e-02,6.837741921743956119e-01,3.501625228095739395e-02,4.178599831791932930e-20,8.985474135312969401e-02,-7.055418219616338069e-04,-6.778447757977826837e-01,9.791210601920756137e-03,2.580580891793129647e-03,-3.402866129644378790e-02,-1.488727351233912728e-18,-1.290922605898559147e-18,-2.383438263846297666e-19,8.999999999999999667e-02
6.985078404187216039e-01,1.754325990787727885e-02,6.713772437852338903e-01,3.438140260127908049e-02,1.082493895706337782e-19,8.822593456316017713e-02,-6.914864461570022387e-04,-6.655552924486598521e-01,9.613675527188341938e-03,2.533805707440835598e-03,-3.341171928982986788e-02,-1.943776596829195888e-18,4.103619168153588473e-18,-3.653519705589410605e-19,9.500000000000000111e-02
6.958910406847244046e-01,2.102374725631112398e-02,6.592050540726844821e-01,3.375806250649808493e-02,-1.059054426256733188e-19,8.662658195788608406e-02,-6.780358042579268671e-04,-6.534886294790410721e-01,9.439364362801787312e-03,2.487875461324646955e-03,-3.280596151470283744e-02,3.426069919821472031e-18,-2.889036012797868754e-18,5.583363465350480729e-19,1.000000000000000056e-01
6.695414954302616461e-01,1.868320087140095884e-02,6.472535481850556494e-01,3.314602342380733313e-02,8.062025762922177403e-20,8.505617067411955223e-02,-6.650820518371832000e-04,-6.416407443926055443e-01,9.268217227942689498e-03,2.442775694057523587e-03,-3.221118548637417339e-02,-5.284676785945419234e-19,4.176460612734085220e-18,-1.509630945360881591e-19,1.049999999999999961e-01
6.521498993225532947e-01,2.038217070963622285e-02,6.355187251309151186e-01,3.254508053472172230e-02,1.444167360472140670e-19,8.351419129205860103e-02,-6.525461234590970543e-04,-6.300076687381394036e-01,9.100175723580440634e-03,2.398491970432277496e-03,-3.162719231165771194e-02,-3.836385577339339214e-18,9.090327789342735524e-19,-6.512553467490532390e-19,1.100000000000000006e-01
6.896125572165481277e-01,2.126352728661183925e-02,6.239966564447392283e-01,3.195503271451996530e-02,-2.950913098335424112e-19,8.200013939392149231e-02,-6.403697840942545929e-04,-6.185855065582386292e-01,8.935182795924189250e-03,2.355009944870102654e-03,-3.105378664578330172e-02,1.784362238353852567e-18,-1.386065662108326586e-18,5.328005384556707777e-19,1.150000000000000050e-01
6.352842134288863019e-01,1.895677980014769462e-02,6.126834848756055329e-01,3.137568247071503835e-02,-1.224710061448451417e-19,8.051351664551363585e-02,-6.285098809399725225e-04,-6.073704329241246258e-01,8.773182632723084892e-03,2.312315407441603576e-03,-3.049077664400159926e-02,2.108700766497485296e-18,-6.723307649672584324e-19,4.014315962879061934e-19,1.199999999999999956e-01
6.617910592548731374e-01,1.979263959562066813e-02,6.015754230984988737e-01,3.080683588112518440e-02,4.316267585013263478e-20,7.905383153359626935e-02,-6.169341864190153960e-04,-5.963586925386314963e-01,8.614120583403007611e-03,2.270394315861323873e-03,-2.993797390964460237e-02,-2.083988092018563009e-18,4.243858869240904066e-18,-3.181806774003923743e-19,1.250000000000000000e-01
6.209553408729108215e-01,1.878676671389209810e-02,5.906687524485949581e-01,3.024830253199698241e-02,2.448053984695524720e-19,7.762059985522785921e-02,-6.056183918024232293e-04,-5.855465983950562947e-01,8.457943096532704458e-03,2.229232817363545598e-03,-2.939519343995494402e-02,-4.409908242586647043e-19,2.183480659206826540e-18,-3.050394829064795464e-19,1.300000000000000044e-01
6.088057829296030787e-01,1.816416863628301376e-02,5.799598216775991855e-01,2.969989545644238435e-02,-7.420848550790886843e-20,7.621334502846394132e-02,-5.945439328865632488e-04,-5.749305304817970974e-01,8.304597669905466537e-03,2.188817263280691105e-03,-2.886225357056923860e-02,1.903291224523035017e-18,-3.923849883892136406e-18,3.256812366877374862e-19,1.350000000000000089e-01
6.055709335902603740e-01,2.040485872762331718e-02,5.694450457324781167e-01,2.916143107343492635e-02,2.196932377996369919e-21,7.483159827472653236e-02,-5.836964173558916846e-04,-5.645069345264907001e-01,8.154032809828491019e-03,2.149134218373953929e-03,-2.833897591935198232e-02,-2.482201618424668275e-18,-7.928286069037568848e-20,-3.293405126696511956e-19,1.400000000000000133e-01
