Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
9.984462424567637218e-01,1.628474393977278473e-02,9.499999999999997335e-01,4.999999999999998890e-02,0.000000000000000000e+00,2.781046353077206712e-01,0.000000000000000000e+00,9.083819746232084658e-01,1.463708606882740439e-02,0.000000000000000000e+00,4.780957761174781800e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.709438056941028794e-01,1.761803356134512485e-02,9.276218390591850493e-01,4.759766668723271893e-02,-5.807717122489222509e-20,2.722528813212617416e-01,2.546172900803733014e-04,8.867700827826614507e-01,6.461882156220277555e-03,1.530471890570854086e-03,4.780005018310125309e-02,3.346746987519191308e-19,2.562681327529275720e-19,-1.631999553582772356e-19,5.000000000000000104e-03
9.536979223923930382e-01,2.225945051379021877e-02,9.057802332076472229e-01,4.647624614796698472e-02,-7.941235478865980867e-20,2.654753177439999057e-01,-1.207708640891366064e-03,8.660027687682496644e-01,6.271982890565044183e-03,1.492135433949249917e-03,4.668538952869737135e-02,7.206274147281170434e-19,4.857702247434444864e-19,-3.036735306525176350e-19,1.000000000000000021e-02
9.156095745182508683e-01,1.890638708057881465e-02,8.844522275843368364e-01,4.538824360498022736e-02,-2.638666575802616256e-19,2.589512016690349028e-01,-2.248538671098095076e-03,8.456949919345413402e-01,6.140041450136898837e-03,1.446829139690347134e-03,4.558793392354989343e-02,2.288860570603464161e-18,-6.378569013374440052e-19,-9.766993222505966006e-19,1.499999999999999944e-02
8.992627606725691614e-01,2.032501370330943788e-02,8.636259419021364847e-01,4.432414475277798166e-02,-1.194061291808305932e-19,2.526554468900570338e-01,-2.971557002076308848e-03,8.258420079310043738e-01,6.007213534358783746e-03,1.405314919074595898e-03,4.451574856791250950e-02,1.360352135637097291e-18,8.660529100591318648e-19,-5.413538258475467192e-19,2.000000000000000042e-02
8.765388965251876829e-01,1.762341006887952963e-02,8.432897062778019759e-01,4.328380545697999016e-02,-9.083625527965320757e-20,2.465622222224637672e-01,-3.464631668574121980e-03,8.064395205287202550e-01,5.874288704565877074e-03,1.366820181168588305e-03,4.346844099656862331e-02,4.124322741084152829e-18,5.031779948277956311e-19,-1.357675238797839700e-18,2.500000000000000139e-02
8.771156803161734850e-01,1.840185845526772987e-02,8.234320853186182232e-01,4.226702211962989758e-02,-4.502922131815736957e-19,2.406518666279023333e-01,-3.791599337887366621e-03,7.874815897186078217e-01,5.742151607098166903e-03,1.330714042059038963e-03,4.244552744572880482e-02,3.896550818391613804e-18,-1.075992837032852351e-18,-1.663866621149353044e-18,2.999999999999999889e-02
8.265318235243097611e-01,1.730239637236211797e-02,8.040418842019750878e-01,4.127349868026013863e-02,1.721910258919709636e-20,2.349092678190323469e-01,-3.998763750072091040e-03,7.689611344659261771e-01,5.611426424288972967e-03,1.296533583508793688e-03,4.144650719492846275e-02,-2.540367894373788338e-18,3.674800137827515438e-19,7.957514068592502386e-19,3.500000000000000333e-02
8.336472318730454578e-01,2.018618251445168307e-02,7.851081508974877554e-01,4.030287508195202345e-02,-1.903279798880842105e-19,2.293226344323461008e-01,-4.119706263298347423e-03,7.508703109382168783e-01,5.482546299176175621e-03,1.263938370968723445e-03,4.047087108263395377e-02,2.218122772904228785e-18,1.377810246270274213e-18,-8.781347803063072204e-19,4.000000000000000083e-02
8.154804094626529887e-01,1.690000099084694798e-02,7.666201761654096725e-01,3.935474824831912410e-02,-4.026895577257203692e-19,2.238826042466611765e-01,-4.178777149862423525e-03,7.332007855259815576e-01,5.355806201586672116e-03,1.232676955767819963e-03,3.951810725914300937e-02,4.168248610332959025e-18,-5.398943673340038594e-19,-1.697264347553252729e-18,4.499999999999999833e-02
7.884301238742431606e-01,2.002211855120215878e-02,7.485674919867174593e-01,3.842868722718360136e-02,-1.491845437573715829e-19,2.185815966370191488e-01,-4.193628910231616234e-03,7.159439314495706919e-01,5.231401296422777056e-03,1.202562562501113949e-03,3.858770527747860946e-02,6.250338402361769265e-18,7.732211304862953728e-19,-2.069584658246841892e-18,5.000000000000000278e-02
7.289836012484801619e-01,1.995162711482420179e-02,7.309398688921004972e-01,3.752424410035271052e-02,2.514901879604658188e-20,2.134133422618540166e-01,-4.177054460866174573e-03,6.990909699538812028e-01,5.109454773489857486e-03,1.173455445081141328e-03,3.767915898279418363e-02,1.836154341766434096e-18,1.667566985128976249e-18,-5.358444787847088785e-19,5.500000000000000028e-02
7.406728710123690052e-01,2.167348596446934395e-02,7.137273125280934050e-01,3.664096182306750965e-02,-7.596938697228489106e-19,2.083725413628843282e-01,-4.138320931945348169e-03,6.826330713299668673e-01,4.990038030625205089e-03,1.145250081722388623e-03,3.679196853184846239e-02,5.566159618096385823e-18,-1.538858522827164199e-18,-2.498600842265078218e-18,5.999999999999999778e-02
7.270393053487854695e-01,2.183300382657149194e-02,6.969200597048741397e-01,3.577837983739805272e-02,6.534488278869870258e-19,2.034546153979119587e-01,-4.084137475000035669e-03,6.665614268203375881e-01,4.873185308553165153e-03,1.117865881157747033e-03,3.592564178306433681e-02,-1.400711799101161452e-17,9.192411779048156689e-19,4.971719995840337753e-18,6.500000000000000222e-02
7.460999011233666600e-01,1.964422278032551539e-02,6.805085741024183843e-01,3.493603807216444368e-02,5.577543631914482415e-20,1.986555264069324034e-01,-4.019357504826447450e-03,6.508672994301495374e-01,4.758904300101701734e-03,1.091240436696986347e-03,3.507969523165607728e-02,-3.394472057238132697e-18,4.816987082577028615e-19,1.097561494939613445e-18,7.000000000000000666e-02
6.955804035031566412e-01,2.059212168385183769e-02,6.644835417622755314e-01,3.411347977382341717e-02,2.287103031038233082e-19,1.939716455359738745e-01,-3.947488244557460085e-03,6.355420594643658161e-01,4.647183838609801436e-03,1.065324629072205440e-03,3.425365461637899095e-02,4.333447500494462782e-18,-2.485082262666083363e-18,-1.087512826541169248e-18,7.499999999999999722e-02
6.549624234171057546e-01,2.198189768397874194e-02,6.488358664565189171e-01,3.331025349077550851e-02,-2.979008225642161289e-19,1.893996572398119194e-01,-3.871060448255815665e-03,6.205772090132413155e-01,4.537999467198378101e-03,1.040079070839136383e-03,3.344705528969513231e-02,2.878906358974257889e-18,1.777211676582257557e-18,-1.192937568948468052e-18,8.000000000000000167e-02
6.889365253502913733e-01,2.017995440937702528e-02,6.335566649997838029e-01,3.252591444503740575e-02,-3.190296872501476126e-20,1.849364893830154899e-01,-3.791896667162363878e-03,6.059643984494113012e-01,4.431317470598879031e-03,1.015471524273035137e-03,3.265944241792963915e-02,5.822449685781471365e-18,2.042289504848764783e-19,-1.815929986319686745e-18,8.500000000000000611e-02
6.685823808022897108e-01,1.960614198277354711e-02,6.186372625511397105e-01,3.176002546098072310e-02,-5.928189878130069016e-19,1.805792621421651867e-01,-3.711305898435030177e-03,5.916954371582994199e-01,4.327097791618525306e-03,9.914750256893561497e-04,3.189037105967321151e-02,5.198307401305140397e-18,-6.693708430332548755e-19,-2.211461123843862760e-18,8.999999999999999667e-02
6.555325055858777228e-01,1.725357156502543496e-02,6.040691879389921137e-01,3.101215757423313527e-02,1.134386983949676650e-18,1.763252505592523556e-01,-3.630224816499706859e-03,5.777623001132481395e-01,4.225296138498564960e-03,9.680665224083495005e-04,3.113940615740451792e-02,-8.494081484845976529e-18,2.910601332743736200e-18,3.786855270654397006e-18,9.500000000000000111e-02
6.193545334627584831e-01,1.903829953324434957e-02,5.898441690329044862e-01,3.028189041005466958e-02,-2.305872630369920889e-19,1.721718570093267175e-01,-3.549320244410266671e-03,5.641571314644338031e-01,4.125865505388215913e-03,9.452258817392578377e-04,3.040612246770309224e-02,7.320248830021675290e-18,9.132227960414868902e-19,-2.482274080851713359e-18,1.000000000000000056e-01
6.506419570459364143e-01,1.916077243219938692e-02,5.759541281780916622e-01,2.956881239591174076e-02,7.993926981777613723e-19,1.681165908703744216e-01,-3.469063500762374803e-03,5.508722459883336198e-01,4.028757267170989323e-03,9.229351699570000241e-04,2.969010444837725388e-02,-6.898764820358454546e-18,-1.702716362456586885e-18,2.948100702701871267e-18,1.049999999999999961e-01
5.668364076547520725e-01,1.619187327152498898e-02,5.623911777041900040e-01,2.887252085522210368e-02,3.455837507605776153e-20,1.641570534276066418e-01,-3.389784339410867320e-03,5.379001290123377466e-01,3.933921965636877696e-03,9.011781272335215535e-04,2.899094611581439981e-02,2.046468586477408234e-18,1.865836758717487595e-18,-5.903925425327888209e-19,1.100000000000000006e-01
5.990280276711064111e-01,2.219394061699568252e-02,5.491476155154677574e-01,2.819262201629111481e-02,1.037402203668238462e-18,1.602909265839321251e-01,-3.311710081696069008e-03,5.252334352592551436e-01,3.841309871885986802e-03,8.799397847963615158e-04,2.830825088214466642e-02,-9.505613214608289915e-18,2.741490990606135115e-18,3.995111408298298040e-18,1.150000000000000050e-01
5.720404955054858576e-01,1.926116537859879144e-02,5.362159207672639871e-01,2.752873096110186948e-02,-1.160795770406758656e-18,1.565159643401486667e-01,-3.234994004376122879e-03,5.128649869340380363e-01,3.750871386553257525e-03,8.592061853375117762e-04,2.764163137915451318e-02,5.850900298908239516e-18,-1.641487449597267453e-18,-3.005253904194306215e-18,1.199999999999999956e-01
5.356897586085440643e-01,1.947634031601705451e-02,5.235887496316280476e-01,2.688047153183130422e-02,1.784839427907493990e-19,1.528299862926473796e-01,-3.159735931556674135e-03,5.007877712861250608e-01,3.662557322539932141e-03,8.389641783783333574e-04,2.699070927396046010e-02,-8.826189283794421701e-18,-5.492329376599407542e-18,2.888833080011588246e-18,1.250000000000000000e-01
5.703471430606456005e-01,2.278444776612744554e-02,5.112589311531389180e-01,2.624747620799751727e-02,9.434742817322976504e-19,1.492308726024683119e-01,-3.085997169921102408e-03,4.889949378156350224e-01,3.576319102670523237e-03,8.192012700706681732e-04,2.635511508001444486e-02,-1.427287080904882930e-17,9.331862142092641557e-19,5.356394374523628653e-18,1.300000000000000044e-01
5.120290190991537704e-01,2.095490942889507990e-02,4.992194631959613327e-01,2.562938596362283189e-02,-5.271046020986569901e-19,1.457165600395211591e-01,-3.013811339559561812e-03,4.774797952458127437e-01,3.492108895797666791e-03,7.999055125321826625e-04,2.573448796605367142e-02,3.081770069638359788e-19,-1.958213063347512391e-18,-6.456037685786144178e-19,1.350000000000000089e-01
5.151851044428921167e-01,1.808354318938805091e-02,4.874635084811067554e-01,2.502585011112627364e-02,1.033113969864952992e-19,1.422850388139543232e-01,-2.943192226750178820e-03,4.662358083488231109e-01,3.409879708413302186e-03,7.810654219111855170e-04,2.512847556479385139e-02,-3.282288691133281371e-18,4.630452355184739160e-19,1.112929973075247521e-18,1.400000000000000133e-01
4.781264435898001097e-01,1.768095501133214523e-02,4.759843907136963037e-01,2.443652613684936872e-02,-2.593457295410773562e-19,1.389343499858572140e-01,-2.874139475990057212e-03,4.552565946886124038e-01,3.329585444145698007e-03,7.626699173360238729e-04,2.453673378270423977e-02,-2.472679305694525217e-18,4.286094931761808564e-19,4.857924813646186096e-19,1.449999999999999900e-01
4.927815966677009385e-01,1.839875138586579903e-02,4.647755907987325408e-01,2.386107953170062829e-02,3.455746506828692631e-19,1.356625833013779536e-01,-2.806642714303178923e-03,4.445359213257839559e-01,3.251180940117278078e-03,7.447082750540057888e-04,2.395892661176196245e-02,4.115547398764837637e-18,-2.329724830410368419e-18,-8.985833196601974436e-19,1.499999999999999944e-01
4.789323771615904834e-01,1.925890189100824823e-02,4.538307431442761830e-01,2.329918361944912503e-02,-1.757703046603944719e-15,1.324678753450172497e-01,-2.740684538134433024e-03,4.340677015170856246e-01,3.174621986673961151e-03,7.271700936319170716e-04,2.339472594383851592e-02,-5.146933179511986403e-16,-9.570682478158095826e-18,-1.680657850374966268e-15,1.549999999999999989e-01
4.679481697859159683e-01,2.061072612113512906e-02,4.431436320501223602e-01,2.275051938444421981e-02,-4.093437373902348747e-19,1.293484079277885390e-01,-2.676242675058495765e-03,4.238459914321019983e-01,3.099865335202821055e-03,7.100452672153499678e-04,2.284381138813298961e-02,2.555400760896297172e-18,1.595616245064611895e-18,-1.210443819793919457e-18,1.600000000000000033e-01
