offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
0.000000000000000000e+00,1.000000000000000000e+02,6.213782332103546935e+01,1.751417517496969944e+00,6.213782332103546935e+01,1.751417517496969944e+00,9.787183707288096279e-01
0.000000000000000000e+00,1.693877551020408134e+02,6.240282401981970395e+01,1.516849893877427080e+00,6.240282401981970395e+01,1.516849893877427080e+00,1.003692596070592913e+00
0.000000000000000000e+00,2.387755102040816269e+02,5.788792155674516948e+01,1.312311564657377749e+00,5.788792155674516948e+01,1.312311564657377749e+00,1.009412683539792743e+00
0.000000000000000000e+00,3.081632653061224119e+02,5.268259592572240990e+01,1.250747456778162015e+00,5.268259592572240990e+01,1.250747456778162015e+00,9.659027677260588751e-01
0.000000000000000000e+00,3.775510204081632537e+02,4.798885205187549019e+01,1.185139760203183457e+00,4.798885205187549019e+01,1.185139760203183457e+00,9.798404286854711653e-01
0.000000000000000000e+00,4.469387755102040956e+02,4.337179515257690809e+01,1.157434601037617750e+00,4.337179515257690809e+01,1.157434601037617750e+00,9.945382238436716316e-01
0.000000000000000000e+00,5.163265306122448237e+02,3.845577163739213944e+01,1.058592177960218317e+00,3.845577163739213944e+01,1.058592177960218317e+00,9.917587698281643549e-01
0.000000000000000000e+00,5.857142857142856656e+02,3.780969088458935090e+01,8.134441646773833412e-01,3.780969088458935090e+01,8.134441646773833412e-01,9.989639506363877652e-01
0.000000000000000000e+00,6.551020408163265074e+02,3.512768377734093406e+01,6.891858723559136646e-01,3.512768377734093406e+01,6.891858723559136646e-01,9.948330694203113556e-01
0.000000000000000000e+00,7.244897959183673493e+02,3.279876157503723277e+01,7.981725572044452433e-01,3.279876157503723277e+01,7.981725572044452433e-01,9.745394023664073480e-01
0.000000000000000000e+00,7.938775510204081911e+02,3.208301588874611099e+01,7.102350072543395232e-01,3.208301588874611099e+01,7.102350072543395232e-01,1.017998779462752967e+00
0.000000000000000000e+00,8.632653061224489193e+02,3.010605808380451265e+01,6.703204167608804998e-01,3.010605808380451265e+01,6.703204167608804998e-01,9.682173165436219753e-01
0.000000000000000000e+00,9.326530612244897611e+02,3.014358121833817350e+01,5.921159568509563043e-01,3.014358121833817350e+01,5.921159568509563043e-01,1.012771927314009446e+00
0.000000000000000000e+00,1.002040816326530603e+03,2.773692649201313642e+01,5.118432381852624502e-01,2.773692649201313642e+01,5.118432381852624502e-01,9.828185398919725424e-01
0.000000000000000000e+00,1.071428571428571331e+03,2.664180144375463755e+01,5.910818062423962571e-01,2.664180144375463755e+01,5.910818062423962571e-01,9.885149198184117747e-01
0.000000000000000000e+00,1.140816326530612287e+03,2.667901561282798895e+01,5.525006558606166962e-01,2.667901561282798895e+01,5.525006558606166962e-01,9.962401342095086321e-01
0.000000000000000000e+00,1.210204081632653015e+03,2.610167699977274935e+01,4.574282111621399971e-01,2.610167699977274935e+01,4.574282111621399971e-01,1.009393636260793592e+00
0.000000000000000000e+00,1.279591836734693743e+03,2.549708367879630089e+01,4.064705865761350512e-01,2.549708367879630089e+01,4.064705865761350512e-01,1.001827738022193603e+00
0.000000000000000000e+00,1.348979591836734699e+03,2.480662535133822999e+01,4.744831063804686444e-01,2.480662535133822999e+01,4.744831063804686444e-01,1.008033316212446184e+00
0.000000000000000000e+00,1.418367346938775427e+03,2.474962267705714680e+01,4.368943132910110827e-01,2.474962267705714680e+01,4.368943132910110827e-01,9.908697301258480028e-01
0.000000000000000000e+00,1.487755102040816382e+03,2.316830533656480640e+01,5.300475786892300256e-01,2.316830533656480640e+01,5.300475786892300256e-01,9.662144999055609640e-01
0.000000000000000000e+00,1.557142857142857110e+03,2.311836874846006751e+01,4.629269213610145983e-01,2.311836874846006751e+01,4.629269213610145983e-01,9.879071735973800061e-01
0.000000000000000000e+00,1.626530612244897839e+03,2.316059270573697404e+01,4.061154600550725413e-01,2.316059270573697404e+01,4.061154600550725413e-01,9.978216138735200857e-01
0.000000000000000000e+00,1.695918367346938794e+03,2.302862303034240909e+01,4.078773287562836858e-01,2.302862303034240909e+01,4.078773287562836858e-01,9.993117363776256035e-01
0.000000000000000000e+00,1.765306122448979522e+03,2.318143314412827394e+01,4.644214671587326149e-01,2.318143314412827394e+01,4.644214671587326149e-01,1.003537901166350554e+00
0.000000000000000000e+00,1.834693877551020250e+03,2.286068061830577136e+01,3.937898522419532865e-01,2.286068061830577136e+01,3.937898522419532865e-01,1.000078867285172590e+00
0.000000000000000000e+00,1.904081632653061206e+03,2.268711182037883489e+01,3.985624907690304974e-01,2.268711182037883489e+01,3.985624907690304974e-01,1.023227111320233362e+00
0.000000000000000000e+00,1.973469387755101934e+03,2.214040770738771968e+01,3.809463342210688830e-01,2.214040770738771968e+01,3.809463342210688830e-01,9.892101789158126435e-01
0.000000000000000000e+00,2.042857142857142662e+03,2.221018660208391893e+01,4.340372129661486666e-01,2.221018660208391893e+01,4.340372129661486666e-01,9.934392124623739884e-01
0.000000000000000000e+00,2.112244897959183618e+03,2.142070683619592941e+01,3.944011989941468843e-01,2.142070683619592941e+01,3.944011989941468843e-01,9.996285819787843474e-01
0.000000000000000000e+00,2.181632653061224573e+03,2.160244476721786100e+01,3.572030755927581014e-01,2.160244476721786100e+01,3.572030755927581014e-01,9.910407435513779451e-01
0.000000000000000000e+00,2.251020408163265074e+03,2.210059299435352642e+01,4.172518961732009091e-01,2.210059299435352642e+01,4.172518961732009091e-01,1.013267858942570543e+00
0.000000000000000000e+00,2.320408163265306030e+03,2.171672469491146273e+01,4.002169746173771525e-01,2.171672469491146273e+01,4.002169746173771525e-01,9.986937070793618920e-01
0.000000000000000000e+00,2.389795918367346985e+03,2.116732443264171337e+01,3.706690553780195296e-01,2.116732443264171337e+01,3.706690553780195296e-01,9.749441466221059338e-01
0.000000000000000000e+00,2.459183673469387486e+03,2.101415282068380108e+01,3.858512534752946976e-01,2.101415282068380108e+01,3.858512534752946976e-01,9.778427004217905560e-01
0.000000000000000000e+00,2.528571428571428442e+03,2.107211653114580585e+01,3.814633965042240615e-01,2.107211653114580585e+01,3.814633965042240615e-01,9.796196754428261322e-01
0.000000000000000000e+00,2.597959183673469397e+03,2.140018338250595065e+01,3.444167847103795643e-01,2.140018338250595065e+01,3.444167847103795643e-01,1.011751772841322561e+00
0.000000000000000000e+00,2.667346938775509898e+03,2.164097169858911229e+01,3.846521254594931216e-01,2.164097169858911229e+01,3.846521254594931216e-01,1.000145589550415881e+00
0.000000000000000000e+00,2.736734693877550853e+03,2.115796966339182461e+01,4.259235058313217692e-01,2.115796966339182461e+01,4.259235058313217692e-01,9.898436529160337116e-01
0.000000000000000000e+00,2.806122448979591809e+03,2.117306897565418211e+01,3.831999494340502799e-01,2.117306897565418211e+01,3.831999494340502799e-01,1.001014378928648085e+00
0.000000000000000000e+00,2.875510204081632764e+03,2.054957563699246137e+01,3.837671156350999091e-01,2.054957563699246137e+01,3.837671156350999091e-01,9.892428035250573348e-01
0.000000000000000000e+00,2.944897959183673265e+03,2.069081445323126900e+01,3.709917492126352800e-01,2.069081445323126900e+01,3.709917492126352800e-01,9.913907552700796932e-01
0.000000000000000000e+00,3.014285714285714221e+03,2.115975002837501151e+01,3.568751409531444319e-01,2.115975002837501151e+01,3.568751409531444319e-01,9.968578270520254136e-01
0.000000000000000000e+00,3.083673469387755176e+03,2.130784720801744925e+01,4.004441495615578273e-01,2.130784720801744925e+01,4.004441495615578273e-01,1.011955944002202346e+00
0.000000000000000000e+00,3.153061224489795677e+03,2.083590962642455580e+01,3.812757471497018047e-01,2.083590962642455580e+01,3.812757471497018047e-01,9.933473689908395299e-01
0.000000000000000000e+00,3.222448979591836633e+03,2.086676301506021503e+01,3.508908887066605753e-01,2.086676301506021503e+01,3.508908887066605753e-01,9.972585342816032705e-01
0.000000000000000000e+00,3.291836734693877588e+03,2.083566225592828758e+01,3.139209765138069597e-01,2.083566225592828758e+01,3.139209765138069597e-01,9.916278948494148260e-01
0.000000000000000000e+00,3.361224489795918089e+03,2.126141657838345012e+01,3.494732905545971380e-01,2.126141657838345012e+01,3.494732905545971380e-01,1.002447977832904291e+00
0.000000000000000000e+00,3.430612244897959044e+03,2.149050733155560877e+01,3.564059585609207770e-01,2.149050733155560877e+01,3.564059585609207770e-01,1.018425802050238138e+00
0.000000000000000000e+00,3.500000000000000000e+03,2.054388844115053558e+01,3.518685488643480408e-01,2.054388844115053558e+01,3.518685488643480408e-01,9.884502330596307562e-01
-1.000000000000000000e+03,1.000000000000000000e+02,2.540882404655265159e+00,5.398236266740901595e-02,5.662912287018176016e+01,5.452218629408307926e+00,1.003727113222818934e+00
-9.899497487437186010e+02,1.000000000000000000e+02,2.571256513653573883e+00,5.206432475365455059e-02,5.855442370231432392e+01,5.154370780056751755e+00,1.004598024465911621e+00
-9.798994974874372019e+02,1.000000000000000000e+02,2.603669889051481778e+00,5.485453982485442859e-02,6.056823525654877471e+01,5.322004048271837817e+00,1.006339325930368567e+00
-9.698492462311558029e+02,1.000000000000000000e+02,2.499380518983394417e+00,4.702419111664645629e-02,4.947148968696521365e+01,4.470155159789063859e+00,9.997816758180435581e-01
-9.597989949748744039e+02,1.000000000000000000e+02,2.582184140930224636e+00,4.618951814040922477e-02,5.621380870918741834e+01,4.301233106131290285e+00,1.000913657295109616e+00
-9.497487437185930048e+02,1.000000000000000000e+02,2.634394094852070989e+00,5.926547608344776008e-02,5.985818001493191787e+01,5.405145810359949010e+00,1.003224740362582468e+00
-9.396984924623116058e+02,1.000000000000000000e+02,2.529995737714458404e+00,4.895707970349544302e-02,4.933038197073105380e+01,4.372030032789357534e+00,9.978745517090018557e-01
-9.296482412060302067e+02,1.000000000000000000e+02,2.625054897757314709e+00,5.314248646738135157e-02,5.664516518725531569e+01,4.645959837913371970e+00,1.004332470784313980e+00
-9.195979899497486940e+02,1.000000000000000000e+02,2.672402155329052675e+00,5.693166855786949837e-02,5.953479396314864402e+01,4.871417788439920571e+00,9.937521492805128087e-01
-9.095477386934672950e+02,1.000000000000000000e+02,2.699578420730845973e+00,5.263598866765551582e-02,6.057409836104355350e+01,4.407090736631248618e+00,9.945749004194264220e-01
-8.994974874371858959e+02,1.000000000000000000e+02,2.709671974827653429e+00,4.532702628497908837e-02,6.012892842151546802e+01,3.712717367935479906e+00,9.984516096827508180e-01
-8.894472361809044969e+02,1.000000000000000000e+02,2.751748317871095750e+00,5.767247919423278829e-02,6.222378955567711500e+01,4.620236810085168067e+00,9.999931660420293689e-01
-8.793969849246230979e+02,1.000000000000000000e+02,2.756358118812573199e+00,5.646797156001674006e-02,6.124848556164243973e+01,4.423356759786355674e+00,9.943667596398396702e-01
-8.693467336683416988e+02,1.000000000000000000e+02,2.804506985632402749e+00,5.240070100030558981e-02,6.360622808608994205e+01,4.012655695162439251e+00,9.903341168817892948e-01
-8.592964824120602998e+02,1.000000000000000000e+02,2.905503276195758211e+00,4.400668578951032195e-02,6.976699995365382279e+01,3.293418314715727213e+00,9.896609764961441513e-01
-8.492462311557789008e+02,1.000000000000000000e+02,3.028000796425099672e+00,5.206079308874581035e-02,7.716938800052926695e+01,3.806784945023467870e+00,1.000289757158478787e+00
-8.391959798994975017e+02,1.000000000000000000e+02,3.057635203591924089e+00,5.435559544298548124e-02,7.754158306595695649e+01,3.882347821168150137e+00,9.941832493664245485e-01
-8.291457286432161027e+02,1.000000000000000000e+02,3.220639030500123567e+00,6.298465639863368160e-02,8.713745326591305229e+01,4.393070438204150108e+00,1.015764044728366455e+00
-8.190954773869345900e+02,1.000000000000000000e+02,3.202912249918052456e+00,5.876638284576674726e-02,8.390838829363596574e+01,4.001505267796086507e+00,9.996919394901203626e-01
-8.090452261306531909e+02,1.000000000000000000e+02,3.267288905435275836e+00,5.344544750274553974e-02,8.621821367447589068e+01,3.551739542901009905e+00,1.006647211021891142e+00
-7.989949748743717919e+02,1.000000000000000000e+02,3.224434045969805318e+00,5.876732697063206251e-02,8.139144274818094971e+01,3.810432166607379934e+00,9.924434206116167223e-01
-7.889447236180903928e+02,1.000000000000000000e+02,3.475548712690762709e+00,5.069832189706518361e-02,9.531868454035826232e+01,3.206333120111149348e+00,1.002532598616218795e+00
-7.788944723618089938e+02,1.000000000000000000e+02,3.367276059668989685e+00,5.384464107664710397e-02,8.631671504744069523e+01,3.320473013760282477e+00,1.000495688893352719e+00
-7.688442211055275948e+02,1.000000000000000000e+02,3.581875483941907135e+00,6.789784278347373025e-02,9.708992629982054723e+01,4.081484877753136509e+00,1.002883700689411350e+00
-7.587939698492461957e+02,1.000000000000000000e+02,3.681567733007933718e+00,6.299872128926854720e-02,1.005009053262856042e+02,3.690265315861658291e+00,1.003364974261149234e+00
-7.487437185929647967e+02,1.000000000000000000e+02,3.803505921132110057e+00,6.896848024041876690e-02,1.049111419784386214e+02,3.935459805756279739e+00,1.005692780337126724e+00
-7.386934673366833977e+02,1.000000000000000000e+02,3.873812878717774577e+00,6.946811425361726355e-02,1.061217927181469918e+02,3.860121079851493331e+00,9.973703822403177099e-01
-7.286432160804019986e+02,1.000000000000000000e+02,4.074882757513636378e+00,7.396575106194314131e-02,1.142347523989979408e+02,4.000962332151699385e+00,1.000062099625925072e+00
-7.185929648241205996e+02,1.000000000000000000e+02,4.130817120563094136e+00,7.387738479113270529e-02,1.141610671101964556e+02,3.888727114832981169e+00,9.928195908618320242e-01
