Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.007715149631376539e+00,1.809328117158798266e-02,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,4.772601531238333528e-01,0.000000000000000000e+00,-8.214150876628789621e-01,2.511895542757017902e-02,0.000000000000000000e+00,-4.323237303488836752e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.100980613923206342e-01,1.841939778353147289e-02,8.733775428427871246e-01,3.622773965801108498e-02,-3.194042798536564368e-19,4.384622445729286500e-01,-6.978563869593187516e-03,-7.553405300626683250e-01,3.348089754825248066e-02,6.565556936208593458e-03,-2.244572161069811889e-02,-7.876552299390560426e-19,6.173959157172073628e-19,-8.824087952262731348e-20,5.000000000000000104e-03
8.109954852525406155e-01,1.961677847421066864e-02,8.013497572530162705e-01,3.316768397203755797e-02,-6.191426263562775512e-19,4.025499901199881547e-01,-5.570667741701220907e-03,-6.929032690221227364e-01,3.078958227399195349e-02,6.088082517132041051e-03,-2.047035570112683625e-02,-8.991048621487642760e-19,6.344970136678310982e-19,1.936640478659548777e-19,1.000000000000000021e-02
7.224230953414902956e-01,2.119298122248493288e-02,7.352493287927288623e-01,3.043374322316387895e-02,-9.406434469009560424e-19,3.695323081691282985e-01,-4.448358404684875367e-03,-6.356394278776360540e-01,2.824251681133206626e-02,5.596038472909946673e-03,-1.878834269764576015e-02,-2.576237352650054718e-19,-1.451472216531126263e-18,9.382074213023065851e-19,1.499999999999999944e-02
7.318138666593128061e-01,2.012791072162208386e-02,6.746008938245495745e-01,2.792522738144985819e-02,-1.116813554160126038e-18,3.391893572674494206e-01,-3.590365735517737737e-03,-5.831269619221663980e-01,2.590698279324744543e-02,5.141655857321404156e-03,-1.724413837807290892e-02,-1.066599532170005235e-18,6.116061882152623086e-19,6.719226718579258071e-19,2.000000000000000042e-02
6.654977516655805614e-01,2.359828312936464167e-02,6.189549420426729842e-01,2.562314021370190598e-02,8.498216710651734063e-20,3.113131978062157468e-01,-2.930652612691068623e-03,-5.349668116473935697e-01,2.376561888446874007e-02,4.722875893822270181e-03,-1.582586014108840200e-02,2.596229997481576383e-19,7.134149901682442148e-20,5.256131097606857183e-20,2.500000000000000139e-02
5.825654281571978066e-01,1.698272177608755110e-02,5.678989092703852215e-01,2.351057898412901859e-02,-9.709755092856097772e-19,2.857097358508600138e-01,-2.419757917532829906e-03,-4.907946026079956225e-01,2.180201837778788718e-02,4.337251840947319893e-03,-1.452349194056570293e-02,-3.157761645357385271e-19,-1.142575312974091928e-18,9.394998518688897202e-19,2.999999999999999889e-02
5.506021139456888092e-01,1.886495891765708685e-02,5.210542408782260493e-01,2.157200600033539611e-02,3.322412740781241971e-16,2.621984501723365057e-01,-2.020893906475930077e-03,-4.502774077459258950e-01,2.000122563858105357e-02,3.982409310845718212e-03,-1.332775335370776568e-02,1.671350487401609514e-16,-4.452060082134443952e-19,-2.871414403784738227e-16,3.500000000000000333e-02
4.808467532271794020e-01,2.008312323013339631e-02,4.780735927684009456e-01,1.979314034212757006e-02,-1.784385986707238663e-18,2.406119057462914324e-01,-1.706672184438047524e-03,-4.131107928825344389e-01,1.834959454322697067e-02,3.656076125445967707e-03,-1.223005661138213546e-02,-1.264770984919005286e-18,4.899051418182074972e-19,1.328855422595835988e-18,4.000000000000000083e-02
4.653149726988424217e-01,2.061895960259487945e-02,4.386382609952157452e-01,1.816086063488138447e-02,-1.842108213632214022e-18,2.207951429109220598e-01,-1.456675699426691634e-03,-3.790161988825849204e-01,1.683466079338994878e-02,3.356098219779549228e-03,-1.122246833975803874e-02,-1.104743604047809163e-18,-3.337783086818865468e-19,1.488592941236558121e-18,4.499999999999999833e-02
3.992818804008606559e-01,2.215638899440243448e-02,4.024558223347168839e-01,1.666311419527050433e-02,8.955190764305311087e-20,2.026049952290776557e-01,-1.255660132362547594e-03,-3.477386092140152263e-01,1.544502984238061739e-02,3.080447897725029343e-03,-1.029766960088002517e-02,1.885272760481165856e-19,4.715945553239871599e-20,5.968047638120351715e-21,5.000000000000000278e-02
3.934103802228630098e-01,1.994176663089451684e-02,3.692579686870801070e-01,1.528883242655714944e-02,-2.935867098004926351e-19,1.859093735327746466e-01,-1.092221361335311922e-03,-3.190444613319237122e-01,1.417027785366981561e-02,2.827226733038988842e-03,-9.448915589148516869e-03,-2.118054344923333641e-19,-2.005836651965110570e-19,2.164813903262236728e-19,5.500000000000000028e-02
3.376760859525592684e-01,1.999489059360638754e-02,3.387985195290018070e-01,1.402785227099118473e-02,-9.512506402401570615e-19,1.705865423317154128e-01,-9.578080576941633457e-04,-2.927197684213148077e-01,1.300086363333790782e-02,2.594664771092276834e-03,-8.669995956996027348e-03,-3.786844896558969188e-19,-7.069148504170042981e-19,8.801361230974461523e-19,5.999999999999999778e-02
2.930935519461357330e-01,2.117818021533643402e-02,3.108515978810575398e-01,1.287084345900907194e-02,1.976883370317867938e-18,1.565244065333949997e-01,-8.459898688295304633e-04,-2.685684242603046390e-01,1.192804990308618356e-02,2.381117234887042411e-03,-7.955196417727409403e-03,9.904304194854025135e-19,1.566239347208438621e-19,-1.710884361934978136e-18,6.500000000000000222e-02
2.930080701166695167e-01,1.733480097516511970e-02,2.852099564152499322e-01,1.180924125430054053e-02,4.464947092387805084e-16,1.436198204455631788e-01,-7.519148879606685470e-04,-2.464106687800343143e-01,1.094383260428910716e-02,2.185059606364236646e-03,-7.299262038344283415e-03,2.244403070621897888e-16,1.449691099412741849e-19,-3.859845810274477704e-16,7.000000000000000666e-02
2.631644219466581225e-01,2.059959823998054260e-02,2.616834414011528498e-01,1.083518437257263364e-02,3.962743194223646882e-19,1.317779267148110056e-01,-6.719073212429362398e-04,-2.260816956469882677e-01,1.004087717151054722e-02,2.005081709449031777e-03,-6.697362466550038293e-03,6.807381878006622266e-20,1.373863419497435423e-20,-4.187550088168323198e-19,7.499999999999999722e-02
