Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.005945775982852730e+00,1.935116189260274386e-02,9.500000000000001776e-01,5.000000000000001665e-02,0.000000000000000000e+00,2.018924006249682990e-01,0.000000000000000000e+00,9.282992290042513250e-01,1.062591582236675422e-02,0.000000000000000000e+00,4.885785415811849663e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.715043715724304141e-01,2.090281487428294338e-02,9.357554359553126311e-01,4.904901151849903884e-02,-3.140786343435472818e-21,1.991712515869359656e-01,4.358625341887477833e-04,9.143134837563178241e-01,7.140021552615482756e-03,3.641367075420944509e-04,4.864276888308795288e-02,-1.313557422201897763e-19,1.275958116560105267e-19,2.535387122069572725e-20,5.000000000000000104e-03
1.007208879802146573e+00,2.019400319921395640e-02,9.217497253441606642e-01,4.831396236236555619e-02,-3.459091462774531923e-21,1.960950819333053818e-01,2.597989207894064144e-05,9.006493877319150521e-01,7.013773179892855009e-03,3.577044709542387445e-04,4.791799384260393008e-02,-2.451950632832181772e-19,2.448955883370659685e-19,4.978662225926773829e-20,1.000000000000000021e-02
9.493864402283284099e-01,2.472797824160500105e-02,9.079537506574527628e-01,4.759130359559821111e-02,1.015370904782504269e-20,1.930888059336870188e-01,-2.719503143100102799e-04,8.871847296956525408e-01,6.913025412279050902e-03,3.496172386665298819e-04,4.720035280730713878e-02,-3.911924196176902191e-19,4.503529471457829350e-19,9.547007853642561596e-20,1.499999999999999944e-02
9.510343571898540738e-01,2.023790835896976947e-02,8.943642233098082484e-01,4.687933966105849865e-02,-4.011759698084578887e-21,1.901471717956336460e-01,-4.833531016867373235e-04,8.739172863782845857e-01,6.812757923925697248e-03,3.423898988151229876e-04,4.649355216223041709e-02,-4.364818338901199928e-19,4.421234508333125362e-19,9.082329374604975508e-20,2.000000000000000042e-02
9.399804793480015519e-01,1.928590031854995890e-02,8.809780640183049183e-01,4.617793524306797182e-02,-1.607248623994569000e-20,1.872638086529951340e-01,-6.321296141303753974e-04,8.608452920891115356e-01,6.713108604230309633e-03,3.358210229262517535e-04,4.579742343937213966e-02,1.016081091657504911e-18,-2.041580115799475067e-18,-2.374319679105444598e-19,2.500000000000000139e-02
9.163037888336085235e-01,1.675647404282385594e-02,8.677922374070127232e-01,4.548695890586110235e-02,1.314744368605147438e-20,1.844339140636165053e-01,-7.356261884252422809e-04,8.479666849600436818e-01,6.614310697539706532e-03,3.297490134688135788e-04,4.511178140294519467e-02,-6.790038026392259498e-19,7.712281863016946667e-19,1.611288414087214818e-19,2.999999999999999889e-02
8.838651383960479668e-01,2.215539544915483272e-02,8.548037511907128350e-01,4.480627390434806234e-02,1.498936843306239784e-20,1.816538419362379586e-01,-8.064015872210453283e-04,8.352791957305079062e-01,6.516528087770371430e-03,3.240564503851019098e-04,4.443645046866859932e-02,-1.226336591176706428e-18,6.465305007064895798e-19,2.820512289546625938e-19,3.500000000000000333e-02
8.792414476520034050e-01,1.941065042369509788e-02,8.420096561710389560e-01,4.413574020483233135e-02,-4.969324782941468292e-21,1.789207860869791444e-01,-8.535478848630960631e-04,8.227804165656400492e-01,6.419873471495680592e-03,3.186580214330189719e-04,4.377126281932505747e-02,-7.035221103958145334e-19,7.175397209907165968e-19,1.479209557935889470e-19,4.000000000000000083e-02
8.448616085323022995e-01,1.925148519202589392e-02,8.294070460605790229e-01,4.347521600605874087e-02,-1.479437653507918108e-20,1.762325509463474604e-01,-8.836471542972570373e-04,8.104678507443685564e-01,6.324422564981825763e-03,3.134916669485181663e-04,4.311605687153016037e-02,-1.337978400866726635e-18,1.221048985753849836e-18,2.758518003959708953e-19,4.499999999999999833e-02
