offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
0.000000000000000000e+00,1.000000000000000000e+02,6.258358548391754539e+01,2.124072527424008872e+00,6.258358548391754539e+01,2.124072527424008872e+00,1.000664928074324722e+00
0.000000000000000000e+00,1.693877551020408134e+02,6.053874498053087905e+01,1.774731007983499032e+00,6.053874498053087905e+01,1.774731007983499032e+00,1.003281972733249372e+00
0.000000000000000000e+00,2.387755102040816269e+02,5.726564092986026822e+01,1.289224010869207460e+00,5.726564092986026822e+01,1.289224010869207460e+00,1.011617330641494616e+00
0.000000000000000000e+00,3.081632653061224119e+02,5.146865033658063737e+01,1.344588880003680043e+00,5.146865033658063737e+01,1.344588880003680043e+00,9.984002254932440312e-01
0.000000000000000000e+00,3.775510204081632537e+02,4.656332036502113425e+01,1.442363067878179139e+00,4.656332036502113425e+01,1.442363067878179139e+00,9.736460399046686920e-01
0.000000000000000000e+00,4.469387755102040956e+02,4.381990405375780995e+01,9.816731595317949033e-01,4.381990405375780995e+01,9.816731595317949033e-01,9.881094859496858396e-01
0.000000000000000000e+00,5.163265306122448237e+02,4.066114389393173667e+01,7.959552840068352397e-01,4.066114389393173667e+01,7.959552840068352397e-01,9.884594687254305567e-01
0.000000000000000000e+00,5.857142857142856656e+02,3.776628334707826440e+01,7.438464832463063114e-01,3.776628334707826440e+01,7.438464832463063114e-01,9.928395898516988449e-01
0.000000000000000000e+00,6.551020408163265074e+02,3.529891894539786534e+01,6.137628676098002556e-01,3.529891894539786534e+01,6.137628676098002556e-01,9.806603463286364120e-01
0.000000000000000000e+00,7.244897959183673493e+02,3.406783941077071631e+01,7.919495854976718041e-01,3.406783941077071631e+01,7.919495854976718041e-01,1.022472144636438651e+00
0.000000000000000000e+00,7.938775510204081911e+02,3.137287888713654382e+01,6.318862484043468175e-01,3.137287888713654382e+01,6.318862484043468175e-01,9.868453193669743939e-01
0.000000000000000000e+00,8.632653061224489193e+02,3.003256746222626816e+01,7.325244229424272557e-01,3.003256746222626816e+01,7.325244229424272557e-01,9.844071317841081026e-01
0.000000000000000000e+00,9.326530612244897611e+02,2.888381437385932671e+01,5.193841703214363559e-01,2.888381437385932671e+01,5.193841703214363559e-01,1.004516472861732623e+00
0.000000000000000000e+00,1.002040816326530603e+03,2.866285687857524422e+01,5.410799394898953008e-01,2.866285687857524422e+01,5.410799394898953008e-01,1.007905613261967259e+00
0.000000000000000000e+00,1.071428571428571331e+03,2.737203649598768607e+01,5.836215910275713847e-01,2.737203649598768607e+01,5.836215910275713847e-01,9.964395844506569455e-01
0.000000000000000000e+00,1.140816326530612287e+03,2.513562480981515179e+01,5.164854992783148857e-01,2.513562480981515179e+01,5.164854992783148857e-01,9.781098378402983684e-01
0.000000000000000000e+00,1.210204081632653015e+03,2.555313962407915795e+01,4.872983003608838404e-01,2.555313962407915795e+01,4.872983003608838404e-01,9.884862763278308151e-01
0.000000000000000000e+00,1.279591836734693743e+03,2.536063226448153785e+01,4.308271052275606805e-01,2.536063226448153785e+01,4.308271052275606805e-01,1.006391211288400811e+00
0.000000000000000000e+00,1.348979591836734699e+03,2.560142651511898038e+01,5.055217788323561612e-01,2.560142651511898038e+01,5.055217788323561612e-01,9.969162051176209127e-01
0.000000000000000000e+00,1.418367346938775427e+03,2.487970006460239958e+01,4.971487149208282941e-01,2.487970006460239958e+01,4.971487149208282941e-01,1.001736468373899847e+00
0.000000000000000000e+00,1.487755102040816382e+03,2.450958824914254564e+01,4.441519634796170513e-01,2.450958824914254564e+01,4.441519634796170513e-01,1.004984899023748213e+00
0.000000000000000000e+00,1.557142857142857110e+03,2.388986158361228362e+01,4.407783090681991478e-01,2.388986158361228362e+01,4.407783090681991478e-01,9.999177361879189041e-01
0.000000000000000000e+00,1.626530612244897839e+03,2.283976716385635441e+01,4.180081830042868263e-01,2.283976716385635441e+01,4.180081830042868263e-01,9.866568645684801186e-01
0.000000000000000000e+00,1.695918367346938794e+03,2.264769012258378567e+01,4.339138136160716197e-01,2.264769012258378567e+01,4.339138136160716197e-01,9.863360804387946157e-01
0.000000000000000000e+00,1.765306122448979522e+03,2.237696550109706095e+01,4.668149589722322967e-01,2.237696550109706095e+01,4.668149589722322967e-01,9.876942663891469243e-01
0.000000000000000000e+00,1.834693877551020250e+03,2.295338825291867835e+01,4.003610230161538386e-01,2.295338825291867835e+01,4.003610230161538386e-01,1.008038322862783165e+00
0.000000000000000000e+00,1.904081632653061206e+03,2.218966275951569855e+01,4.346961128803679686e-01,2.218966275951569855e+01,4.346961128803679686e-01,9.953221244734716810e-01
0.000000000000000000e+00,1.973469387755101934e+03,2.227627051793291812e+01,3.967563203309829589e-01,2.227627051793291812e+01,3.967563203309829589e-01,1.004205513044939657e+00
0.000000000000000000e+00,2.042857142857142662e+03,2.181870603018785459e+01,3.980299636508287664e-01,2.181870603018785459e+01,3.980299636508287664e-01,1.011552276562391661e+00
0.000000000000000000e+00,2.112244897959183618e+03,2.254249062329602182e+01,4.320007081887361489e-01,2.254249062329602182e+01,4.320007081887361489e-01,9.948105945715355336e-01
0.000000000000000000e+00,2.181632653061224573e+03,2.267327209829380763e+01,4.402482390077458452e-01,2.267327209829380763e+01,4.402482390077458452e-01,1.019142391068114772e+00
0.000000000000000000e+00,2.251020408163265074e+03,2.184829625206823778e+01,4.190933321204018402e-01,2.184829625206823778e+01,4.190933321204018402e-01,9.871343379341674940e-01
0.000000000000000000e+00,2.320408163265306030e+03,2.184596241877153133e+01,3.393245351100582785e-01,2.184596241877153133e+01,3.393245351100582785e-01,1.007869810357522988e+00
0.000000000000000000e+00,2.389795918367346985e+03,2.184333714336985111e+01,3.838841209489317063e-01,2.184333714336985111e+01,3.838841209489317063e-01,1.005138899822102028e+00
0.000000000000000000e+00,2.459183673469387486e+03,2.161809866265966917e+01,2.967773517214697399e-01,2.161809866265966917e+01,2.967773517214697399e-01,9.915094706530555024e-01
