Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,9.890812039714388382e-01,2.139694147182934214e-02,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,2.800737667230583372e-01,0.000000000000000000e+00,-9.077767815898123427e-01,1.474072456437149417e-02,0.000000000000000000e+00,-4.777772534683222966e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.572684267896077737e-01,2.351977427046049451e-02,8.975142676555473153e-01,3.919768464429409377e-02,2.041246981935507522e-19,2.658828518985543177e-01,-5.447647812733271214e-03,-8.572280743638772682e-01,2.605834871824313365e-02,9.379728417365952933e-03,-3.298117019422350249e-02,-2.999219904463257931e-19,9.091594298820143496e-19,-3.061531760974616492e-19
1.000000000000000021e-02,8.819731079011889907e-01,2.290573027763081332e-02,8.446469568132080052e-01,3.682829174138877587e-02,2.451989787306263088e-19,2.503914307417944851e-01,-4.494246006240274274e-03,-8.066812818532829166e-01,2.460750119772791428e-02,8.906611150502520211e-03,-3.094919607331892211e-02,-3.168193954246606818e-19,9.471923617203389405e-19,-3.543512433510909951e-19
1.499999999999999944e-02,8.282991077592322116e-01,2.064202788812647196e-02,7.948680649064743253e-01,3.465858316935838818e-02,-1.263380499436306826e-19,2.357526952907693096e-01,-3.733548305258038193e-03,-7.591034825423925714e-01,2.315106469722312196e-02,8.387421155512612275e-03,-2.912791850787595921e-02,-4.654039316421214757e-19,-6.645141912186276332e-19,-1.137535674595676111e-20
2.000000000000000042e-02,7.543803346534277976e-01,1.944621286722351960e-02,7.480224853530436091e-01,3.261687182118030992e-02,3.152996925928798683e-19,2.219444165701878469e-01,-3.152366545837509935e-03,-7.143392136531208081e-01,2.178161850802029509e-02,7.896865882776790344e-03,-2.741375280129179637e-02,-3.292023467997342477e-19,9.868405206378534115e-19,-4.315330125093655079e-19
2.500000000000000139e-02,7.130146331572742024e-01,1.675899106061318200e-02,7.039376143670507124e-01,3.069524229004597440e-02,-3.420100511495101953e-21,2.089265299242750173e-01,-2.703734726357806539e-03,-6.722202041516469606e-01,2.049424375668469286e-02,7.434194110575450577e-03,-2.579993298512374411e-02,2.692261977598615744e-19,5.190374850071976398e-19,8.664276547733028908e-20
2.999999999999999889e-02,6.966187060948529908e-01,1.635655860501776526e-02,6.624507961010619450e-01,2.888668237668245986e-02,-1.348690853724058514e-19,1.966588257484664093e-01,-2.353087313701687257e-03,-6.325886383694514503e-01,1.928373681796245742e-02,6.998045368250587622e-03,-2.428072616281688745e-02,-4.068366888160426513e-19,-6.564313102327506404e-19,1.562206427124474292e-20
3.500000000000000333e-02,6.774266179203760618e-01,1.819558885388862512e-02,6.234089465070109526e-01,2.718457808290353564e-02,-1.742107078850014396e-19,1.851017289067499461e-01,-2.075175911382428576e-03,-5.952965218975823092e-01,1.814529654259759359e-02,6.587059283574895480e-03,-2.285069198557584599e-02,-7.245124941897391224e-20,-4.005315070155934224e-19,1.599605553998421204e-19
4.000000000000000083e-02,6.059786956786669121e-01,2.043033862576067866e-02,5.866679943081880566e-01,2.558269166219728080e-02,4.225712546233282446e-19,1.742167343654441869e-01,-1.851540684378026949e-03,-5.602049621518601086e-01,1.707447844120490998e-02,6.199900438835314817e-03,-2.150467381754257723e-02,-3.110257803663376019e-19,9.909270476679006624e-19,-5.381861088049925014e-19
4.499999999999999833e-02,5.669033690163359784e-01,2.098133679976462232e-02,5.520923523823106915e-01,2.407514311314225622e-02,-7.056783535708750726e-19,1.639666877157664737e-01,-1.668667529486934963e-03,-5.271835286196835391e-01,1.606715363451122897e-02,5.835271954297675985e-03,-2.023779203338425814e-02,-2.183514752191369406e-20,4.705796583621631206e-19,7.317646775626346580e-19
5.000000000000000278e-02,5.341876479217204654e-01,2.265147011634539853e-02,5.195544195936885323e-01,2.265639178496455311e-02,-6.875844887908675297e-20,1.543159556360965690e-01,-1.516646539432127839e-03,-4.961096789287922637e-01,1.511947564423721593e-02,5.491924149948339794e-03,-1.904543501418773724e-02,2.425019393075115203e-19,5.693864980154193968e-19,1.467750230197438015e-19
5.500000000000000028e-02,4.542411563902825633e-01,2.119101271624924260e-02,4.889341114810433764e-01,2.132121833527430080e-02,-2.437270234845078948e-19,1.452305182431087582e-01,-1.388195347064803166e-03,-4.668682392132447179e-01,1.422785311722830903e-02,5.168659720697572728e-03,-1.792324868134591992e-02,1.874926311852954750e-19,1.131979905697372951e-19,3.129100077462844831e-19
5.999999999999999778e-02,4.606371136681984280e-01,1.729262525644646026e-02,4.601184182374444265e-01,2.006470721827715437e-02,-1.435767627012883670e-19,1.366780064619275981e-01,-1.277948048816744588e-03,-4.393509300040656096e-01,1.338892705112778789e-02,4.864336440763965611e-03,-1.686712519674508567e-02,-3.094810481844493058e-19,-5.776715227604493813e-19,5.477161641513710738e-20
6.500000000000000222e-02,4.567366245147920223e-01,1.835675574362222520e-02,4.330009884739302040e-01,1.888222981724198973e-02,1.244502184887214869e-18,1.286277011395416114e-01,-1.181937434273643830e-03,-4.134559309060946708e-01,1.259955146857810390e-02,4.577868132374775766e-03,-1.587319127321011950e-02,1.496671880013630863e-19,1.230920064272225774e-18,-1.256211048433431389e-18
