Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,9.956822823910702613e-01,2.481419459265979399e-02,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,9.499999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,8.862016630529895300e-01,1.941415741875410911e-02,8.544809142033804594e-01,4.397063422864533333e-02,0.000000000000000000e+00,8.544809142033804594e-01,1.034315306745166871e-03,-6.769195998828764910e-03,4.397063422864533333e-02,5.176127189906829396e-04,6.688621664618515233e-03,0.000000000000000000e+00,-2.078084117307138913e-17,2.278773788257918904e-17
1.000000000000000021e-02,7.935990396905386879e-01,1.800581949868339943e-02,7.686231128515852440e-01,3.954765215804147138e-02,0.000000000000000000e+00,7.686231128515852440e-01,9.837757377509593823e-04,-6.357402361843718028e-03,3.954765215804147138e-02,4.738371651266036445e-04,6.049263170496350581e-03,0.000000000000000000e+00,-1.943541672411230116e-17,5.072735547698435403e-17
1.499999999999999944e-02,7.234193720343667922e-01,1.809098053719463903e-02,6.913926100511879058e-01,3.557546586811288769e-02,0.000000000000000000e+00,6.913926100511879058e-01,9.288248322939690648e-04,-5.929819142827778486e-03,3.557546586811288769e-02,4.308376007842278088e-04,5.431830002482165853e-03,0.000000000000000000e+00,-3.377267255206972348e-19,8.684871555025333018e-19
2.000000000000000042e-02,6.822360792075886637e-01,1.483765286594893734e-02,6.219221566671236934e-01,3.200233764286936761e-02,0.000000000000000000e+00,6.219221566671236934e-01,8.763984927088063924e-04,-5.530711200006114756e-03,3.200233764286936761e-02,3.918279650449587410e-04,4.876824288202690968e-03,0.000000000000000000e+00,-1.676166316414850706e-17,9.663903966287833607e-17
2.500000000000000139e-02,5.594244194162388828e-01,1.750851174321586823e-02,5.594320278983690997e-01,2.878813578135280826e-02,0.000000000000000000e+00,5.594320278983690997e-01,8.264828842426333441e-04,-5.158444864601458880e-03,2.878813578135280826e-02,3.564493418149709695e-04,4.378204827235091315e-03,0.000000000000000000e+00,1.173572052136871340e-18,-1.176822006554762951e-17
2.999999999999999889e-02,4.996354381673722700e-01,2.010153913160998146e-02,5.032208473077312005e-01,2.589680206325638973e-02,0.000000000000000000e+00,5.032208473077312005e-01,7.790118011937077584e-04,-4.811218501757758524e-03,2.589680206325638973e-02,3.243564722638189084e-04,3.930265871704979527e-03,0.000000000000000000e+00,-3.861677310751783153e-19,1.538404351833350983e-18
3.500000000000000333e-02,4.942128248139884272e-01,1.898952123601284347e-02,4.526577121203856358e-01,2.329590118699247786e-02,0.000000000000000000e+00,4.526577121203856358e-01,7.339129057794183510e-04,-4.487349541221675835e-03,2.329590118699247786e-02,2.952373424486909380e-04,3.527876030769843806e-03,0.000000000000000000e+00,1.812690390517554167e-17,-1.758257341975089275e-16
4.000000000000000083e-02,4.563467144906564466e-01,1.874534043441567280e-02,4.071751120815859659e-01,2.095625650451644201e-02,0.000000000000000000e+00,4.071751120815859659e-01,6.911094474530538566e-04,-4.185268291948187648e-03,2.095625650451644201e-02,2.688100661291710101e-04,3.166422133024450296e-03,0.000000000000000000e+00,-1.244975330808299327e-17,1.561710228424276026e-16
4.499999999999999833e-02,3.501908826306259770e-01,1.989152177641094824e-02,3.662625598351224032e-01,1.885162262121429025e-02,0.000000000000000000e+00,3.662625598351224032e-01,6.505214951792546302e-04,-3.903510397305562808e-03,1.885162262121429025e-02,2.448199408192901108e-04,2.841756990189554886e-03,0.000000000000000000e+00,5.100470111329035969e-18,-1.226959071435829540e-16
