offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
-0.000000000000000000e+00,1.000000000000000000e+02,-9.749805377234594062e+02,-9.749805377234594062e+02,-9.885124910734750756e+02,-6.259707641261449851e+01,-4.146467853349597732e+01,-4.146467853349597732e+01,-1.099999999999994671e+01,-1.099999999999994671e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,1.693877551020408134e+02,-9.752958240360212585e+02,-9.752958240360212585e+02,-9.800572415749448965e+02,-5.930059318420087777e+01,-4.702525858440658624e+01,-4.702525858440658624e+01,-1.099999999999994316e+01,-1.099999999999994316e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,2.387755102040816269e+02,-9.759830525558051022e+02,-9.759830525558051022e+02,-5.516371394968945197e+01,-9.785237418443140314e+02,-4.917321954719415089e+01,-4.917321954719415089e+01,-1.099999999999977263e+01,-1.099999999999977263e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,3.081632653061224119e+02,-9.771215224292582207e+02,-9.771215224292582207e+02,-5.082132692376126215e+01,-9.809373996991608919e+02,-4.899911425928087283e+01,-4.899911425928087283e+01,-1.100000000000034106e+01,-1.100000000000034106e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,3.775510204081631969e+02,-9.786863821771007679e+02,-9.786863821771007679e+02,-4.669451733065030652e+01,-9.848847177564983895e+02,-4.752400027932554849e+01,-4.752400027932554849e+01,-1.100000000000022737e+01,-1.100000000000022737e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,4.469387755102040956e+02,-9.805776051318802047e+02,-9.805776051318802047e+02,-4.299692807324594668e+01,-9.891219565313398334e+02,-4.536295256582457114e+01,-4.536295256582457114e+01,-1.100000000000011369e+01,-1.100000000000011369e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,5.163265306122448237e+02,-3.979647156462783641e+01,-9.931018762929221566e+02,-9.826662416592951104e+02,-9.826662416592951104e+02,-4.288458441192744885e+01,-4.288458441192744885e+01,-1.099999999999978684e+01,-1.099999999999978684e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,5.857142857142856656e+02,-3.707917316318582834e+01,-9.966275158439630104e+02,-9.848300050141491511e+02,-9.848300050141491511e+02,-4.031665048227489478e+01,-4.031665048227489478e+01,-1.100000000000002842e+01,-1.100000000000002842e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,6.551020408163265074e+02,-3.479405186202893674e+01,-9.996644169802543729e+02,-9.869714890316153060e+02,-9.869714890316153060e+02,-3.779927654724264130e+01,-3.779927654724264130e+01,-1.099999999999954525e+01,-1.099999999999954525e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,7.244897959183672356e+02,-3.287894642382241273e+01,-1.002246442285697981e+03,-9.890228231869539286e+02,-9.890228231869539286e+02,-3.541448245828530617e+01,-3.541448245828530617e+01,-1.100000000000000000e+01,-1.100000000000000000e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,7.938775510204081911e+02,-3.127327977359414035e+01,-1.004430864248097009e+03,-9.909427172875280121e+02,-9.909427172875280121e+02,-3.320521070162840260e+01,-3.320521070162840260e+01,-1.100000000000011369e+01,-1.100000000000011369e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,8.632653061224489193e+02,-2.992331712924146814e+01,-1.006278181320899307e+03,-9.927105485438032701e+02,-9.927105485438032701e+02,-3.118870223112469375e+01,-3.118870223112469375e+01,-1.099999999999971578e+01,-1.099999999999971578e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,9.326530612244896474e+02,-2.878358993284950884e+01,-1.007843903142392833e+03,-9.943202123758640028e+02,-9.943202123758640028e+02,-2.936604108651624756e+01,-2.936604108651624756e+01,-1.100000000000034106e+01,-1.100000000000034106e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,1.002040816326530603e+03,-2.781657281928903558e+01,-1.009175905919979186e+03,-9.957749528945282691e+02,-9.957749528945282691e+02,-2.772880773583437986e+01,-2.772880773583437986e+01,-1.100000000000022737e+01,-1.100000000000022737e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,1.071428571428571331e+03,-2.699169331672408134e+01,-1.010314235010362154e+03,-9.970834918259433834e+02,-9.970834918259433834e+02,-2.626354401051094101e+01,-2.626354401051094101e+01,-1.100000000000000000e+01,-1.100000000000000000e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,1.140816326530612287e+03,-2.628418937926369381e+01,-1.011291871633530150e+03,-9.982573478623237406e+02,-9.982573478623237406e+02,-2.495462163128013344e+01,-2.495462163128013344e+01,-1.100000000000000000e+01,-1.100000000000000000e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,1.210204081632653015e+03,-2.567403667475889506e+01,-1.012135784521403366e+03,-9.993090929975865038e+02,-9.993090929975865038e+02,-2.378599640433412787e+01,-2.378599640433412787e+01,-1.100000000000045475e+01,-1.100000000000045475e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,1.279591836734693743e+03,-2.514502425499006222e+01,-1.012867973858835512e+03,-1.000251284718576017e+03,-1.000251284718576017e+03,-2.274221622451113944e+01,-2.274221622451113944e+01,-1.100000000000000000e+01,-1.100000000000000000e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,1.348979591836734699e+03,-2.468399175090098652e+01,-1.013506396416170332e+03,-1.001095857751393623e+03,-1.001095857751393623e+03,-2.180894816506861389e+01,-2.180894816506861389e+01,-1.100000000000000000e+01,-1.100000000000000000e+01,-2.000000000000000000e+01
-0.000000000000000000e+00,1.418367346938775199e+03,-2.428021430781313938e+01,-1.014065742923624384e+03,-1.001853814256515648e+03,-1.001853814256515648e+03,-2.097320712776624418e+01,-2.097320712776624418e+01,-1.100000000000045475e+01,-1.100000000000045475e+01,-2.000000000000000000e+01
