Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.000000000000000000e+00,0.000000000000000000e+00,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,3.059454035006224371e-01,0.000000000000000000e+00,-8.993872414465535758e-01,1.610238965792749888e-02,0.000000000000000000e+00,-4.733617060245019076e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.152417032310365963e-01,0.000000000000000000e+00,8.806102425938031608e-01,3.463146063723338691e-02,3.624953947132788238e-19,2.855813241452732631e-01,-6.431093266539201006e-03,-8.330198634030403504e-01,2.627663737008014561e-02,1.248875207968848204e-02,-2.764178769376101491e-02,2.291119197393884091e-19,2.084021563804637861e-19,-3.049575017375253282e-19,5.000000000000000104e-03
8.422211460964856844e-01,0.000000000000000000e+00,8.104376646223798719e-01,3.178348147410581248e-02,6.160940314443555242e-19,2.630191372391385563e-01,-5.237305789186301637e-03,-7.665733441041009399e-01,2.425999777757076314e-02,1.159780046475480247e-02,-2.531954150782854407e-02,2.916003076033716443e-19,1.528279425052918255e-19,-5.515705952239683763e-19,1.000000000000000021e-02
7.750611766186374929e-01,0.000000000000000000e+00,7.458113285312463203e-01,2.924984808739122116e-02,-1.696933254083576651e-19,2.421776977484385585e-01,-4.281468477322812431e-03,-7.053998315873233338e-01,2.231875742407717078e-02,1.067962407264777709e-02,-2.330368218651826875e-02,1.622493883380033323e-19,-1.986594665847362128e-18,2.344352955036544497e-19,1.499999999999999944e-02
7.132563845774779754e-01,0.000000000000000000e+00,6.863378801586510480e-01,2.691850441882689265e-02,1.047588138208059660e-18,2.229620988244126745e-01,-3.547274234631516039e-03,-6.491161203505140254e-01,2.053362206534011664e-02,9.832315139026298612e-03,-2.144839399628298976e-02,4.009358286053039923e-19,7.607891205185188891e-20,-9.701541418730498095e-19,2.000000000000000042e-02
6.563796318776852212e-01,0.000000000000000000e+00,6.316068722346492859e-01,2.477275964303596312e-02,-7.494082185117950318e-20,2.052526416141443599e-01,-2.977988616340357646e-03,-5.973293833928974284e-01,1.889228311848923161e-02,9.051397114775511232e-03,-1.974023386255143245e-02,-1.287326588948884435e-18,3.785524455767072290e-19,-3.587530010048513454e-19,2.500000000000000139e-02
6.040380819717929839e-01,0.000000000000000000e+00,5.812401878067883221e-01,2.279789416500468610e-02,-4.760660621333037266e-19,1.889363147974356949e-01,-2.531660849074984614e-03,-5.496786685062233779e-01,1.738288699777337798e-02,8.331898675671746760e-03,-1.816768609473981555e-02,8.909286419912138905e-20,-1.627821008933418412e-18,5.331633463488047185e-19,2.999999999999999889e-02
5.558701866371338340e-01,0.000000000000000000e+00,5.348898425471156903e-01,2.098034409001815412e-02,-1.196282008225566161e-18,1.739071964410531523e-01,-2.177482198166835487e-03,-5.058324402080978111e-01,1.599462628725695224e-02,7.669153327884466707e-03,-1.672009986269566706e-02,-4.160646953605887427e-19,-3.106671757771773401e-19,1.122069315867429421e-18,3.500000000000000333e-02
5.115431996004454751e-01,0.000000000000000000e+00,4.922355894035309043e-01,1.930761019691456040e-02,1.666771434127235640e-18,1.600664105676831150e-01,-1.892788536727965524e-03,-4.654860643697565914e-01,1.471763274335657033e-02,7.058804014956662765e-03,-1.538762944487582704e-02,5.666931545090621327e-19,6.110906753534414005e-21,-1.567795974441062167e-18,4.000000000000000083e-02
4.707508877224225174e-01,0.000000000000000000e+00,4.529827101194259797e-01,1.776817760299651341e-02,-4.555267280778644032e-19,1.473219446107386366e-01,-1.660870613548259345e-03,-4.283595375506782377e-01,1.354288148608230949e-02,6.496795450257209642e-03,-1.416118196377926831e-02,-5.376699827051718695e-19,-9.847224564103097404e-19,2.982616602761821854e-19,4.499999999999999833e-02
4.332114225539330232e-01,0.000000000000000000e+00,4.168599819263452688e-01,1.635144062758777522e-02,1.110185288008595836e-19,1.355883786927850054e-01,-1.469376022798774039e-03,-3.941954313590705361e-01,1.246210846542987818e-02,5.979362423340604978e-03,-1.303236609675705558e-02,-9.146562741963523061e-19,2.796294949706375052e-19,-4.284055493321030906e-19,5.000000000000000278e-02
3.986654384501219228e-01,0.000000000000000000e+00,3.836178057122277552e-01,1.504763273789416073e-02,-2.498886156016089950e-19,1.247865615893583580e-01,-1.309142762357828459e-03,-3.627570255110105224e-01,1.146773864702383891e-02,5.503015688522151609e-03,-1.199344250875396430e-02,-2.449228410182672375e-19,-4.129277004016386802e-19,1.806353925350077126e-19,5.500000000000000028e-02
3.668742443873019843e-01,0.000000000000000000e+00,3.530264829693914308e-01,1.384776141791053961e-02,-8.482080777418001945e-19,1.148432579135826442e-01,-1.173347598385315405e-03,-3.338266078317129182e-01,1.055282294193159512e-02,5.064526535969234890e-03,-1.103727651062640439e-02,-4.175492386916455328e-20,-1.080278100072355575e-18,8.817369318558946168e-19,5.999999999999999778e-02
3.376181775378914174e-01,0.000000000000000000e+00,3.248746297904513414e-01,1.274354774744009683e-02,1.242174808371797565e-18,1.056907836076793894e-01,-1.056884071151899815e-03,-3.072039229947196026e-01,9.710982366249879330e-03,4.660910811899152822e-03,-1.015729323327432647e-02,3.345854017066098155e-19,3.919079216600625294e-19,-1.198261608080309723e-18,6.500000000000000222e-02
3.106950875261476064e-01,0.000000000000000000e+00,2.989677170795347338e-01,1.172737044661287774e-02,-1.516231268454723940e-18,9.726664145932330252e-02,-9.559080331948806514e-04,-2.827047545706645737e-01,8.936358258081901484e-03,4.289412914175901904e-03,-9.347435458018818477e-03,-4.870603940421905947e-19,-1.614906347402139130e-19,1.435872955202822780e-18,7.000000000000000666e-02
2.859189411097215472e-01,0.000000000000000000e+00,2.751267269843903907e-01,1.079221412533114786e-02,9.661608280564933168e-19,8.951316450575631800e-02,-8.675054238556331775e-04,-2.601596271540441152e-01,8.223567634388587871e-03,3.947490117015975582e-03,-8.602124140101743630e-03,1.622735713526515322e-19,3.155363797505346094e-19,-9.653304976756089355e-19,7.499999999999999722e-02
2.631185378044570422e-01,0.000000000000000000e+00,2.531869163324832472e-01,9.931621471973810580e-03,2.249585971673252367e-18,8.237717243159697889e-02,-7.894492447378328743e-04,-2.394126170955133970e-01,7.567662961004031734e-03,3.632797455050273613e-03,-7.916221591894929965e-03,7.291045768159874399e-19,-2.341065718698288143e-20,-2.128160586382094512e-18,8.000000000000000167e-02
2.421363276934779818e-01,0.000000000000000000e+00,2.329966785754651604e-01,9.139649118012811019e-03,7.839738886948901996e-19,7.580964410611552851e-02,-7.200216414008033970e-04,-2.203202617959119924e-01,6.964095752863281273e-03,3.343173309167145942e-03,-7.284997245955261019e-03,1.461699295609010869e-19,3.010055389957276536e-19,-7.783690316253827983e-19,8.500000000000000611e-02
2.228273233364080896e-01,0.000000000000000000e+00,2.144164964139535501e-01,8.410826922454536086e-03,-5.204021681411054527e-19,6.976540802246535000e-02,-6.578835166278758449e-04,-2.027505586938809501e-01,6.408683530544840787e-03,3.076625774559846316e-03,-6.704095888633731896e-03,-3.339807607828659248e-19,-4.948331689510775367e-19,4.360771012095774355e-19,8.999999999999999667e-02
2.050580983215034847e-01,0.000000000000000000e+00,1.973179778911084981e-01,7.740120430394988385e-03,-1.487037245400465149e-19,6.420285143491688551e-02,-6.019788553740862067e-04,-1.865820460589433794e-01,5.897579742629188194e-03,2.831319848051604311e-03,-6.169508237536180592e-03,-3.114729894602679976e-19,-3.457041104225137873e-19,5.111792424265719281e-20,9.500000000000000111e-02
1.887058655856828082e-01,0.000000000000000000e+00,1.815829693134138889e-01,7.122896272268908896e-03,2.768085205341868582e-19,5.908364832454760657e-02,-5.514644090305417410e-04,-1.717029585303245509e-01,5.427246327794817485e-03,2.605565441886055315e-03,-5.677543727202684527e-03,-4.175968935480612487e-19,1.456228378317438515e-19,-4.344401683708617407e-19,1.000000000000000056e-01
1.736576291662209892e-01,0.000000000000000000e+00,1.671027388825766236e-01,6.554890283644352646e-03,8.813971547351431211e-19,5.437250587428026083e-02,-5.056579154814484214e-04,-1.580104510497953862e-01,4.994428640820941859e-03,2.397806210955414751e-03,-5.224805364297969296e-03,5.248197850223294916e-19,1.925247171006806892e-19,-7.524690866374004695e-19,1.049999999999999961e-01
1.598094035466120499e-01,0.000000000000000000e+00,1.537772254075222000e-01,6.032178139089853369e-03,-2.640470557604143229e-19,5.003692883947424841e-02,-4.639998757605493527e-04,-1.454098854494288995e-01,4.596132506360450266e-03,2.206609167161911918e-03,-4.808166514547520913e-03,-1.403758716757593765e-19,-1.724837746669041735e-19,2.311544356982699739e-19,1.100000000000000006e-01
1.470654952196529808e-01,0.000000000000000000e+00,1.415143469123834874e-01,5.551148307269481233e-03,7.460063391923819774e-19,4.604700101572948429e-02,-4.260252532737225390e-04,-1.338141744900049890e-01,4.229603196076226618e-03,2.030655046263015254e-03,-4.424749487255685843e-03,-2.596628669100110656e-20,8.131392193559641962e-20,-7.968206077053198456e-19,1.150000000000000050e-01
1.353378415156947512e-01,0.000000000000000000e+00,1.302293643679763857e-01,5.108477147718358535e-03,-1.058527443256522348e-18,4.237518289887312606e-02,-3.913424426963653868e-04,-1.231431786168502157e-01,3.892306150426518355e-03,1.868729387693140358e-03,-4.071905788547783289e-03,-1.999274080740065514e-19,-4.595552359875500522e-19,1.050086276563868769e-18,1.199999999999999956e-01
1.245454021368909286e-01,0.000000000000000000e+00,1.198442961543030871e-01,4.701105982587846718e-03,-8.322553933089257359e-19,3.899612458030914802e-02,-3.596175713415771403e-04,-1.133231511189514984e-01,3.581909287518654592e-03,1.719714285461703112e-03,-3.747197920848210038e-03,-1.949395597346198455e-19,-4.093657789281051775e-19,8.127775530888243002e-19,1.250000000000000000e-01
1.146135991991793363e-01,0.000000000000000000e+00,1.102873792103687550e-01,4.326219988810580362e-03,1.273878628334766431e-18,3.588649290644822798e-02,-3.305627178837952261e-04,-1.042862277504728319e-01,3.296266758989233828e-03,1.582580767513733439e-03,-3.448382612985626504e-03,3.902689761232486274e-19,1.316979554208455265e-19,-1.212807617539509136e-18,1.300000000000000044e-01
1.054738019178596276e-01,0.000000000000000000e+00,1.014925731501685746e-01,3.981228767691047735e-03,-7.673446700199769028e-19,3.302481194259889591e-02,-3.039270142352879216e-04,-9.596995721056021666e-02,3.033404027711278546e-03,1.456381761385531527e-03,-3.173395372473228337e-03,-8.917485494342570846e-20,-9.538449856135086370e-21,7.801920765660545986e-19,1.350000000000000089e-01
