Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.000000000000000000e+00,0.000000000000000000e+00,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,2.547237653672306257e-01,0.000000000000000000e+00,9.152135288320097928e-01,1.340651396669634982e-02,0.000000000000000000e+00,4.816913309642156804e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.809851160795026725e-01,0.000000000000000000e+00,9.323554756546829081e-01,4.862964042481975752e-02,-1.852932166286013357e-21,2.504497278362028401e-01,5.777653765431229032e-04,8.980879087432972474e-01,8.319961601169880219e-03,6.240508182554248056e-04,4.816238513548985745e-02,-3.122404167803198433e-19,2.612842706072361383e-19,8.497991632990880755e-20,5.000000000000000104e-03
9.628075050515315647e-01,0.000000000000000000e+00,9.150806776705830980e-01,4.772682738094849442e-02,6.589543486807049021e-21,2.456590068308807662e-01,-6.398294292042313626e-05,8.814898722053303715e-01,8.138318251025684902e-03,6.112586699976785883e-04,4.727581223417953726e-02,-5.021339539698296056e-19,4.937516275757783316e-19,1.465947711214656183e-19,1.000000000000000021e-02
9.449698080696941060e-01,0.000000000000000000e+00,8.981260882227863895e-01,4.684371984690768181e-02,-2.746466502311999566e-20,2.409947328464981942e-01,-5.284136565018794814e-04,8.651890221048736951e-01,7.994204044295310022e-03,5.955737896034874780e-04,4.639924865782887181e-02,1.581349269733837841e-19,-1.102094731673949542e-18,-7.252095135809467070e-20,1.499999999999999944e-02
9.274622079143027831e-01,0.000000000000000000e+00,8.814855415976373676e-01,4.597666631666536691e-02,2.289982090981599517e-20,2.364478061014015919e-01,-8.563186288850845344e-04,8.491814910413543194e-01,7.851128551772536268e-03,5.813512331119134778e-04,4.553906018733312050e-02,-8.175546132151254602e-19,8.825829116869847264e-19,2.513133952787644432e-19,2.000000000000000042e-02
9.102786798264674850e-01,0.000000000000000000e+00,8.651532448139122033e-01,4.512543501255533024e-02,-9.140980956292558790e-20,2.320075794736397023e-01,-1.085327579920277678e-03,8.334642291722152985e-01,7.709319131753903862e-03,5.682681421571505543e-04,4.469494295661563532e-02,-1.049598324778700050e-18,-6.111344925627521562e-19,1.972417503010090149e-19,2.500000000000000139e-02
8.934133057545856627e-01,0.000000000000000000e+00,8.491235063741610078e-01,4.428979938042464093e-02,-5.394700766625089429e-20,2.276659046384331697e-01,-1.242785593143406944e-03,8.180335965265609355e-01,7.569131439986832334e-03,5.560628380941857020e-04,4.386656281369244459e-02,2.014781547765108380e-19,-1.876384352357615876e-18,-1.120732247454354127e-19,2.999999999999999889e-02
8.768602536843970174e-01,0.000000000000000000e+00,8.333907347814202282e-01,4.346951890297677534e-02,-1.946718888269126956e-20,2.234164803278522182e-01,-1.348518986972213965e-03,8.028855428589515286e-01,7.430811868041471008e-03,5.445444147134675559e-04,4.305360152329816559e-02,8.181693067430282219e-18,5.650552083493611495e-18,-2.297349665860651361e-18,3.500000000000000333e-02
8.606137823823993838e-01,0.000000000000000000e+00,8.179494381778389389e-01,4.266434420456046567e-02,5.253354959768203728e-20,2.192543521212374502e-01,-1.416901554400088912e-03,7.880157464934630651e-01,7.294526270202533920e-03,5.335735046284558521e-04,4.225575407038680703e-02,-1.248606153929548674e-18,1.418284748597089965e-18,4.020444645054717541e-19,4.000000000000000083e-02
8.446682444615607466e-01,0.000000000000000000e+00,8.027942235876145416e-01,4.187402087394624661e-02,-1.046373218169820635e-19,2.151755493809677233e-01,-1.458353326456127662e-03,7.734197145864942780e-01,7.160382326194757695e-03,5.230481318534569964e-04,4.147272640417736661e-02,9.194480014744349206e-19,1.569138967617934900e-18,-3.645168064187470116e-19,4.499999999999999833e-02
