offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
0.000000000000000000e+00,1.000000000000000000e+02,6.525516464749595968e+01,1.301596378944203769e+00,6.525516464749595968e+01,1.301596378944203769e+00,9.903275260945070269e-01
0.000000000000000000e+00,1.693877551020408134e+02,6.228853907420172931e+01,1.204873282549094204e+00,6.228853907420172931e+01,1.204873282549094204e+00,9.902143618367397204e-01
0.000000000000000000e+00,2.387755102040816269e+02,5.825761982066353539e+01,1.084368442324228576e+00,5.825761982066353539e+01,1.084368442324228576e+00,9.901736510746936837e-01
0.000000000000000000e+00,3.081632653061224119e+02,5.051338549697150881e+01,1.084864531730601600e+00,5.051338549697150881e+01,1.084864531730601600e+00,9.902926074995587191e-01
0.000000000000000000e+00,3.775510204081632537e+02,4.795953990527122812e+01,9.042747485788410478e-01,4.795953990527122812e+01,9.042747485788410478e-01,9.905950454795325877e-01
0.000000000000000000e+00,4.469387755102040956e+02,4.420476336258654015e+01,8.673992439403934718e-01,4.420476336258654015e+01,8.673992439403934718e-01,9.910552327762687241e-01
0.000000000000000000e+00,5.163265306122448237e+02,4.002208522198701957e+01,7.617894217145074753e-01,4.002208522198701957e+01,7.617894217145074753e-01,9.916229086278158800e-01
0.000000000000000000e+00,5.857142857142856656e+02,3.704850453376169384e+01,7.091625466796511734e-01,3.704850453376169384e+01,7.091625466796511734e-01,9.922454339413487867e-01
0.000000000000000000e+00,6.551020408163265074e+02,3.540368931075116166e+01,7.387423201668291695e-01,3.540368931075116166e+01,7.387423201668291695e-01,9.928798187790418561e-01
0.000000000000000000e+00,7.244897959183673493e+02,3.213858646527763341e+01,6.521150707310470196e-01,3.213858646527763341e+01,6.521150707310470196e-01,9.934961341410594171e-01
0.000000000000000000e+00,7.938775510204081911e+02,3.084168106711685553e+01,6.265963967131922274e-01,3.084168106711685553e+01,6.265963967131922274e-01,9.940762487034088268e-01
0.000000000000000000e+00,8.632653061224489193e+02,3.115909652670786656e+01,5.954688429164739505e-01,3.115909652670786656e+01,5.954688429164739505e-01,9.946109497655739595e-01
0.000000000000000000e+00,9.326530612244897611e+02,2.901364405672608271e+01,6.024734506985474081e-01,2.901364405672608271e+01,6.024734506985474081e-01,9.950970570158031991e-01
0.000000000000000000e+00,1.002040816326530603e+03,2.759352897448503228e+01,5.602149400905592769e-01,2.759352897448503228e+01,5.602149400905592769e-01,9.955351221884111146e-01
0.000000000000000000e+00,1.071428571428571331e+03,2.733609760411664880e+01,5.277992701410441079e-01,2.733609760411664880e+01,5.277992701410441079e-01,9.959278031195527570e-01
0.000000000000000000e+00,1.140816326530612287e+03,2.729139851507921932e+01,5.085574306636784225e-01,2.729139851507921932e+01,5.085574306636784225e-01,9.962787873539452610e-01
0.000000000000000000e+00,1.210204081632653015e+03,2.667192689589265697e+01,5.281526830624004853e-01,2.667192689589265697e+01,5.281526830624004853e-01,9.965921337311147710e-01
0.000000000000000000e+00,1.279591836734693743e+03,2.457903996451240758e+01,4.862307444546694613e-01,2.457903996451240758e+01,4.862307444546694613e-01,9.968718843273345342e-01
0.000000000000000000e+00,1.348979591836734699e+03,2.451683362494717500e+01,4.884692242548273611e-01,2.451683362494717500e+01,4.884692242548273611e-01,9.971218554192505801e-01
0.000000000000000000e+00,1.418367346938775427e+03,2.448848637091425928e+01,4.870656716906954231e-01,2.448848637091425928e+01,4.870656716906954231e-01,9.973455376848756604e-01
0.000000000000000000e+00,1.487755102040816382e+03,2.410121936054494896e+01,4.932577465295722718e-01,2.410121936054494896e+01,4.932577465295722718e-01,9.975460617099872751e-01
