Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,9.999999999999998890e-01,0.000000000000000000e+00,9.499999999999998446e-01,4.999999999999999584e-02,0.000000000000000000e+00,1.405779821167965626e-01,0.000000000000000000e+00,-9.395412875142685749e-01,7.398841164041925628e-03,0.000000000000000000e+00,-4.944954144811940233e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.735968470111101558e-01,0.000000000000000000e+00,9.274302427364297108e-01,4.616660427468043809e-02,1.010846507895331508e-19,1.382984919260736023e-01,-3.003452918128083314e-03,-9.170613565630659769e-01,1.594404331976017469e-02,6.197648184865608978e-03,-4.429490558565763597e-02,1.048972344047149742e-18,-1.095805169779584494e-19,5.474160407414434425e-20
1.000000000000000021e-02,9.489452107470645048e-01,0.000000000000000000e+00,9.039664542910529343e-01,4.497875645601155659e-02,8.253203372356439777e-20,1.348921669504905274e-01,-2.563729285769028067e-03,-8.938460439190485385e-01,1.560177951665563979e-02,6.091808165087089603e-03,-4.314504587507309724e-02,1.342643740186737034e-18,-9.704618089660639762e-20,1.174410503573937859e-19
1.499999999999999944e-02,9.249256510338726978e-01,0.000000000000000000e+00,8.810852088562188822e-01,4.384044217765378781e-02,-1.829374774194247558e-19,1.315395924492830104e-01,-2.216245766721491352e-03,-8.712117166282498104e-01,1.520321773695627703e-02,5.940511680014626088e-03,-4.205369463023991838e-02,8.111147996073182908e-20,-3.782437604604576302e-19,1.971101155307426501e-19
2.000000000000000042e-02,9.015139804885466956e-01,0.000000000000000000e+00,8.587829876180940181e-01,4.273099287045270533e-02,4.562767816844574896e-20,1.282547205042483818e-01,-1.955554967123932560e-03,-8.491527291392525489e-01,1.481538357686786218e-02,5.791981259777022675e-03,-4.098992456339795726e-02,1.811171021683034460e-18,-7.398570279229158088e-20,2.248591690904120305e-19
2.500000000000000139e-02,8.786947950618302361e-01,0.000000000000000000e+00,8.370452393003171565e-01,4.164955576151307959e-02,-1.569436180231471690e-19,1.250406312035682588e-01,-1.758039109271122401e-03,-8.276539073396320667e-01,1.443819429759064799e-02,5.646700135117305522e-03,-3.995288578853627842e-02,5.331200487095092182e-19,9.936037275597529548e-20,2.384582569950960874e-19
2.999999999999999889e-02,8.564531306273517330e-01,0.000000000000000000e+00,8.158576901246871182e-01,4.059544050266457316e-02,-2.060027725794623953e-19,1.218989527405204693e-01,-1.606454787635064156e-03,-8.067005749425665284e-01,1.407115432257317021e-02,5.504729183341309021e-03,-3.894195442289631603e-02,3.465228613648865451e-20,-4.302988404356467636e-19,2.134807539346637246e-19
3.500000000000000333e-02,8.347743930294299064e-01,0.000000000000000000e+00,7.952064231598211519e-01,3.956796986960878226e-02,-1.183329776236891306e-19,1.188303260018730712e-01,-1.488320169859831503e-03,-7.862785642051802748e-01,1.371384036920547840e-02,5.366086187963887456e-03,-3.795650903676969778e-02,2.676534785948068813e-19,-8.477581248887586297e-19,1.596976276230172155e-19
4.000000000000000083e-02,8.136443508087244370e-01,0.000000000000000000e+00,7.750778709926618992e-01,3.856647981606258629e-02,-2.050106164083881735e-20,1.158346915567649710e-01,-1.394599538788952311e-03,-7.663741655780318407e-01,1.336588585785004370e-02,5.230760378766334366e-03,-3.699593304102837682e-02,2.410351816004821975e-18,-4.031611425196132887e-20,3.813758988626342582e-19
4.499999999999999833e-02,7.930491278762507035e-01,0.000000000000000000e+00,7.554588076461020707e-01,3.759032023014865359e-02,-2.977243797379852691e-19,1.129114965640434370e-01,-1.318750463081511332e-03,-7.469740885744501346e-01,1.302696678016800058e-02,5.098720941281922360e-03,-3.605961756637346416e-02,1.429470076715969022e-18,-4.565537416263554947e-19,5.149216815283512163e-19
