Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.499999999999999556e-01,5.000000000000000971e-02,0.000000000000000000e+00,6.139216739770936293e-01,0.000000000000000000e+00,7.249828813297339858e-01,3.231166705142598378e-02,0.000000000000000000e+00,3.815699375419653178e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.129314870192412057e-01,0.000000000000000000e+00,8.737795217631675326e-01,3.915196525607362449e-02,-3.322669853241297835e-19,5.663407220880199988e-01,1.900380057229957009e-03,6.653973686172209856e-01,1.267372297111818598e-02,3.815955145831984290e-03,4.057157007261982112e-02,-4.469629118299292906e-19,-1.690875352121570308e-20,-5.690260843945954917e-20
1.000000000000000021e-02,8.395179230986646868e-01,0.000000000000000000e+00,8.035293560030227766e-01,3.598856709564188239e-02,-3.800080522357405330e-19,5.202309847683845856e-01,-7.160836390826558900e-04,6.123893716839190482e-01,1.156714272417482675e-02,3.510829872489212421e-03,3.736339134907440407e-02,-4.625975749796266822e-19,-1.773287501750539713e-20,-1.062217798487466426e-19
1.499999999999999944e-02,7.720467333786202868e-01,0.000000000000000000e+00,7.389244702978774448e-01,3.312226308074278647e-02,1.985429378708129233e-18,4.779626249514199454e-01,-2.512006381641257446e-03,5.635259017771322432e-01,1.066805559047534838e-02,3.208224496555427824e-03,3.436881066049304878e-02,1.997882961009912464e-18,1.095292520295746792e-20,9.098342525403734349e-19
2.000000000000000042e-02,7.099925568015343913e-01,0.000000000000000000e+00,6.795129576174091524e-01,3.047959918412527017e-02,-4.526657128031915525e-19,4.392065185762890622e-01,-3.682424322788137045e-03,5.184934959306534141e-01,9.833943636736003704e-03,2.935059543524488283e-03,3.161226102831801027e-02,-4.802987627247126385e-19,-1.966822047715802853e-20,-1.864411011940480808e-19
2.500000000000000139e-02,6.529216681467105987e-01,0.000000000000000000e+00,6.248775963473983674e-01,2.804407179931224514e-02,-2.994023569057511595e-19,4.036508792904074383e-01,-4.402341780351373517e-03,4.770094603881405160e-01,9.060756069829941847e-03,2.687804711150489859e-03,2.907554677262969706e-02,-3.103897062138038891e-19,8.589983173526463275e-21,-1.294889485724696950e-19
2.999999999999999889e-02,6.004350208776867426e-01,0.000000000000000000e+00,5.746346071337957717e-01,2.580041374389095699e-02,2.657640268043504565e-18,3.710165076733848433e-01,-4.800529573251983637e-03,4.388073284290924803e-01,8.345184243130477839e-03,2.463353287769646377e-03,2.674146393766904661e-02,2.323228900393925242e-18,2.683468323695526077e-21,1.515177402623280108e-18
3.500000000000000333e-02,5.521652288269766062e-01,0.000000000000000000e+00,5.284310016374842434e-01,2.373422718949233512e-02,-2.601597383706011487e-18,3.410523290840652422e-01,-4.971373041743540333e-03,4.036371648304358239e-01,7.683778126800257409e-03,2.259112869188543808e-03,2.459406747265585266e-02,-1.879778881240350360e-18,-4.239213695626384608e-20,-1.817257415273554940e-18
4.000000000000000083e-02,5.077741289664547963e-01,0.000000000000000000e+00,4.859421244129488171e-01,2.183200455350602781e-02,-5.365512209283813994e-19,3.135316593634840387e-01,-4.983875762195994277e-03,3.712655070384158207e-01,7.073058006091364515e-03,2.072896547549974398e-03,2.261860402071467352e-02,-4.895384259989780662e-19,-2.288733531795288981e-20,-2.885384128420781898e-19
4.499999999999999833e-02,4.669505140997546877e-01,0.000000000000000000e+00,4.468693877471676679e-01,2.008112635258701290e-02,1.968376856295824231e-18,2.882491524367917224e-01,-4.888320842253175876e-03,3.414749817530376985e-01,6.509596574028496049e-03,1.902839145763384789e-03,2.080143958937920312e-02,1.492026679867806570e-18,-6.583690180921751257e-20,1.315852444416853440e-18
