offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
0.000000000000000000e+00,1.000000000000000000e+02,6.236130527639426901e+01,1.191460249781146397e+00,6.236130527639426901e+01,1.191460249781146397e+00,9.903275259518626861e-01
0.000000000000000000e+00,1.693877551020408134e+02,5.932217296927483119e+01,1.276797733771995791e+00,5.932217296927483119e+01,1.276797733771995791e+00,9.902143619722456602e-01
0.000000000000000000e+00,2.387755102040816269e+02,5.607003734855182131e+01,1.124624292014479776e+00,5.607003734855182131e+01,1.124624292014479776e+00,9.901736510469767438e-01
0.000000000000000000e+00,3.081632653061224119e+02,5.283654186618598914e+01,1.012625803959328996e+00,5.283654186618598914e+01,1.012625803959328996e+00,9.902926075375314552e-01
0.000000000000000000e+00,3.775510204081632537e+02,4.792242596010175504e+01,1.013295986510969415e+00,4.792242596010175504e+01,1.013295986510969415e+00,9.905950455917833519e-01
0.000000000000000000e+00,4.469387755102040956e+02,4.338907911056865174e+01,8.460338682562141832e-01,4.338907911056865174e+01,8.460338682562141832e-01,9.910552327670176798e-01
0.000000000000000000e+00,5.163265306122448237e+02,4.140009326103960063e+01,8.130374016320490727e-01,4.140009326103960063e+01,8.130374016320490727e-01,9.916229085633319063e-01
0.000000000000000000e+00,5.857142857142856656e+02,3.876223642434830197e+01,7.805847652176691742e-01,3.876223642434830197e+01,7.805847652176691742e-01,9.922454338959585396e-01
0.000000000000000000e+00,6.551020408163265074e+02,3.574575525058491365e+01,7.188562602242226651e-01,3.574575525058491365e+01,7.188562602242226651e-01,9.928798188090207644e-01
0.000000000000000000e+00,7.244897959183673493e+02,3.299702210156105053e+01,6.707746202758123610e-01,3.299702210156105053e+01,6.707746202758123610e-01,9.934961341810378821e-01
0.000000000000000000e+00,7.938775510204081911e+02,3.132697546606814498e+01,6.224468270483999310e-01,3.132697546606814498e+01,6.224468270483999310e-01,9.940762486861550729e-01
0.000000000000000000e+00,8.632653061224489193e+02,2.996368990357038697e+01,5.877600314507307466e-01,2.996368990357038697e+01,5.877600314507307466e-01,9.946109497466878446e-01
0.000000000000000000e+00,9.326530612244897611e+02,2.845420668292283395e+01,5.436540039731849738e-01,2.845420668292283395e+01,5.436540039731849738e-01,9.950970570153746531e-01
0.000000000000000000e+00,1.002040816326530603e+03,2.756389817724407365e+01,5.447218586560214071e-01,2.756389817724407365e+01,5.447218586560214071e-01,9.955351221774161319e-01
0.000000000000000000e+00,1.071428571428571331e+03,2.709970751205797512e+01,5.209747585299780992e-01,2.709970751205797512e+01,5.209747585299780992e-01,9.959278031193178338e-01
0.000000000000000000e+00,1.140816326530612287e+03,2.597135226366090066e+01,5.179696390725038180e-01,2.597135226366090066e+01,5.179696390725038180e-01,9.962787873609674216e-01
0.000000000000000000e+00,1.210204081632653015e+03,2.672754786476213340e+01,5.113693858114393143e-01,2.672754786476213340e+01,5.113693858114393143e-01,9.965921337391324686e-01
0.000000000000000000e+00,1.279591836734693743e+03,2.530863803543158497e+01,5.131863426630656200e-01,2.530863803543158497e+01,5.131863426630656200e-01,9.968718843306713095e-01
0.000000000000000000e+00,1.348979591836734699e+03,2.476143312974986088e+01,4.806423546959820436e-01,2.476143312974986088e+01,4.806423546959820436e-01,9.971218554097694975e-01
0.000000000000000000e+00,1.418367346938775427e+03,2.447366113336519078e+01,4.852285368539674404e-01,2.447366113336519078e+01,4.852285368539674404e-01,9.973455376847829568e-01
0.000000000000000000e+00,1.487755102040816382e+03,2.349344475254964593e+01,4.848820332073617845e-01,2.349344475254964593e+01,4.848820332073617845e-01,9.975460617081473025e-01
0.000000000000000000e+00,1.557142857142857110e+03,2.364280240246803189e+01,4.774768073815682801e-01,2.364280240246803189e+01,4.774768073815682801e-01,9.977262000117760321e-01
0.000000000000000000e+00,1.626530612244897839e+03,2.306854471331324774e+01,4.835119534514729089e-01,2.306854471331324774e+01,4.835119534514729089e-01,9.978883886017053673e-01
0.000000000000000000e+00,1.695918367346938794e+03,2.333724652170743141e+01,4.748225968022169452e-01,2.333724652170743141e+01,4.748225968022169452e-01,9.980347573304551023e-01
0.000000000000000000e+00,1.765306122448979522e+03,2.279247815339238414e+01,4.478727452020405120e-01,2.279247815339238414e+01,4.478727452020405120e-01,9.981671633178874625e-01
0.000000000000000000e+00,1.834693877551020250e+03,2.278880454579692838e+01,4.336157274269128448e-01,2.278880454579692838e+01,4.336157274269128448e-01,9.982872237587113728e-01
0.000000000000000000e+00,1.904081632653061206e+03,2.271971758979184131e+01,4.454680501101842549e-01,2.271971758979184131e+01,4.454680501101842549e-01,9.983963465993284103e-01
