Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
9.999999999999998890e-01,0.000000000000000000e+00,9.965540849112698440e-01,3.445915088729999826e-03,0.000000000000000000e+00,2.796624270363099463e-01,0.000000000000000000e+00,-9.565087407114998275e-01,9.670252640237557039e-04,0.000000000000000000e+00,-3.307445077015923589e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.472169081039540917e-01,0.000000000000000000e+00,9.464177618209236309e-01,7.991462830305066196e-04,8.579125911515625140e-19,2.657772321490506351e-01,-9.380835303004120187e-05,-9.083331325703806192e-01,-1.846570024304705832e-04,1.341865950081747461e-03,-8.865931717820514472e-04,2.446274608767440826e-19,4.766068014857699084e-21,-8.223063253926052504e-19,5.000000000000000104e-03
8.985192818843428242e-01,0.000000000000000000e+00,8.977612208399422533e-01,7.580610444006182511e-04,1.658544448830692724e-18,2.521139200350923093e-01,-8.480168506222251568e-05,-8.616343856128991785e-01,-1.751657968642672200e-04,1.272880187604486088e-03,-8.410128293192275801e-04,4.689966568904842902e-19,5.616840794484296507e-21,-1.590856870810542511e-18,1.000000000000000021e-02
8.523252629687325665e-01,0.000000000000000000e+00,8.516061741899373372e-01,7.190887787952199338e-04,4.276809235692064558e-18,2.391530102555565751e-01,-7.656036145623139973e-05,-8.173364937177650669e-01,-1.661620624308696636e-04,1.207440587400956597e-03,-7.977764479343817930e-04,1.191652914165492634e-18,-8.775251954689328562e-20,-4.107449311056279869e-18,1.499999999999999944e-02
8.085061372927088152e-01,0.000000000000000000e+00,8.078240172103616779e-01,6.821200823471114784e-04,3.104656609269389325e-18,2.268583948749691437e-01,-6.902321915125841261e-05,-7.753160252194719604e-01,-1.576210941120441541e-04,1.145365263228188130e-03,-7.567628202289945500e-04,8.742506629354057998e-19,7.108175878885839991e-21,-2.979024699617473852e-18,2.000000000000000042e-02
7.669398085768275308e-01,0.000000000000000000e+00,7.662927566245870681e-01,6.470519522404990674e-04,-6.248502481159117162e-18,2.151958219190409638e-01,-6.213378729034033858e-05,-7.354558939868344192e-01,-1.495191097140677490e-04,1.086481257500574067e-03,-7.178576776572581294e-04,-1.752627440798668300e-18,-3.615122327364312473e-20,5.997672979052745598e-18,2.500000000000000139e-02
7.275104576664399580e-01,0.000000000000000000e+00,7.268966709855085861e-01,6.137866809313274451e-04,7.808639416396274910e-18,2.041328001293242489e-01,-5.583996283529310794e-05,-6.976450335004287240e-01,-1.418335490515801702e-04,1.030624504301872564e-03,-6.809526259265392999e-04,2.184436189141785617e-18,-7.654089690902107963e-20,-7.496875330499854087e-18,2.999999999999999889e-02
6.901082198167375337e-01,0.000000000000000000e+00,6.895259882328081957e-01,5.822315839293242760e-04,2.648306330213076294e-21,1.936385084585935112e-01,-5.009368018001446055e-05,-6.617780873720077173e-01,-1.345430111691143149e-04,9.776393722791159365e-04,-6.459448430276394171e-04,5.625118115408996862e-21,-1.030901258797089087e-20,-1.114518102736878522e-21,3.500000000000000333e-02
6.546288785689878820e-01,0.000000000000000000e+00,6.540765798274164045e-01,5.522987415715199062e-04,5.451418234255529716e-18,1.836837102180268189e-01,-4.485060539675757204e-05,-6.277551157750518307e-01,-1.276271947898263075e-04,9.273782310269002710e-04,-6.127367927858647437e-04,1.531881045112061791e-18,9.366036949081308608e-21,-5.231759340931664150e-18,4.000000000000000083e-02
6.209735753650067469e-01,0.000000000000000000e+00,6.204496706109362547e-01,5.239047540705186502e-04,-2.684442266676068487e-17,1.742406716371240338e-01,-4.006985329638326445e-05,-5.954813169684374241e-01,-1.210668418207151963e-04,8.797010397700937793e-04,-5.812359531362594131e-04,-7.530876178279287311e-18,8.036123718204739539e-20,2.576643046417403608e-17,4.499999999999999833e-02
5.890485340905945444e-01,0.000000000000000000e+00,5.885515635814398960e-01,4.969705091546527996e-04,-1.061619552143221418e-17,1.652830846095309503e-01,-3.571372561752070843e-05,-5.648667631371012687e-01,-1.148436837592699592e-04,8.344749571861413088e-04,-5.513545583662122010e-04,-2.977622784965736076e-18,-3.659048030163382108e-20,1.019006244627481449e-17,5.000000000000000278e-02
5.587647997808101730e-01,0.000000000000000000e+00,5.582933788191544178e-01,4.714209616557595364e-04,-2.117453795406987188e-17,1.567859934097488306e-01,-3.174746878176907866e-05,-5.358261498139932355e-01,-1.089403908527198831e-04,7.915739712894074697e-04,-5.230093546106866871e-04,-5.941043960365857331e-18,7.220301397697373975e-20,2.032400196018198970e-17,5.500000000000000028e-02
