Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
9.999999999999998890e-01,0.000000000000000000e+00,9.965540849112698440e-01,3.445915088729999392e-03,0.000000000000000000e+00,2.653116713105608260e-01,0.000000000000000000e+00,9.605882370817037108e-01,9.174027834792699556e-04,0.000000000000000000e+00,3.321551283903587115e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.856704947723616828e-01,0.000000000000000000e+00,9.823238433363706834e-01,3.346651435991019295e-03,-1.446005785267837634e-22,2.615356312408574913e-01,5.340777591361861934e-05,9.468681254249644574e-01,4.961851534936740499e-04,2.876060096163239222e-05,3.334910134534209685e-03,2.825176695885676082e-21,-3.083780056462422073e-22,-9.303202076046923027e-22,5.000000000000000104e-03
9.715954868744507422e-01,0.000000000000000000e+00,9.682966235057354210e-01,3.298863368715338178e-03,-2.386802050592107929e-22,2.578000667114704325e-01,4.495245167097033863e-05,9.333474577213445311e-01,4.891036460261401989e-04,2.834879303751172775e-05,3.287288702888368792e-03,3.311146285109329738e-21,-6.158318182288297583e-22,-1.162145698959225873e-21,1.000000000000000021e-02
9.577214648044841683e-01,0.000000000000000000e+00,9.544697071559276047e-01,3.251757648556542323e-03,-2.362639163127608909e-22,2.541179123083787128e-01,3.717581814352400693e-05,9.200198414366463906e-01,4.821231009545877259e-04,2.794293822079734588e-05,3.240347280927662835e-03,1.118235612564906232e-21,-4.368606729623652890e-21,-5.539634045736700954e-22,1.499999999999999944e-02
9.440455585493873203e-01,0.000000000000000000e+00,9.408402340286082799e-01,3.205324520778997030e-03,-4.189688306858779066e-22,2.504884004518505014e-01,3.002773220939636815e-05,9.068825212235027688e-01,4.752419690264549968e-04,2.754295462530046166e-05,3.194076176583733866e-03,4.223320974658100193e-21,-1.194985874508040751e-21,-1.601124588627644647e-21,2.000000000000000042e-02
9.305649390941475030e-01,0.000000000000000000e+00,9.274053847087950775e-01,3.159554385352382130e-03,5.875288267894040240e-23,2.469107748746020015e-01,2.346168283290565415e-05,8.939327809826737026e-01,4.684588499851955021e-04,2.714875291781069713e-05,3.148465817133669787e-03,-5.549024740077944568e-21,-2.296451022716740378e-22,1.593577137503027094e-21,2.500000000000000139e-02
9.172768178205584766e-01,0.000000000000000000e+00,9.141623800415418222e-01,3.114437779016624060e-03,-4.457098583061769117e-22,2.433842904386550043e-01,1.743454569246385456e-05,8.811679433084689261e-01,4.617723621677365521e-04,2.676024543644599260e-05,3.103506766610222584e-03,-1.335485424189863149e-22,-9.101643103952597581e-21,-4.255121780709536872e-22,2.999999999999999889e-02
9.041784459305896027e-01,0.000000000000000000e+00,9.011084805572384671e-01,3.069965373351175083e-03,-1.144984914558798971e-21,2.399082129525217932e-01,1.190633734565346399e-05,8.685853689430234059e-01,4.551811423404269119e-04,2.637734614448626166e-05,3.059189723844108703e-03,-1.422655237361213809e-21,7.661433303883049341e-21,-7.949216173645254927e-22,3.500000000000000333e-02
8.912671138776047108e-01,0.000000000000000000e+00,8.882409859047333267e-01,3.026127972871427065e-03,-7.495724175995465409e-22,2.364818189926350123e-01,6.839987228285089680e-06,8.561824562375157655e-01,4.486838455303568981e-04,2.599997057297003279e-05,3.015505520535741169e-03,5.825243512727197642e-21,-2.220008467892011344e-21,-2.386552799993645052e-21,4.000000000000000083e-02
8.785401508061295717e-01,0.000000000000000000e+00,8.755572342929797136e-01,2.982916513149860230e-03,-1.046496491764390497e-21,2.331043957290533652e-01,2.201126193294984754e-06,8.439566406210476934e-01,4.422791448519426270e-04,2.562803578104660225e-05,2.972445119353924088e-03,9.080623072945347359e-21,-1.090523054057873003e-20,-3.593720497999255379e-21,4.499999999999999833e-02
8.659949239990243353e-01,0.000000000000000000e+00,8.630546019400617830e-01,2.940322058962496765e-03,2.045984108032049534e-22,2.297752407549912279e-01,-2.042109609637608205e-06,8.319053940761255150e-01,4.359657313297756734e-04,2.526146030326749807e-05,2.929999612061839551e-03,-9.444286239761290780e-21,-5.172151581071117244e-22,2.820743211358128129e-21,5.000000000000000278e-02
8.536288383332718555e-01,0.000000000000000000e+00,8.507305025308107282e-01,2.898335802461141520e-03,-1.575030362139917666e-21,2.264936619203612722e-01,-5.919260627075831284e-06,8.200262246219423012e-01,4.297423137182075463e-04,2.490016411328225827e-05,2.888160217670680818e-03,1.246990048950917045e-20,-2.936945947288062428e-20,-5.078152004044336944e-21,5.500000000000000028e-02
8.414393357429299503e-01,0.000000000000000000e+00,8.385823866815597105e-01,2.856949061370261424e-03,-8.128480406719849785e-22,2.232589771688171520e-01,-9.457712598910558146e-06,8.083166758041018252e-01,4.236076183177965929e-04,2.454406858083616735e-05,2.846918280619719667e-03,-2.236491723053184828e-21,-1.695786786854911248e-20,-2.255697811651241203e-22,5.999999999999999778e-02
8.294238946901673071e-01,0.000000000000000000e+00,8.266077414129594514e-01,2.816153277207854386e-03,2.760337154658880437e-21,2.200705143784271456e-01,-1.268285301703803207e-05,7.967743261917007436e-01,4.175603887896037355e-04,2.419309643419921882e-05,2.806265268981851177e-03,-9.535426312887239884e-21,-6.764785590373227441e-21,5.497345225651891626e-21,6.500000000000000222e-02
8.175800296433460845e-01,0.000000000000000000e+00,8.148040896298145430e-01,2.775940013531584018e-03,-2.082590006997120571e-21,2.169276112055914252e-01,-1.561821623312257217e-05,7.853967888807984465e-01,4.115993859671557655e-04,2.384717172210266701e-05,2.766192772695998548e-03,-6.975404603244308142e-21,1.428954617428419448e-20,-2.339788440435865868e-22,7.000000000000000666e-02
8.059052905633642405e-01,0.000000000000000000e+00,8.031689896091553926e-01,2.736300954208867407e-03,-1.592977610528858774e-21,2.138296149324314666e-01,-1.828561803900825497e-05,7.741817110054728390e-01,4.057233876671529683e-04,2.350621978088384892e-05,2.726692501824709135e-03,3.952881615659580263e-21,3.028941035951013733e-20,-2.744395435131623497e-21,7.499999999999999722e-02
7.943972623963656554e-01,0.000000000000000000e+00,7.917000344946557577e-01,2.697227901709867322e-03,-1.302148802061369266e-21,2.107758823170500784e-01,-2.070528048324718224e-05,7.631267732546651583e-01,3.999311884982886096e-04,2.317016720063851050e-05,2.687756284836040517e-03,8.259361928198311624e-21,-3.807213103033655264e-21,-3.632114875344790930e-21,8.000000000000000167e-02
7.830535645746508067e-01,0.000000000000000000e+00,7.803948517992254086e-01,2.658712775425354710e-03,1.345309616482948155e-21,2.077657794470672281e-01,-2.289594763195814347e-05,7.522296893966030629e-01,3.942215996695837841e-04,2.283894179520283313e-05,2.649376066911376341e-03,2.602597847437000933e-21,6.821937194637409974e-21,6.768500633517710720e-22,8.500000000000000611e-02
7.718718505237658345e-01,0.000000000000000000e+00,7.692511029137596434e-01,2.620747610006180645e-03,-1.861789439811296569e-21,2.047986815958135476e-01,-2.487499293094703391e-05,7.414882058088744232e-01,3.885934487976460306e-04,2.251247256819901679e-05,2.611543908275961844e-03,1.280019115973339907e-20,-1.876024145466371456e-20,-5.466873087188847944e-21,8.999999999999999667e-02
7.608498071773466265e-01,0.000000000000000000e+00,7.582664826236191757e-01,2.583324553727503643e-03,4.850853541021077282e-22,2.018739730815262146e-01,-2.665851877837712019e-05,7.309001010156946920e-01,3.830455797135031023e-04,2.219068968828303930e-05,2.574251982555236015e-03,-3.469567757057795939e-22,-9.856850030694806390e-21,5.990761191750491570e-22,9.500000000000000111e-02
7.499851544987297114e-01,0.000000000000000000e+00,7.474387186318556253e-01,2.546435866874128141e-03,4.383723073667498387e-22,1.989910471292165861e-01,-2.826144887280060579e-05,7.204631852314318241e-01,3.775768522694083313e-04,2.187352446042903668e-05,2.537492575153075906e-03,-1.503109511245574907e-20,-9.341745632338578283e-22,4.606330276305054988e-21,1.000000000000000056e-01
7.392756450091578779e-01,0.000000000000000000e+00,7.367655710890077536e-01,2.510073920150103933e-03,5.959658327762905401e-22,1.961493057351002822e-01,-2.969761386082202424e-05,7.101752999102420860e-01,3.721861421454863983e-04,2.156090929847043634e-05,2.501258081655251264e-03,-7.280248188869083846e-21,1.449503736615050083e-20,2.629063007618835710e-21,1.049999999999999961e-01
7.287190633229095882e-01,0.000000000000000000e+00,7.262448321298017317e-01,2.474231193107885064e-03,-2.684191598185639634e-21,1.933481595336180303e-01,-3.097983077024004560e-05,7.000343173021520427e-01,3.668723406564227416e-04,2.125277770164029205e-05,2.465541006253162398e-03,1.747788360258632962e-20,-4.857439522137804672e-20,-7.612032220636179939e-21,1.100000000000000006e-01
7.183132256890499834e-01,0.000000000000000000e+00,7.158743254164477987e-01,2.438900272602136533e-03,-6.077456122757204811e-23,1.905870276669128782e-01,-3.211997667963680588e-05,6.900381400153053901e-01,3.616343545588297250e-04,2.094906422916799335e-05,2.430333960192958796e-03,4.919997042630625777e-21,-4.073245906244709083e-20,-1.421938894049977176e-21,1.150000000000000050e-01
7.080559795396990097e-01,0.000000000000000000e+00,7.056519056884357211e-01,2.404073851263339393e-03,-1.368675474867793388e-21,1.878653376566841171e-01,-3.312905704228972251e-05,6.801847005842956984e-01,3.564711058590810727e-04,2.064970447746443651e-05,2.395629660245070670e-03,-5.139471516934140578e-21,-2.746448175007448916e-20,-4.136606833316892063e-25,1.199999999999999956e-01
6.979452030448096700e-01,0.000000000000000000e+00,6.955754583188168416e-01,2.369744725992833142e-03,-2.838010238535258743e-21,1.851825252783712017e-01,-3.401726905236811580e-05,6.704719610445852851e-01,3.513815316214690169e-04,2.035463505862391835e-05,2.361420927195886834e-03,-1.066229898561226758e-20,-1.336653963778828693e-20,6.263533428186376102e-25,1.250000000000000000e-01
6.879788046731389883e-01,0.000000000000000000e+00,6.856428988766589683e-01,2.335905796479975389e-03,4.633281874795011004e-21,1.825380344375372721e-01,-3.479406041293640537e-05,6.608979125127196763e-01,3.463645837778342256e-04,2.006379357717874679e-05,2.327700684361979234e-03,-1.031790390469760867e-20,-1.108473784424124570e-20,7.656533803280200314e-21,1.300000000000000044e-01
6.781547227596238514e-01,0.000000000000000000e+00,6.758521726958846010e-01,2.302550063739250419e-03,1.617531844209755438e-21,1.799313170484692359e-01,-3.546818383915201092e-05,6.514605747725539242e-01,3.414192289376093538e-04,1.977711861134429157e-05,2.294461956124899549e-03,-8.670144052977603976e-21,4.606973048409807024e-21,4.072763151780443471e-21,1.350000000000000089e-01
6.684709250788223311e-01,0.000000000000000000e+00,6.662012544501551004e-01,2.269670628667182655e-03,-3.429190510574643695e-21,1.773618329148691219e-01,-3.604774760650221319e-05,6.421579958671712607e-01,3.365444481990390079e-04,1.949454969271896212e-05,2.261697866486204415e-03,-1.409601112646291588e-20,2.247866221688353564e-20,3.356927006535740852e-22,1.400000000000000133e-01
6.589254084251097154e-01,0.000000000000000000e+00,6.566881477344866935e-01,2.237260690623044460e-03,1.308904826324969424e-21,1.748290496127789251e-01,-3.654026243042962706e-05,6.329882516971706563e-01,3.317392369622895287e-04,1.921602728582106725e-05,2.229401637646639695e-03,1.652527978553181585e-20,3.054901359878450222e-20,-3.206321947785707756e-21,1.449999999999999900e-01
6.495161981973134324e-01,0.000000000000000000e+00,6.473108846512901637e-01,2.205313546023239622e-03,-2.613076676204224197e-21,1.723324423750996204e-01,-3.695268494375939932e-05,6.239494456231026165e-01,3.270026047423363509e-04,1.894149277243893615e-05,2.197566588599577254e-03,3.651828343903477573e-21,4.638029689080518108e-20,-3.719538486097548075e-21,1.499999999999999944e-01
6.402413479910792349e-01,0.000000000000000000e+00,6.380675254041171529e-01,2.173822586962096716e-03,1.925428251979014934e-21,1.698714939785417599e-01,-3.729145801877342692e-05,6.150397080752287859e-01,3.223335749847685162e-04,1.867088843030091099e-05,2.166186133751041992e-03,9.436827436714981582e-22,-2.365833717544452081e-20,1.736876717199404076e-21,1.549999999999999989e-01
6.310989391957387840e-01,0.000000000000000000e+00,6.289561578958916543e-01,2.142781299847136556e-03,-2.051259406292313632e-21,1.674456946321263850e-01,-3.756254816249445796e-05,6.062571961675060628e-01,3.177311848820125561e-04,1.840415741851199777e-05,2.135253781554640167e-03,1.083089466836832522e-20,-5.589843856507222322e-21,-5.119523139016358910e-21,1.600000000000000033e-01
6.220870805979477058e-01,0.000000000000000000e+00,6.199748973338903291e-01,2.112183264057425347e-03,-4.519490515006302705e-21,1.650545418678111276e-01,-3.777148019800671223e-05,5.976000933179858032e-01,3.131944851915737502e-04,1.814124376060464894e-05,2.104763133169881319e-03,1.622208880408484701e-20,9.799020766933810374e-21,-9.169200586888094331e-21,1.650000000000000078e-01
6.132039079896920430e-01,0.000000000000000000e+00,6.111218858390753406e-01,2.082022150616737177e-03,2.146866354099347736e-21,1.626975404325815000e-01,-3.792336942822951268e-05,5.890666088733237382e-01,3.087225400554539597e-04,1.788209232694782370e-05,2.074707881135537651e-03,5.518287260639767625e-21,9.886314276858187146e-21,7.031133559328707687e-22,1.700000000000000122e-01
6.044475837833587217e-01,0.000000000000000000e+00,6.023952920624696672e-01,2.052291720889057140e-03,3.377840268642390847e-21,1.603742021826988773e-01,-3.802295146486649196e-05,5.806549777399994117e-01,3.043144268214711522e-04,1.762664881967241043e-05,2.045081808065654129e-03,-1.621951969833017062e-20,1.384686680960236506e-20,7.984095683090867017e-21,1.750000000000000167e-01
5.958162966316021825e-01,0.000000000000000000e+00,5.937933108063097043e-01,2.022985825292423091e-03,-2.907196489779413899e-21,1.580840459794834174e-01,-3.807460989234355271e-05,5.723634600200697697e-01,2.999692358663852074e-04,1.737485975961422055e-05,2.015878785364091062e-03,1.629868982735821754e-20,-2.680203752448283887e-20,-7.517696862223808644e-21,1.799999999999999933e-01
5.873082610517448288e-01,0.000000000000000000e+00,5.853141626497195826e-01,1.994098402025276488e-03,-2.882953202071531958e-21,1.558265975865449626e-01,-3.808240192298089190e-05,5.641903406512114305e-01,2.956860704197699784e-04,1.712667246765023081e-05,1.987092771951829481e-03,-2.951582875848202693e-19,1.556841284907101948e-19,7.853096350558698565e-20,1.849999999999999978e-01
5.789217170578376814e-01,0.000000000000000000e+00,5.769560935820168268e-01,1.965623475820900586e-03,7.402083150868623138e-22,1.536013895692708575e-01,-3.805008219003767022e-05,5.561339290540591174e-01,2.914640463912001938e-04,1.688203505491348924e-05,1.958717813022505666e-03,-1.595103990524949453e-23,-1.390407540520043780e-20,7.723284426169817062e-22,1.900000000000000022e-01
5.706549297953131816e-01,0.000000000000000000e+00,5.687173746386045003e-01,1.937555156708735491e-03,-4.396911152033383592e-22,1.514079611952119098e-01,-3.798112481283191875e-05,5.481925587819777013e-01,2.873022921976572594e-04,1.664089640492662892e-05,1.930748038805019454e-03,-1.154788509400544795e-19,-5.624147856495428894e-20,3.143876824759123116e-20,1.950000000000000067e-01
5.625061891829606919e-01,0.000000000000000000e+00,5.605963015441586261e-01,1.909887638802072740e-03,7.251037425120997117e-22,1.492458583366047253e-01,-3.787874386017247268e-05,5.403645871778125498e-01,2.831999485938351381e-04,1.640320616330509824e-05,1.903177663352704184e-03,-2.005730061399258024e-20,-1.325119891776832359e-21,6.292020671441462608e-21,2.000000000000000111e-01
5.544738095586178028e-01,0.000000000000000000e+00,5.525911943595215314e-01,1.882615199096256652e-03,-3.200137856295557860e-21,1.471146333740621925e-01,-3.774591232744979830e-05,5.326483950341632800e-01,2.791561685034391971e-04,1.616891472191395176e-05,1.876000983343128342e-03,-4.946838352762129462e-22,-4.043962734892680514e-20,-3.183325528899843299e-21,2.050000000000000155e-01
