offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
5.499999999999999091e+03,6.000000000000000000e+02,-1.513765022595885057e+01,-1.513765022595885057e+01,-2.994360856929280999e+03,-2.994360856929280999e+03,-2.766998136648116891e+00,-3.001977834158436963e+03,-5.039423962487489916e+00,-5.039423962487489916e+00,-2.575992942804459673e+00
5.444723618090451964e+03,6.000000000000000000e+02,-1.513723278982956799e+01,-1.513723278982956799e+01,-2.994357911123828671e+03,-2.994357911123828671e+03,-2.779918278143977517e+00,-3.001971640500118610e+03,-5.039126638437210204e+00,-5.039126638437210204e+00,-2.576587590896251001e+00
5.389447236180904838e+03,6.000000000000000000e+02,-1.513680171709847855e+01,-1.513680171709847855e+01,-2.994354786769804377e+03,-2.994354786769804377e+03,-2.793873372716643821e+00,-3.001964796259037485e+03,-5.038820268465315166e+00,-5.038820268465315166e+00,-2.577200330847040810e+00
5.334170854271356802e+03,6.000000000000000000e+02,-1.513635640560551110e+01,-1.513635640560551110e+01,-2.994351471003157258e+03,-2.994351471003157258e+03,-2.808966290742576977e+00,-3.001957225497291347e+03,-5.038504483444739890e+00,-5.038504483444739890e+00,-2.577831900887912031e+00
5.278894472361808766e+03,6.000000000000000000e+02,-1.513589621942242047e+01,-1.513589621942242047e+01,-2.994347950055424462e+03,-2.994347950055424462e+03,-2.825311955146768028e+00,-3.001948842100732691e+03,-5.038178895331839158e+00,-5.038178895331839158e+00,-2.578483077121684897e+00
5.223618090452261640e+03,6.000000000000000000e+02,-1.513542048657336636e+01,-1.513542048657336636e+01,-2.994344209233537185e+03,-2.994344209233537185e+03,-2.843038941835240418e+00,-3.001939548223507700e+03,-5.037843095954031014e+00,-5.037843095954031014e+00,-2.579154675867177282e+00
5.168341708542713604e+03,6.000000000000000000e+02,-1.513492849654383576e+01,-1.513492849654383576e+01,-2.994340232917655612e+03,-2.994340232917655612e+03,-2.862291311499494117e+00,-3.001929232465657606e+03,-5.037496655806535273e+00,-5.037496655806535273e+00,-2.579847556173711531e+00
5.113065326633165569e+03,6.000000000000000000e+02,-1.513441949757043403e+01,-1.513441949757043403e+01,-2.994336004584879902e+03,-2.994336004584879902e+03,-2.883230707212789401e+00,-3.001917767733449182e+03,-5.037139122628104815e+00,-5.037139122628104815e+00,-2.580562622520828242e+00
5.057788944723618442e+03,6.000000000000000000e+02,-1.513389269371555201e+01,-1.513389269371555201e+01,-2.994331506869753412e+03,-2.994331506869753412e+03,-2.906038756856283101e+00,-3.001905008721766080e+03,-5.036770020029507577e+00,-5.036770020029507577e+00,-2.581300827716805468e+00
5.002512562814070407e+03,6.000000000000000000e+02,-1.513334724168771572e+01,-1.513334724168771572e+01,-2.994326721675995032e+03,-2.994326721675995032e+03,-2.930919824438244614e+00,-3.001890788945760505e+03,-5.036388845882356691e+00,-5.036388845882356691e+00,-2.582063176015831019e+00
