offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-5.500000000000000000e+03,6.000000000000000000e+02,2.767039773692732130e+00,0.000000000000000000e+00,2.129845760994311377e+01,0.000000000000000000e+00,9.999470221846440410e-01
-5.444723618090451964e+03,6.000000000000000000e+02,2.779962541603976156e+00,0.000000000000000000e+00,2.200491596951448514e+01,0.000000000000000000e+00,9.999438038605283907e-01
-5.389447236180904838e+03,6.000000000000000000e+02,2.793920473093536749e+00,0.000000000000000000e+00,2.275667893672505215e+01,0.000000000000000000e+00,9.999403436806498791e-01
-5.334170854271356802e+03,6.000000000000000000e+02,2.809016458954969320e+00,0.000000000000000000e+00,2.355752629884551652e+01,0.000000000000000000e+00,9.999366206488093933e-01
-5.278894472361808766e+03,6.000000000000000000e+02,2.825365444780613355e+00,0.000000000000000000e+00,2.441161778273914251e+01,0.000000000000000000e+00,9.999326118271976149e-01
-5.223618090452261640e+03,6.000000000000000000e+02,2.843096031720847350e+00,0.000000000000000000e+00,2.532353625203353431e+01,0.000000000000000000e+00,9.999282921806682545e-01
-5.168341708542713604e+03,6.000000000000000000e+02,2.862352308609382945e+00,0.000000000000000000e+00,2.629833604689099502e+01,0.000000000000000000e+00,9.999236344145604471e-01
-5.113065326633165569e+03,6.000000000000000000e+02,2.883295949987041862e+00,0.000000000000000000e+00,2.734159702256388869e+01,0.000000000000000000e+00,9.999186088220323176e-01
-5.057788944723618442e+03,6.000000000000000000e+02,2.906108618670127264e+00,0.000000000000000000e+00,2.845948481787877427e+01,0.000000000000000000e+00,9.999131831102692214e-01
-5.002512562814070407e+03,6.000000000000000000e+02,2.930994717735036836e+00,0.000000000000000000e+00,2.965881797258862207e+01,0.000000000000000000e+00,9.999073222898742230e-01
-4.947236180904522371e+03,6.000000000000000000e+02,2.958184540886486413e+00,0.000000000000000000e+00,3.094714239141310941e+01,0.000000000000000000e+00,9.999009886243306333e-01
-4.891959798994975245e+03,6.000000000000000000e+02,2.987937872921532456e+00,0.000000000000000000e+00,3.233281341204491355e+01,0.000000000000000000e+00,9.998941414526253402e-01
-4.836683417085427209e+03,6.000000000000000000e+02,3.020548103784892469e+00,0.000000000000000000e+00,3.382508608326222088e+01,0.000000000000000000e+00,9.998867373560321736e-01
-4.781407035175879173e+03,6.000000000000000000e+02,3.056346912121495230e+00,0.000000000000000000e+00,3.543421323347925522e+01,0.000000000000000000e+00,9.998787302318028480e-01
-4.726130653266332047e+03,6.000000000000000000e+02,3.095709583202840509e+00,0.000000000000000000e+00,3.717155106682497490e+01,0.000000000000000000e+00,9.998700716043729120e-01
-4.670854271356784011e+03,6.000000000000000000e+02,3.139061017724975144e+00,0.000000000000000000e+00,3.904967102949945001e+01,0.000000000000000000e+00,9.998607111403819969e-01
-4.615577889447235975e+03,6.000000000000000000e+02,3.186882478157972098e+00,0.000000000000000000e+00,4.108247575539056129e+01,0.000000000000000000e+00,9.998505974578147937e-01
-4.560301507537688849e+03,6.000000000000000000e+02,3.239719097262826697e+00,0.000000000000000000e+00,4.328531540550801537e+01,0.000000000000000000e+00,9.998396793314355824e-01
-4.505025125628140813e+03,6.000000000000000000e+02,3.298188135073013783e+00,0.000000000000000000e+00,4.567509859367817171e+01,0.000000000000000000e+00,9.998279074241718245e-01
-4.449748743718592777e+03,6.000000000000000000e+02,3.362987907876362481e+00,0.000000000000000000e+00,4.827038908922983751e+01,0.000000000000000000e+00,9.998152367036541310e-01
-4.394472361809044742e+03,6.000000000000000000e+02,3.434907214679392418e+00,0.000000000000000000e+00,5.109147531593222880e+01,0.000000000000000000e+00,9.998016297459422219e-01
-4.339195979899497615e+03,6.000000000000000000e+02,3.514834937635324064e+00,0.000000000000000000e+00,5.416039391609118070e+01,0.000000000000000000e+00,9.997870611592678536e-01
-4.283919597989949580e+03,6.000000000000000000e+02,3.603769272938440960e+00,0.000000000000000000e+00,5.750088087799883851e+01,0.000000000000000000e+00,9.997715233967970905e-01
-4.228643216080401544e+03,6.000000000000000000e+02,3.702825730636441381e+00,0.000000000000000000e+00,6.113821337487001983e+01,0.000000000000000000e+00,9.997550342437809823e-01
-4.173366834170854418e+03,6.000000000000000000e+02,3.813242592797144059e+00,0.000000000000000000e+00,6.509889200695022282e+01,0.000000000000000000e+00,9.997376462447609136e-01
-4.118090452261306382e+03,6.000000000000000000e+02,3.936381900824855062e+00,0.000000000000000000e+00,6.941009614012976670e+01,0.000000000000000000e+00,9.997194582520748662e-01
-4.062814070351758801e+03,6.000000000000000000e+02,4.073723215285654398e+00,0.000000000000000000e+00,7.409882444675434954e+01,0.000000000000000000e+00,9.997006290697503239e-01
-4.007537688442211220e+03,6.000000000000000000e+02,4.226846326591286562e+00,0.000000000000000000e+00,7.919060937950354173e+01,0.000000000000000000e+00,9.996813928188341691e-01
-3.952261306532663184e+03,6.000000000000000000e+02,4.397397793035285218e+00,0.000000000000000000e+00,8.470767045102893178e+01,0.000000000000000000e+00,9.996620749455099597e-01
-3.896984924623115603e+03,6.000000000000000000e+02,4.587034717214775625e+00,0.000000000000000000e+00,9.066635205444465839e+01,0.000000000000000000e+00,9.996431067844580021e-01
-3.841708542713568022e+03,6.000000000000000000e+02,4.797337746246254753e+00,0.000000000000000000e+00,9.707368663602143499e+01,0.000000000000000000e+00,9.996250352362883174e-01
-3.786432160804019986e+03,6.000000000000000000e+02,5.029684312777622068e+00,0.000000000000000000e+00,1.039229487753571561e+02,0.000000000000000000e+00,9.996085219594020854e-01
-3.731155778894472405e+03,6.000000000000000000e+02,5.285073384704179311e+00,0.000000000000000000e+00,1.111881440061193302e+02,0.000000000000000000e+00,9.995943245597210813e-01
-3.675879396984924824e+03,6.000000000000000000e+02,5.563895624832103870e+00,0.000000000000000000e+00,1.188175382341508737e+02,0.000000000000000000e+00,9.995832503343400344e-01
-3.620603015075376788e+03,6.000000000000000000e+02,5.865649465540477614e+00,0.000000000000000000e+00,1.267266122933636581e+02,0.000000000000000000e+00,9.995760729279328238e-01
-3.565326633165829207e+03,6.000000000000000000e+02,6.188615882567857440e+00,0.000000000000000000e+00,1.347912416269635116e+02,0.000000000000000000e+00,9.995734054391983703e-01
-3.510050251256281626e+03,6.000000000000000000e+02,6.529523663059447536e+00,0.000000000000000000e+00,1.428424339004475314e+02,0.000000000000000000e+00,9.995755323592890873e-01
-3.454773869346733591e+03,6.000000000000000000e+02,6.883261669260003046e+00,0.000000000000000000e+00,1.506645095232441349e+02,0.000000000000000000e+00,9.995822186778162699e-01
-3.399497487437186010e+03,6.000000000000000000e+02,7.242719952285609608e+00,0.000000000000000000e+00,1.579989690490747023e+02,0.000000000000000000e+00,9.995925362866671104e-01
-3.344221105527638429e+03,6.000000000000000000e+02,7.598857086688012963e+00,0.000000000000000000e+00,1.645561332484434729e+02,0.000000000000000000e+00,9.996047687365231527e-01
-3.288944723618090393e+03,6.000000000000000000e+02,7.941081935927602586e+00,0.000000000000000000e+00,1.700356251025972369e+02,0.000000000000000000e+00,9.996164629178766470e-01
-3.233668341708542812e+03,6.000000000000000000e+02,8.257990808543045347e+00,0.000000000000000000e+00,1.741547440481322724e+02,0.000000000000000000e+00,9.996246757226314728e-01
-3.178391959798995231e+03,6.000000000000000000e+02,8.538414133876555567e+00,0.000000000000000000e+00,1.766810861903958028e+02,0.000000000000000000e+00,9.996264090722959406e-01
-3.123115577889447195e+03,6.000000000000000000e+02,8.772620775431517970e+00,0.000000000000000000e+00,1.774633099173489654e+02,0.000000000000000000e+00,9.996191510848371209e-01
-3.067839195979899614e+03,6.000000000000000000e+02,8.953444756881937749e+00,0.000000000000000000e+00,1.764529862656157775e+02,0.000000000000000000e+00,9.996013794784990303e-01
-3.012562814070352033e+03,6.000000000000000000e+02,9.077083835513112930e+00,0.000000000000000000e+00,1.737119031331289136e+02,0.000000000000000000e+00,9.995728728289123843e-01
-2.957286432160803997e+03,6.000000000000000000e+02,9.143392258089713565e+00,0.000000000000000000e+00,1.694028368656121870e+02,0.000000000000000000e+00,9.995347346957921264e-01
-2.902010050251256416e+03,6.000000000000000000e+02,9.155627455595675812e+00,0.000000000000000000e+00,1.637662796823717599e+02,0.000000000000000000e+00,9.994891340591484097e-01
-2.846733668341708835e+03,6.000000000000000000e+02,9.119754976390854750e+00,0.000000000000000000e+00,1.570890535011200768e+02,0.000000000000000000e+00,9.994388602852690706e-01
-2.791457286432160799e+03,6.000000000000000000e+02,9.043509623315193480e+00,0.000000000000000000e+00,1.496718799029023046e+02,0.000000000000000000e+00,9.993868328158013181e-01
-2.736180904522613218e+03,6.000000000000000000e+02,8.935427250893681617e+00,0.000000000000000000e+00,1.418017812693191217e+02,0.000000000000000000e+00,9.993356891534427300e-01
-2.680904522613065183e+03,6.000000000000000000e+02,8.804013637666837866e+00,0.000000000000000000e+00,1.337326380626367666e+02,0.000000000000000000e+00,9.992875201909908744e-01
-2.625628140703517602e+03,6.000000000000000000e+02,8.657139347975864041e+00,0.000000000000000000e+00,1.256745668997220378e+02,0.000000000000000000e+00,9.992437626463686051e-01
-2.570351758793970021e+03,6.000000000000000000e+02,8.501676651043839072e+00,0.000000000000000000e+00,1.177908719986645991e+02,0.000000000000000000e+00,9.992052173321589459e-01
-2.515075376884421985e+03,6.000000000000000000e+02,8.343345514647168670e+00,0.000000000000000000e+00,1.102004186933714323e+02,0.000000000000000000e+00,9.991721456969142601e-01
-2.459798994974874404e+03,6.000000000000000000e+02,8.186713567900245181e+00,0.000000000000000000e+00,1.029832003705377588e+02,0.000000000000000000e+00,9.991443998484147437e-01
-2.404522613065326823e+03,6.000000000000000000e+02,8.035293221466382363e+00,0.000000000000000000e+00,9.618726971121837721e+01,0.000000000000000000e+00,9.991215534616343374e-01
-2.349246231155778787e+03,6.000000000000000000e+02,7.891688717430478839e+00,0.000000000000000000e+00,8.983576655369937214e+01,0.000000000000000000e+00,9.991030150426902789e-01
-2.293969849246231206e+03,6.000000000000000000e+02,7.757759233996285531e+00,0.000000000000000000e+00,8.393329877859657984e+01,0.000000000000000000e+00,9.990881156734652269e-01
-2.238693467336683625e+03,6.000000000000000000e+02,7.634776785769283869e+00,0.000000000000000000e+00,7.847133319943984020e+01,0.000000000000000000e+00,9.990761713939941835e-01
-2.183417085427135589e+03,6.000000000000000000e+02,7.523567521141244718e+00,0.000000000000000000e+00,7.343251699425468360e+01,0.000000000000000000e+00,9.990665236109914638e-01
-2.128140703517588008e+03,6.000000000000000000e+02,7.424631818976664910e+00,0.000000000000000000e+00,6.879400046498318488e+01,0.000000000000000000e+00,9.990585620996544902e-01
-2.072864321608040427e+03,6.000000000000000000e+02,7.338242789290353230e+00,0.000000000000000000e+00,6.452990210774122204e+01,0.000000000000000000e+00,9.990517358094590517e-01
-2.017587939698492391e+03,6.000000000000000000e+02,7.264525038888400843e+00,0.000000000000000000e+00,6.061307665551176882e+01,0.000000000000000000e+00,9.990455552068806533e-01
-1.962311557788944810e+03,6.000000000000000000e+02,7.203516573208643692e+00,0.000000000000000000e+00,5.701633920885304008e+01,0.000000000000000000e+00,9.990395895134225324e-01
-1.907035175879397229e+03,6.000000000000000000e+02,7.155216938607540378e+00,0.000000000000000000e+00,5.371327813024002751e+01,0.000000000000000000e+00,9.990334609532358634e-01
-1.851758793969849194e+03,6.000000000000000000e+02,7.119624544760028151e+00,0.000000000000000000e+00,5.067876529731236701e+01,0.000000000000000000e+00,9.990268377766194918e-01
-1.796482412060301613e+03,6.000000000000000000e+02,7.096765745443761375e+00,0.000000000000000000e+00,4.788924899544880986e+01,0.000000000000000000e+00,9.990194269566448071e-01
