Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,9.999999999999998890e-01,0.000000000000000000e+00,9.965540849112698440e-01,3.445915088729999392e-03,0.000000000000000000e+00,9.090780248419284559e-01,0.000000000000000000e+00,-4.082856707047611833e-01,3.143437702043621815e-03,0.000000000000000000e+00,-1.411782636282156401e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.271773814750139397e-01,0.000000000000000000e+00,9.270312074946290837e-01,1.461739803848647462e-04,-3.332446012096275217e-18,8.456339292348440395e-01,5.030837360227322173e-04,-3.798553945651857444e-01,-4.481127668922518320e-05,5.103112323496516176e-04,-4.565607797153314234e-04,-3.043687516816716997e-18,-4.692677135963960216e-21,1.356925529913237241e-18
1.000000000000000021e-02,8.623437243373037742e-01,0.000000000000000000e+00,8.622077725788162006e-01,1.359517584875471433e-04,-6.343862867853090473e-18,7.865013349093222805e-01,4.686514826761294756e-04,-3.532957634338984021e-01,-4.167984328755568272e-05,4.746277352217203455e-04,-4.246377532278797608e-04,-5.789906537162957029e-18,-5.698677099333018404e-21,2.592610351534698857e-18
1.499999999999999944e-02,8.020436159814420263e-01,0.000000000000000000e+00,8.019171706900545260e-01,1.264452913874503147e-04,1.741528918634487162e-20,7.315036956807488000e-01,4.365796709673927392e-04,-3.285932056984903760e-01,-3.876637472840978202e-05,4.414392581319343521e-04,-3.949470740425469265e-04,1.477822598748054795e-20,2.753180847363805825e-21,-9.602877025855060626e-21
2.000000000000000042e-02,7.459600432935591385e-01,0.000000000000000000e+00,7.458424397262342076e-01,1.176035673249314505e-04,-1.153369745847149403e-17,6.803518676675092136e-01,4.067063768098576272e-04,-3.056178722542047810e-01,-3.605656791234972396e-05,4.105714963886973818e-04,-3.673323844534003208e-04,-1.052267561861469639e-17,-7.422625729419165029e-21,4.722233199171275738e-18
2.500000000000000139e-02,6.937981614791570717e-01,0.000000000000000000e+00,6.936887813752783405e-01,1.093801038786993297e-04,-3.736046539093172760e-18,6.327769258118594031e-01,3.788806530353620102e-04,-2.842489932446912171e-01,-3.353618572425322932e-05,3.818621730816279254e-04,-3.416485289980724575e-04,-3.404942934591288818e-18,-1.619095902720497492e-21,1.537682283070299566e-18
2.999999999999999889e-02,6.452837430133887553e-01,0.000000000000000000e+00,6.451820113444572957e-01,1.017316689314197426e-04,2.611538346885263501e-20,5.885287500861658971e-01,3.529619316994191103e-04,-2.643742432577831369e-01,-3.119198633201901639e-05,3.551603585830654026e-04,-3.177605017097717027e-04,2.243608697923185646e-20,4.453163783714526011e-21,-1.378749939700467178e-20
3.500000000000000333e-02,6.001617359611830516e-01,0.000000000000000000e+00,6.000671179077925466e-01,9.461805339048740579e-05,-4.084434970854074857e-20,5.473747105215233111e-01,3.288193094088116657e-04,-2.458891508715489171e-01,-2.901165360692905797e-05,3.303256770844654458e-04,-2.955427364441693024e-04,-4.215824556105726910e-20,5.966638839385162413e-21,5.825501879696615257e-21
4.000000000000000083e-02,5.581949231080872709e-01,0.000000000000000000e+00,5.581069212482856479e-01,8.800185980165978737e-05,-1.913473327534651987e-17,5.090984441877666189e-01,3.063308819228410199e-04,-2.286965494863962278e-01,-2.698373240863686070e-05,3.072275686140428183e-04,-2.748784468294368879e-04,-1.745419264271473585e-17,-9.909944068991584548e-21,7.841503795267073137e-18
4.499999999999999833e-02,5.191626748523604507e-01,0.000000000000000000e+00,5.190808265466166915e-01,8.184830574379607768e-05,-3.171197580908876496e-21,4.734987176948639576e-01,2.853831246257738409e-04,-2.127060665563147157e-01,-2.509756839407727521e-05,2.857446026604600498e-04,-2.556590123672255565e-04,3.566783337809474245e-22,-2.616599687353155222e-21,8.534510487419705038e-21
5.000000000000000278e-02,4.828597893023685583e-01,0.000000000000000000e+00,4.827836642613973495e-01,7.612504097123109440e-05,-5.929717205154345859e-18,4.403883692358385171e-01,2.658703157052415994e-04,-1.978336485344371620e-01,-2.334325203467848021e-05,2.657638397922685723e-04,-2.377834074593175443e-04,-5.404510659906802729e-18,-2.174894472886798706e-21,2.439865267621213626e-18
5.500000000000000028e-02,4.490954134808530229e-01,0.000000000000000000e+00,4.490246115035096963e-01,7.080197734334384412e-05,3.019772680763094890e-20,4.095933246086826962e-01,2.476939990890638689e-04,-1.840011190354579051e-01,-2.171156654680040567e-05,2.471802379132803868e-04,-2.211576703586744783e-04,2.914266010282322974e-20,-1.310580671994971358e-21,-8.819109703383932121e-21
5.999999999999999778e-02,4.176920399651973814e-01,0.000000000000000000e+00,4.176261888345520479e-01,6.585113064533824705e-05,3.652232327828264311e-20,3.809516820447150232e-01,2.307624843963709121e-04,-1.711357678925359560e-01,-2.019393946300454984e-05,2.298961000393822101e-04,-2.056944092514384828e-04,3.160452658477875756e-20,6.562383737636799352e-21,-1.877481969042869731e-20
6.500000000000000222e-02,3.884845736882034939e-01,0.000000000000000000e+00,3.884233272147332716e-01,6.124647347022173140e-05,5.593835549581907268e-21,3.543128610314764670e-01,2.149903813492520083e-04,-1.591699689482249658e-01,-1.878239758889776946e-05,2.138205606880869787e-04,-1.913123428756161514e-04,2.498435295233207513e-21,-3.286254302663911946e-21,-8.090626933269062316e-21
7.000000000000000666e-02,3.613194639938522301e-01,0.000000000000000000e+00,3.612625001954637427e-01,5.696379838849695304e-05,-6.700418658347214723e-20,3.295368106557156063e-01,2.002981662672172376e-04,-1.480408245704727954e-01,-1.746952510849984961e-05,1.988691081815496928e-04,-1.779358732606948449e-04,-7.020248942713149502e-20,6.524583140752652542e-21,7.234531188455366257e-21
7.499999999999999722e-02,3.360538973845199617e-01,0.000000000000000000e+00,3.360009167938349250e-01,5.298059068503475010e-05,4.367290694068687294e-18,3.064932733039609225e-01,1.866117784304315973e-04,-1.376898350247936220e-01,-1.624842461904393707e-05,1.849631403555347686e-04,-1.654946883416764350e-04,3.984506691102708083e-18,4.114007377064092235e-21,-1.787997867257787159e-18
