Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.965540849112699551e-01,3.445915088729999392e-03,0.000000000000000000e+00,3.374021690786203065e-01,0.000000000000000000e+00,9.376992164091749737e-01,1.166679503904464706e-03,0.000000000000000000e+00,3.242404930588761811e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.850605866372486030e-01,0.000000000000000000e+00,9.817203115603030383e-01,3.340275076945592881e-03,-2.333190078443918173e-22,3.323923591843677694e-01,5.814944536168290489e-05,9.237370241907604251e-01,7.292590680021842926e-04,2.456506232157894414e-05,3.287526668837561974e-03,-7.181778011418061085e-21,1.361251284164238401e-20,2.336178201073504059e-21
1.000000000000000021e-02,9.703979131098270372e-01,0.000000000000000000e+00,9.671073574814987861e-01,3.290555628328264981e-03,-4.567505772840890414e-22,3.274438494291158075e-01,5.041160255466228238e-05,9.099874540417132174e-01,7.184074326649722174e-04,2.419837282984166685e-05,3.238591196230442351e-03,-1.696790885252293457e-20,2.671836649953230186e-20,5.619960543607807300e-21
1.499999999999999944e-02,9.559534941395446683e-01,0.000000000000000000e+00,9.527119179186592790e-01,3.241576220885378484e-03,3.771429399877029900e-22,3.225690586853521280e-01,4.328538009507295931e-05,8.964425252335946892e-01,7.077171999084034843e-04,2.383720929809197579e-05,3.190384137876673722e-03,-4.519244205501535114e-21,1.038104529077282395e-21,2.026925160768214386e-21
2.000000000000000042e-02,9.417240809842439830e-01,0.000000000000000000e+00,9.385307551584984864e-01,3.193325825745491411e-03,-8.842023555229556659e-22,3.177668852966585300e-01,3.672582960053893887e-05,8.830991932345486628e-01,6.971858536355075636e-04,2.348149174650817562e-05,3.142894678015577953e-03,-3.539723169835279235e-20,5.139204627656573479e-20,1.179690362489453218e-20
2.500000000000000139e-02,9.277064732762210220e-01,0.000000000000000000e+00,9.245606796811896011e-01,3.145793595031412190e-03,-1.095454476058842256e-22,3.130362443148439477e-01,3.069124204960528861e-05,8.699544587191089251e-01,6.868110460171502219e-04,2.313113405161971840e-05,3.096112132694871406e-03,1.161034471377670927e-20,-1.461094169656938646e-20,-4.294045876345081968e-21
2.999999999999999889e-02,9.138975182851413193e-01,0.000000000000000000e+00,9.107985494430560491e-01,3.098968842085228926e-03,7.514072444250132400e-22,3.083760672327585106e-01,2.514293301705459137e-05,8.570053669020072373e-01,6.765904629292963761e-04,2.278605173754125489e-05,3.050025977172765926e-03,-4.023770120128869964e-21,2.103076799480009175e-21,2.246399152742513257e-21
3.500000000000000333e-02,9.002941102088655168e-01,0.000000000000000000e+00,8.972412691697814191e-01,3.052841039084089846e-03,2.633277276079309004e-23,3.037853017184696247e-01,2.004502400306779850e-05,8.442490068826693506e-01,6.665218235403366168e-04,2.244616192406209839e-05,3.004625843532592652e-03,-4.059347758176198742e-22,-1.310270747019273757e-23,1.740486749600744245e-22
4.000000000000000083e-02,8.868931894749884082e-01,0.000000000000000000e+00,8.838857896602941855e-01,3.007399814694243934e-03,-1.665334603543525606e-21,2.992629113549712394e-01,1.536423956137041263e-05,8.316825109990663156e-01,6.566028798992111634e-04,2.211138327989337727e-05,2.959901518337800224e-03,-6.799584830058111090e-20,9.500780655026914972e-20,2.269635116530236614e-20
4.499999999999999833e-02,8.736917420528692579e-01,0.000000000000000000e+00,8.707291071011105110e-01,2.962634951758783344e-03,2.624548942317387301e-21,2.948078753852099720e-01,1.106971908591093201e-05,8.193030541907658781e-01,6.468314165236317215e-04,2.178163597643820320e-05,2.915842940322730358e-03,-6.585992566508813182e-21,-5.577472203501065697e-21,5.159045739119756585e-21
5.000000000000000278e-02,8.606867987754261984e-01,0.000000000000000000e+00,8.577682623904123727e-01,2.918536385013778892e-03,-2.284571619559580125e-22,2.904191884620582753e-01,7.132842196786091352e-06,8.071078533705504654e-01,6.372052499874561460e-04,2.145684164387880990e-05,2.872440198113879444e-03,2.107295248337582681e-20,-2.460471895414188711e-20,-7.825248935213199374e-21
5.500000000000000028e-02,8.478754346718464507e-01,0.000000000000000000e+00,8.450003404729999890e-01,2.875094198846427952e-03,1.210116181236983428e-21,2.860958604034978814e-01,3.527066742454569050e-06,7.950941668057179834e-01,6.277222285115849169e-04,2.113692333034234504e-05,2.829683527994538653e-03,-5.447684499824933318e-21,-8.909529272872096749e-21,3.246250756167390421e-21
5.999999999999999778e-02,8.352547683091529063e-01,0.000000000000000000e+00,8.324224696840799576e-01,2.832298625072943946e-03,1.403897490859340181e-21,2.818369159522163825e-01,2.277785081306380301e-07,7.832592935071845952e-01,6.183802315527424463e-04,2.082180546244714612e-05,2.787563311691176621e-03,-3.147012292846327013e-21,3.866993216205434828e-21,2.624368784757696353e-21
6.500000000000000222e-02,8.228219611446656589e-01,0.000000000000000000e+00,8.200318211039031580e-01,2.790140040762538725e-03,2.367788923488245438e-21,2.776413945401923211e-01,-2.787848217295689577e-06,7.716005726283222677e-01,6.091771693974507365e-04,2.051141380750736812e-05,2.746070074206938532e-03,-5.534137688875331493e-20,-3.027966274754842798e-19,2.242929284564439829e-20
7.000000000000000666e-02,8.105742168872974718e-01,0.000000000000000000e+00,8.078256079212158269e-01,2.748608966081638773e-03,4.321567860150236334e-23,2.735083500574874149e-01,-5.540979998425858992e-06,7.601153828716505911e-01,6.001109827551989956e-04,2.020567543949257580e-05,2.705194481676941563e-03,-6.846348838621422599e-22,-3.153335319614858961e-23,2.922728856850457944e-22
7.499999999999999722e-02,7.985087808687351130e-01,0.000000000000000000e+00,7.958010848065593112e-01,2.707696062175749679e-03,-3.932382955585185520e-22,2.694368506255068740e-01,-8.051244263677814652e-06,7.488011419043862915e-01,5.911796423552973705e-04,1.990451870286119877e-05,2.664927339262253801e-03,-2.450644578971129307e-20,4.622898537752884417e-20,8.399969412618947042e-21
8.000000000000000167e-02,7.866229394238241079e-01,0.000000000000000000e+00,7.839555472947442594e-01,2.667392129079807807e-03,-2.961346344917871105e-21,2.654259783744178369e-01,-1.033684064364838510e-05,7.376553057822479165e-01,5.823811485456255408e-04,1.960787318222318582e-05,2.625259589073464066e-03,-1.184056919587061608e-19,1.623512047036223146e-19,3.945742393060981059e-20
8.500000000000000611e-02,7.749140192804904181e-01,0.000000000000000000e+00,7.722863311768300987e-01,2.627688103660373239e-03,3.929859402973589927e-21,2.614748292247598971e-01,-1.241464426389214407e-05,7.266753683818528708e-01,5.737135308944169704e-04,1.931566967005173918e-05,2.586182308127004184e-03,-7.860127484621048155e-21,4.842517651089356594e-21,7.004742447006324500e-21
8.999999999999999667e-02,7.633793869583088698e-01,0.000000000000000000e+00,7.607908119007226189e-01,2.588575057586220592e-03,4.653814041474768585e-21,2.575825126728825687e-01,-1.430030157367181550e-05,7.158588608408982257e-01,5.651748477944965997e-04,1.902784013821333782e-05,2.547686706330766840e-03,-2.281507203355084905e-21,-1.063639242724873151e-20,5.766841624692114969e-21
9.500000000000000111e-02,7.520164481759114006e-01,0.000000000000000000e+00,7.494664039805841727e-01,2.550044195327030166e-03,2.723296148672648342e-16,2.537481515802028631e-01,-1.600831924981068629e-05,7.052033510063302479e-01,5.567631860701787372e-04,1.874431770832215004e-05,2.509764124498627819e-03,8.402851945428446730e-17,5.673762583314680544e-18,2.591873611035332892e-16
1.000000000000000056e-01,7.408226472681268548e-01,0.000000000000000000e+00,7.383105604159381219e-01,2.512086852188734690e-03,-4.163855755113330671e-22,2.499708819665255322e-01,-1.755214667573421500e-05,6.947064428913568568e-01,5.484766605891091282e-04,1.846503662582706627e-05,2.472406032402149883e-03,3.438522978713769818e-20,-3.888711826142134452e-20,-1.281498549890802328e-20
1.049999999999999961e-01,7.297954666108890098e-01,0.000000000000000000e+00,7.273207721185211971e-01,2.474694492367857362e-03,-8.501367322394445091e-22,2.462498528067100512e-01,-1.894425246039072779e-05,6.843657761394896788e-01,5.403134138754705183e-04,1.818993223370673511e-05,2.435604026841975758e-03,-1.150588677658514019e-20,1.032936628638022061e-21,3.236543093176897732e-21
1.100000000000000006e-01,7.189324260549164736e-01,0.000000000000000000e+00,7.164945673478757548e-01,2.437858707040724358e-03,2.045355274271793892e-21,2.425842258309664767e-01,-2.019619542655196647e-05,6.741790254965676077e-01,5.322716157275434552e-04,1.791894094742814219e-05,2.399349829754717032e-03,-6.156257971050686004e-21,-1.539221945309279363e-20,4.388872118577731738e-21
1.150000000000000050e-01,7.082310823678485967e-01,0.000000000000000000e+00,7.058295111553709589e-01,2.401571212477656911e-03,-2.131595748593655419e-21,2.389731753286281624e-01,-2.131869046979689936e-05,6.641439002904894195e-01,5.243494628386996754e-04,1.765200023091212820e-05,2.363635286345161339e-03,3.843510316398166249e-20,8.815678228069874972e-20,-1.609507330583366888e-20
1.199999999999999956e-01,6.976890286850534473e-01,0.000000000000000000e+00,6.953232048368653828e-01,2.365823848188065327e-03,2.379799456213140570e-21,2.354158879554265615e-01,-2.232166965709272261e-05,6.542581439188677184e-01,5.165451784224736088e-04,1.738904857410705998e-05,2.328452363249845086e-03,-1.778921922325814351e-21,6.212713959434679375e-21,3.169258257411491614e-21
1.250000000000000000e-01,6.873038939680956583e-01,0.000000000000000000e+00,6.849732853930057264e-01,2.330608575089921503e-03,-9.732015253255818805e-22,2.319115625438878947e-01,-2.321433890975823364e-05,6.445195333436770646e-01,5.088570118411581914e-04,1.713002546975212487e-05,2.293793146725272257e-03,-2.164978922701416757e-21,-4.859962639143047979e-21,-2.552837485487233766e-22
1.300000000000000044e-01,6.770733424715139614e-01,0.000000000000000000e+00,6.747774249978077954e-01,2.295917473706183837e-03,3.973992456343183054e-21,2.284594099170303427e-01,-2.400523058969422147e-05,6.349258785935147920e-01,5.012832382377090112e-04,1.687487139384282646e-05,2.259649840863587819e-03,-8.363488305207069669e-20,-4.690794267262208725e-19,3.431685641309010400e-20
1.350000000000000089e-01,6.669950732174139141e-01,0.000000000000000000e+00,6.647333304750244753e-01,2.261742742389383221e-03,-1.516129310078292505e-21,2.250586527051585684e-01,-2.470225228469698691e-05,6.254750222730245390e-01,4.938221581723748182e-04,1.662352778340382025e-05,2.226014765836472481e-03,-5.876517026714625363e-20,1.808536791775303202e-20,1.953354629786181223e-20
1.400000000000000133e-01,6.570668194778850335e-01,0.000000000000000000e+00,6.548387427823145757e-01,2.228076695570471288e-03,6.693564296595748901e-23,2.217085251657277545e-01,-2.531273206774087037e-05,6.161648390795053665e-01,4.864720972627638697e-04,1.637593701749785559e-05,2.192880356163594627e-03,-1.022157018400716674e-21,-5.451988733003592297e-23,4.389285779157841106e-22
1.449999999999999900e-01,6.472863482654127587e-01,0.000000000000000000e+00,6.450914365033768583e-01,2.194911762035918652e-03,-9.871555969423589389e-22,2.184082730063008349e-01,-2.584346048473815300e-05,6.069932353268722158e-01,4.792314058282320152e-04,1.613204239803137552e-05,2.160239159009524294e-03,-1.145802735773754182e-20,3.479735594814672481e-20,3.073703476391949865e-21
1.499999999999999944e-01,6.376514598311124882e-01,0.000000000000000000e+00,6.354892193478819395e-01,2.162240483230521738e-03,-6.933095383165055432e-22,2.151571532105127638e-01,-2.630072950696967285e-05,5.979581484768227151e-01,4.720984585388102259e-04,1.589178813149987255e-05,2.128083832506337970e-03,-3.665583222648779034e-20,6.722068160357808596e-20,1.245264648380211712e-20
1.549999999999999989e-01,6.281599871682207459e-01,0.000000000000000000e+00,6.260299316566447780e-01,2.130055511575937050e-03,1.633909181294529535e-21,2.119544338661539240e-01,-2.669036866855341208e-05,5.890575466748109168e-01,4.650716540657475330e-04,1.565511931080554379e-05,2.096407144092357188e-03,1.389345845335419973e-21,5.860193079919031824e-21,1.236548508184513108e-21
1.600000000000000033e-01,6.188097955270540629e-01,0.000000000000000000e+00,6.167114459182222452e-01,2.098349608831809408e-03,-4.688022735656939382e-21,2.087993939974348012e-01,-2.701777859046499097e-05,5.802894282966578610e-01,4.581494147404185837e-04,1.542198189831359286e-05,2.065201968893144984e-03,-1.748024538152435252e-19,2.373404575901131029e-19,5.791500933328636213e-20
1.650000000000000078e-01,6.095987819332300273e-01,0.000000000000000000e+00,6.075316662887665364e-01,2.067115644463506444e-03,-5.452650554365761030e-21,2.056913233986483458e-01,-2.728796208164936115e-05,5.716518214981201051e-01,4.513301862131787238e-04,1.519232270892868947e-05,2.034461288109538826e-03,-1.597251950793025233e-22,-1.172682395601125279e-20,-5.737415006991997555e-21
1.700000000000000122e-01,6.005248747150302435e-01,0.000000000000000000e+00,5.984885281209872954e-01,2.036346594042935578e-03,6.157337270172837612e-21,2.026295224711919807e-01,-2.750555299162527799e-05,5.631427837729302555e-01,4.446124371184830568e-04,1.496608939358403061e-05,2.004178187438595150e-03,-5.856504064789854956e-21,6.826813741830188833e-21,8.651086234783835633e-21
1.750000000000000167e-01,5.915860330382872734e-01,0.000000000000000000e+00,5.895799975006119631e-01,2.006035537675281231e-03,-1.410947085916761207e-21,1.996133020633746591e-01,-2.767484297669723831e-05,5.547604015178025927e-01,4.379946587447559902e-04,1.474323042510533646e-05,1.974345855520363065e-03,1.226100641097204385e-19,-1.127772428325147997e-19,-4.561695895124546248e-20
1.799999999999999933e-01,5.827802464460427601e-01,0.000000000000000000e+00,5.808040707876040987e-01,1.976175658438671361e-03,7.197887487582292351e-21,1.966419833120771343e-01,-2.779980633138811599e-05,5.465027896018304077e-01,4.314753647058240378e-04,1.452369508050716554e-05,1.944957582397845207e-03,3.083554644285568944e-21,-1.586154195102319971e-20,6.540142132689363520e-21
1.849999999999999978e-01,5.741055344072258926e-01,0.000000000000000000e+00,5.721587741663682891e-01,1.946760240857599777e-03,5.501841096880406580e-21,1.937148974876669871e-01,-2.788412302367963188e-05,5.383680909442617457e-01,4.250530906190151648e-04,1.430743342850005113e-05,1.916006758010427692e-03,-1.467516481150272358e-20,1.234681735113643245e-20,1.112757105479227350e-20
1.900000000000000022e-01,5.655599458714967165e-01,0.000000000000000000e+00,5.636421632021005879e-01,1.917782669395696245e-03,4.128595665342599595e-16,1.908313858411987696e-01,-2.793120006533337019e-05,5.303544760979843620e-01,4.187263937867903010e-04,1.409439631390206613e-05,1.887486870706604975e-03,1.285072079030860332e-16,7.823460997329033090e-18,3.925334162538744082e-16
1.950000000000000067e-01,5.571415588292346621e-01,0.000000000000000000e+00,5.552523224022694048e-01,1.889236426965216521e-03,-9.659383863039302210e-22,1.879907994535392202e-01,-2.794419133609259506e-05,5.224601428377705359e-01,4.124938528808666754e-04,1.388453534388001111e-05,1.859391505773574666e-03,1.393883818280895044e-20,7.988239383647196741e-22,-6.042027105083096765e-21
2.000000000000000111e-01,5.488484798806511078e-01,0.000000000000000000e+00,5.469873647871839051e-01,1.861115093467235462e-03,-6.382845790143144724e-22,1.851924990877408805e-01,-2.792601597461991174e-05,5.146833157570106509e-01,4.063540676328284752e-04,1.367780287472284583e-05,1.831714343997132123e-03,4.595880849075775425e-20,-5.156960458547503192e-20,-1.721520770745651217e-20
2.050000000000000155e-01,5.406788438088951931e-01,0.000000000000000000e+00,5.388454314645474419e-01,1.833412344347788757e-03,4.389954075718833596e-21,1.824358550429286685e-01,-2.787937543937954509e-05,5.070222458681385991e-01,4.003056585272082380e-04,1.347415199828945343e-05,1.804449160237621202e-03,1.031489392890670500e-19,-9.212157224404270820e-20,-3.244947703388305060e-20
2.099999999999999922e-01,5.326308131610658636e-01,0.000000000000000000e+00,5.308246912118893546e-01,1.806121949176477809e-03,-1.294815707767505753e-21,1.797202470110021155e-01,-2.780676933471394737e-05,4.994752102104151881e-01,3.943472664988676487e-04,1.327353652905186372e-05,1.777589822028214370e-03,-1.678447043659676062e-20,1.472141437810455774e-21,4.663289435290130270e-21
2.149999999999999967e-01,5.247025778347795821e-01,0.000000000000000000e+00,5.229233400645314500e-01,1.779237770248107186e-03,-1.983071344928921561e-21,1.770450639353506606e-01,-2.771051009333679570e-05,4.920405114628707555e-01,3.884775526351402601e-04,1.307591099222816578e-05,1.751130288195955863e-03,9.219100552605556613e-20,-7.976477843126694553e-20,-3.527963178872283157e-20
2.200000000000000011e-01,5.168923546712596018e-01,0.000000000000000000e+00,5.151396009100563944e-01,1.752753761203183725e-03,2.956427868377884141e-21,1.744097038718992188e-01,-2.759273659562090308e-05,4.847164775633188150e-01,3.826951978812531121e-04,1.288123061053921385e-05,1.725064607501671909e-03,-6.238046904486162262e-21,-2.070596086109739410e-20,5.386557583686044359e-21
2.250000000000000056e-01,5.091983870536594958e-01,0.000000000000000000e+00,5.074717230879927099e-01,1.726663965666813466e-03,-3.304748332725886185e-21,1.718135738520396028e-01,-2.745542680411774435e-05,4.775014613322343116e-01,3.769989027493675805e-04,1.268945129321154948e-05,1.699386917298129161e-03,4.122511604728252210e-21,9.798186971337301334e-21,-4.995530257566879644e-21
