offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
5.499999999999999091e+03,6.000000000000000000e+02,-1.513765022596771814e+01,-1.513765022596771814e+01,-2.994360856929281908e+03,-2.994360856929281908e+03,-2.766998136648811446e+00,-3.001977834158437872e+03,-5.039423962486580422e+00,-5.039423962486580422e+00,-2.575992942804512520e+00
5.444723618090451964e+03,6.000000000000000000e+02,-1.513723278982160991e+01,-1.513723278982160991e+01,-2.994357911123826852e+03,-2.994357911123826852e+03,-2.779918278142862409e+00,-3.001971640500119520e+03,-5.039126638443349293e+00,-5.039126638443349293e+00,-2.576587590896322499e+00
5.389447236180904838e+03,6.000000000000000000e+02,-1.513680171709711431e+01,-1.513680171709711431e+01,-2.994354786769804832e+03,-2.994354786769804832e+03,-2.793873372716966230e+00,-3.001964796259037030e+03,-5.038820268462586682e+00,-5.038820268462586682e+00,-2.577200330846923571e+00
5.334170854271356802e+03,6.000000000000000000e+02,-1.513635640560573847e+01,-1.513635640560573847e+01,-2.994351471003162260e+03,-2.994351471003162260e+03,-2.808966290743039274e+00,-3.001957225497291347e+03,-5.038504483449287363e+00,-5.038504483449287363e+00,-2.577831900887855632e+00
5.278894472361808766e+03,6.000000000000000000e+02,-1.513589621942026042e+01,-1.513589621942026042e+01,-2.994347950055421279e+03,-2.994347950055421279e+03,-2.825311955148077647e+00,-3.001948842100733600e+03,-5.038178895327291684e+00,-5.038178895327291684e+00,-2.578483077121706213e+00
5.223618090452261640e+03,6.000000000000000000e+02,-1.513542048657382111e+01,-1.513542048657382111e+01,-2.994344209233539004e+03,-2.994344209233539004e+03,-2.843038941835614786e+00,-3.001939548223505881e+03,-5.037843095956986872e+00,-5.037843095956986872e+00,-2.579154675867225688e+00
5.168341708542713604e+03,6.000000000000000000e+02,-1.513492849654699057e+01,-1.513492849654699057e+01,-2.994340232917653339e+03,-2.994340232917653339e+03,-2.862291311499552293e+00,-3.001929232465658515e+03,-5.037496655799259315e+00,-5.037496655799259315e+00,-2.579847556173693768e+00
5.113065326633165569e+03,6.000000000000000000e+02,-1.513441949757338989e+01,-1.513441949757338989e+01,-2.994336004584878083e+03,-2.994336004584878083e+03,-2.883230707211912325e+00,-3.001917767733447818e+03,-5.037139122626285825e+00,-5.037139122626285825e+00,-2.580562622520828686e+00
5.057788944723618442e+03,6.000000000000000000e+02,-1.513389269371418777e+01,-1.513389269371418777e+01,-2.994331506869759323e+03,-2.994331506869759323e+03,-2.906038756856275107e+00,-3.001905008721766080e+03,-5.036770020031383410e+00,-5.036770020031383410e+00,-2.581300827716811686e+00
5.002512562814070407e+03,6.000000000000000000e+02,-1.513334724168544199e+01,-1.513334724168544199e+01,-2.994326721675993213e+03,-2.994326721675993213e+03,-2.930919824439634169e+00,-3.001890788945761869e+03,-5.036388845877809217e+00,-5.036388845877809217e+00,-2.582063176015788386e+00
