offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-5.500000000000000000e+03,6.000000000000000000e+02,2.767039773693882321e+00,0.000000000000000000e+00,2.129845761004085603e+01,0.000000000000000000e+00,9.999470221847335250e-01
-5.444723618090451964e+03,6.000000000000000000e+02,2.779962541593227421e+00,0.000000000000000000e+00,2.200491596861854759e+01,0.000000000000000000e+00,9.999438038595017675e-01
-5.389447236180904838e+03,6.000000000000000000e+02,2.793920473108232105e+00,0.000000000000000000e+00,2.275667893792549989e+01,0.000000000000000000e+00,9.999403436820506474e-01
-5.334170854271356802e+03,6.000000000000000000e+02,2.809016458976121289e+00,0.000000000000000000e+00,2.355752630053848407e+01,0.000000000000000000e+00,9.999366206507580568e-01
-5.278894472361808766e+03,6.000000000000000000e+02,2.825365444809189608e+00,0.000000000000000000e+00,2.441161778497979640e+01,0.000000000000000000e+00,9.999326118298362820e-01
-5.223618090452261640e+03,6.000000000000000000e+02,2.843096031721172423e+00,0.000000000000000000e+00,2.532353625205848857e+01,0.000000000000000000e+00,9.999282921807088886e-01
-5.168341708542713604e+03,6.000000000000000000e+02,2.862352308662870826e+00,0.000000000000000000e+00,2.629833605091323534e+01,0.000000000000000000e+00,9.999236344193899173e-01
-5.113065326633165569e+03,6.000000000000000000e+02,2.883295949986760309e+00,0.000000000000000000e+00,2.734159702254322610e+01,0.000000000000000000e+00,9.999186088220348712e-01
-5.057788944723618442e+03,6.000000000000000000e+02,2.906108618562688317e+00,0.000000000000000000e+00,2.845948481013684273e+01,0.000000000000000000e+00,9.999131831007399551e-01
-5.002512562814070407e+03,6.000000000000000000e+02,2.930994717890410328e+00,0.000000000000000000e+00,2.965881798354470789e+01,0.000000000000000000e+00,9.999073223034319335e-01
-4.947236180904522371e+03,6.000000000000000000e+02,2.958184540886283020e+00,0.000000000000000000e+00,3.094714239139909751e+01,0.000000000000000000e+00,9.999009886243451772e-01
-4.891959798994975245e+03,6.000000000000000000e+02,2.987937872921105686e+00,0.000000000000000000e+00,3.233281341201612236e+01,0.000000000000000000e+00,9.998941414525946980e-01
-4.836683417085427209e+03,6.000000000000000000e+02,3.020548103785647420e+00,0.000000000000000000e+00,3.382508608331204414e+01,0.000000000000000000e+00,9.998867373560720306e-01
