Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.000000000000000000e+00,0.000000000000000000e+00,9.500000000000000666e-01,5.000000000000001665e-02,0.000000000000000000e+00,4.470588235294117863e-01,0.000000000000000000e+00,-8.382352941176470784e-01,2.352941176470588550e-02,0.000000000000000000e+00,-4.411764705882353921e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.959570462793285728e-01,0.000000000000000000e+00,9.475259821401191829e-01,4.843106413920938297e-02,1.035546192363232130e-21,4.458014237681170444e-01,-1.280655511106813674e-03,-8.361020204158059466e-01,2.551426620094014719e-02,1.034452967596046413e-03,-4.128093071726921665e-02,1.316181786771783921e-19,9.675161041282252956e-20,6.902274294315015647e-20,2.000000000000000096e-04
9.921371510790584214e-01,0.000000000000000000e+00,9.450186382629597315e-01,4.711851281609864828e-02,2.370744778534927556e-21,4.445474714768217761e-01,-2.322540153480839257e-03,-8.339291385770493115e-01,2.713098181008316914e-02,1.883406278839921434e-03,-3.893112422620077090e-02,2.399243757401615162e-19,1.762409522871666084e-19,1.252728229790798747e-19,4.000000000000000192e-04
9.885023199264997285e-01,0.000000000000000000e+00,9.424851818056525499e-01,4.601713812084720634e-02,-8.268227783364554229e-20,4.432969459466423734e-01,-3.167964506541758735e-03,-8.317248348748634834e-01,2.844462915549569176e-02,2.579624420143945222e-03,-3.698228765402913204e-02,-1.826657337083758894e-19,-3.120251859597291846e-19,-3.715143099668866973e-21,6.000000000000000559e-04
9.850212639462340158e-01,0.000000000000000000e+00,9.399315502927094723e-01,4.508971365352457822e-02,5.728983376806064043e-21,4.420498296338600808e-01,-3.851765525369495787e-03,-8.294958478603452479e-01,2.950878609454716389e-02,3.150085902400922167e-03,-3.536365622356936467e-02,4.023401528238861473e-19,2.950883789120767529e-19,2.080885670123590775e-19,8.000000000000000383e-04
9.816682157089879901e-01,0.000000000000000000e+00,9.373626303484350331e-01,4.430558536055292929e-02,7.488634981525613999e-20,4.408061074477091501e-01,-4.402626377693903692e-03,-8.272477237561147723e-01,3.036756759058082539e-02,3.617005022734509113e-03,-3.401696069365020558e-02,2.519110155679579268e-19,-3.600178697241534907e-19,4.948134517895394368e-20,1.000000000000000021e-03
9.784219541934267017e-01,0.000000000000000000e+00,9.347824430311573174e-01,4.363951116226941901e-02,-1.382959165905177523e-19,4.395657661917987680e-01,-4.844163201856953316e-03,-8.249850267996855502e-01,3.105729702334607961e-02,3.998673190427923761e-03,-3.289422090478742733e-02,-2.873827136351264423e-19,-4.812246439301265322e-19,3.464591530519351659e-21,1.200000000000000112e-03
9.752650019329464071e-01,0.000000000000000000e+00,9.321942964856986258e-01,4.307070544724774658e-02,-9.423512666179889876e-21,4.383287941269781163e-01,-5.195819946747422605e-03,-8.227115124827366621e-01,3.160788231602264242e-02,4.310151680710653556e-03,-3.195592893833536230e-02,-6.044469866529590192e-19,-2.130707835403897583e-19,-3.116917451932409126e-19,1.399999999999999986e-03
9.721829639407743029e-01,0.000000000000000000e+00,9.296009116768896297e-01,4.258205226388465936e-02,1.417988584177912874e-20,4.370951806300460984e-01,-5.473605185806171974e-03,-8.204302702311168094e-01,3.204394901375099552e-02,4.563842053177035937e-03,-3.116955309173541355e-02,5.864352744643292144e-19,4.285773960964617805e-19,2.966949424269592383e-19,1.600000000000000077e-03
9.691639833763469047e-01,0.000000000000000000e+00,9.270045259508632451e-01,4.215945742548363184e-02,9.077639924302032726e-20,4.358649159280095220e-01,-5.690698811964666620e-03,-8.181438409160398662e-01,3.238577324054602719e-02,4.769955838389550694e-03,-3.050830602059022983e-02,4.514085788564037107e-19,1.178703070127996191e-19,1.378713229146589575e-19,1.800000000000000168e-03
9.661982933371920934e-01,0.000000000000000000e+00,9.244069783338104696e-01,4.179131500338164468e-02,1.364449386093595252e-19,4.346379908917571422e-01,-5.857951592112638564e-03,-8.158543136360479897e-01,3.265004987973352257e-02,4.936901281184835448e-03,-2.995013040130798179e-02,3.619673554031979151e-19,-5.020130445620876236e-19,3.841165912443143740e-20,2.000000000000000042e-03
9.632778478012684609e-01,0.000000000000000000e+00,9.218097797885966838e-01,4.146806801267172160e-02,1.508059427573840030e-19,4.334143968764070931e-01,-5.984296501746544546e-03,-8.135634054263256587e-01,3.285052508043920239e-02,5.071601787878741649e-03,-2.947686370479370155e-02,6.612734775970612800e-19,-1.616444627207293384e-19,1.817657862600641459e-19,2.200000000000000133e-03
9.603960177423139788e-01,0.000000000000000000e+00,9.192141710817240963e-01,4.118184666058993110e-02,-2.104102042044170059e-19,4.321941255982221231e-01,-6.077087419125781070e-03,-8.112725269069019918e-01,3.299851705260181678e-02,5.179758137967997722e-03,-2.907355045394761223e-02,-3.854362470314756888e-19,-6.161251533326419923e-19,3.289889968155221365e-20,2.400000000000000223e-03
9.575473409091000976e-01,0.000000000000000000e+00,9.166211704454386711e-01,4.092617046366147510e-02,-2.418835537972673523e-19,4.309771690401202338e-01,-6.142378007001732948e-03,-8.089828363500995989e-01,3.310334488074256898e-02,5.266064391121340164e-03,-2.872787592242029980e-02,-4.264321660258043543e-19,-3.388744884581621433e-19,4.670420575647396861e-20,2.600000000000000314e-03
9.547273157919092812e-01,0.000000000000000000e+00,9.140316128345166158e-01,4.069570295739263766e-02,1.106757916808687846e-20,4.297635193794888675e-01,-6.185151344594247078e-03,-8.066952842100579835e-01,3.317268160201329585e-02,5.334385666540440545e-03,-2.842969983063789105e-02,-7.432372666048094000e-19,-2.663790743898173919e-19,-4.089364652463968346e-19,2.799999999999999972e-03
9.519322319730922910e-01,0.000000000000000000e+00,9.114461822599744245e-01,4.048604971311783873e-02,-2.229651588346014543e-19,4.285531689333533234e-01,-6.209509007154265237e-03,-8.044106497968490643e-01,3.321284492477875883e-02,5.387904527754767622e-03,-2.817067238165154447e-02,-3.498576231074896059e-19,-4.406463337422330729e-19,6.610311435522052505e-20,3.000000000000000062e-03
9.491590304365248310e-01,0.000000000000000000e+00,9.088654384205429038e-01,4.029359201598195495e-02,3.381493630290703571e-20,4.273461101170022425e-01,-6.218826754532394245e-03,-8.021295714808807098e-01,3.322903660150138688e-02,5.429241516912022315e-03,-2.794391809731213566e-02,7.078179160511244834e-19,5.128587594828086322e-19,3.391792940839717571e-19,3.200000000000000153e-03
9.464051885454085600e-01,0.000000000000000000e+00,9.062898386374762527e-01,4.011534990793215461e-02,6.247327479528192696e-17,4.261423354130122187e-01,-6.215882725485915097e-03,-7.998525715688664661e-01,3.322553952445159858e-02,5.460554403570872309e-03,-2.774377548261558468e-02,2.947316085663438530e-17,-2.155685563041611401e-18,-5.508402564444783931e-17,3.400000000000000244e-03
9.436686253321642237e-01,0.000000000000000000e+00,9.037197559209376729e-01,3.994886941122658547e-02,1.064465943447172932e-19,4.249418373482747313e-01,-6.202962993122248733e-03,-7.975800767913160394e-01,3.320588001113047860e-02,5.483619906873342387e-03,-2.756558266012053629e-02,5.253328501562879973e-19,1.366133908280759232e-19,1.595380464926740028e-19,3.600000000000000335e-03
9.409476235134819344e-01,0.000000000000000000e+00,9.011554938502062129e-01,3.979212966327572848e-02,8.574884591346563820e-20,4.237446084771791521e-01,-6.181948479419056147e-03,-7.953124351757380195e-01,3.317296142747650639e-02,5.499900986159308135e-03,-2.740550085705835068e-02,2.837831579225680564e-19,2.937922062169488945e-20,5.416899219010860075e-20,3.799999999999999992e-03
9.382407652769010342e-01,0.000000000000000000e+00,8.985972988295236608e-01,3.964346644737740122e-02,2.452006943796157550e-19,4.225506413694613550e-01,-6.154386520749095292e-03,-7.930499299430806559e-01,3.312917421108746430e-02,5.510602248550927965e-03,-2.726036906111440478e-02,4.530541960214513796e-19,-5.872605364912563788e-19,-3.626521575212377055e-20,4.000000000000000083e-03
9.355468794070441740e-01,0.000000000000000000e+00,8.960453701824606654e-01,3.950150922458346703e-02,-2.796889947444165081e-19,4.213599286016150858e-01,-6.121549794986448634e-03,-7.907927909525939159e-01,3.307648646261114600e-02,5.516715571943313183e-03,-2.712758434113531070e-02,-3.025254985570715235e-19,-8.000460103058816268e-19,1.556339281465672076e-19,4.200000000000000608e-03
9.328649977489436029e-01,0.000000000000000000e+00,8.934998684659548607e-01,3.936512928298879083e-02,1.616562517581750947e-19,4.201724627509752508e-01,-6.084484842099171023e-03,-7.885412041275620121e-01,3.301651853727728680e-02,5.519057671313960974e-03,-2.700500330083940512e-02,7.306869771985661026e-19,-1.827402517640256740e-19,2.064893025133035096e-19,4.400000000000000265e-03
9.301943193596339254e-01,0.000000000000000000e+00,8.909609223180151583e-01,3.923339704161879493e-02,-3.027810480780456428e-19,4.189882363918038810e-01,-6.044052015980180131e-03,-7.862953192181216799e-01,3.295060446241384472e-02,5.518301031083809767e-03,-2.689086093388058304e-02,-1.050433249670409980e-19,4.979867503270443647e-20,2.871287478393631578e-19,4.599999999999999922e-03
9.275341809902587498e-01,0.000000000000000000e+00,8.884286340976549345e-01,3.910554689260377359e-02,-3.045235963492569953e-19,4.178072420928437558e-01,-6.000958380733365655e-03,-7.840552561944922338e-01,3.287984250768338779e-02,5.514999375051970847e-03,-2.678370380751980348e-02,-4.448412741999979070e-19,-6.390661147551853410e-19,1.078780629558256724e-19,4.800000000000000447e-03
9.248840327808713901e-01,0.000000000000000000e+00,8.859030845301437695e-01,3.898094825072763447e-02,-3.918282839804604269e-19,4.166294724159784746e-01,-5.955784797399953784e-03,-7.818211105123076265e-01,3.280513682385203383e-02,5.509608638519659929e-03,-2.668233504477023066e-02,-4.692146996221878990e-19,-1.471760999922881250e-18,1.938242153793548478e-19,5.000000000000000104e-03
9.222434182472526443e-01,0.000000000000000000e+00,8.833843365328659658e-01,3.885908171438669234e-02,-3.625567230238276657e-19,4.154549199156369332e-01,-5.909008227073664007e-03,-7.795929574489083302e-01,3.272723172751842297e-02,5.502504236891774501e-03,-2.658576902162842343e-02,-4.941169838747514434e-19,-3.215536729753108834e-19,1.473685613604705076e-19,5.200000000000000629e-03
9.196119578019614771e-01,0.000000000000000000e+00,8.808724383664428004e-01,3.873951943551865590e-02,-3.032650839148548071e-19,4.142835771387770594e-01,-5.861020095176493194e-03,-7.773708556746206089e-01,3.264673993065177193e-02,5.493995284768555740e-03,-2.649319406390685666e-02,-1.700122439759899326e-18,-7.072615745060116070e-19,-5.630315394351108530e-19,5.400000000000000286e-03
9.169893351854022656e-01,0.000000000000000000e+00,8.783674262300275037e-01,3.862190895537474800e-02,6.725998061464256597e-20,4.131154366252392518e-01,-5.812141412480520061e-03,-7.751548501939035107e-01,3.256416578437495990e-02,5.484336304046180839e-03,-2.640394173109139597e-02,-7.523301994872179597e-19,-2.784053937578842306e-19,-4.774707510897778200e-19,5.599999999999999943e-03
