Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
9.999999999999998890e-01,0.000000000000000000e+00,9.499999999999998446e-01,4.999999999999999584e-02,0.000000000000000000e+00,1.255555340864670522e-01,0.000000000000000000e+00,-9.416665056485028495e-01,6.608186004550898121e-03,0.000000000000000000e+00,-4.956139503413173331e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.995262375438661584e-01,0.000000000000000000e+00,9.495552244403586695e-01,4.997101310350749587e-02,-3.460242745719297610e-23,1.254816255898414945e-01,-5.904899951590705370e-05,-9.412276484114524555e-01,6.807524361873242003e-03,1.283875351851151468e-05,-4.950557316378793871e-02,-2.726990785477862018e-21,-2.241675039700310916e-21,-3.286901217985420975e-22,2.000000000000000096e-04
9.990535336402527333e-01,0.000000000000000000e+00,9.491105096652746598e-01,4.994302397497808049e-02,-6.424922176181503461e-23,1.254106069829819259e-01,-1.067457932256668410e-04,-9.407884671782505981e-01,6.970900173664874508e-03,2.340514583169835461e-05,-4.945555289745509620e-02,-4.936385342827914777e-21,-4.390448201823690538e-21,-5.933669023481324586e-22,4.000000000000000192e-04
9.985817396516819544e-01,0.000000000000000000e+00,9.486658824799499845e-01,4.991585717173192827e-02,-2.868584996867370261e-23,1.253419687424357776e-01,-1.451127136610851185e-04,-9.403490569277789257e-01,7.104683672722861450e-03,3.210156821332323205e-05,-4.941030787546009384e-02,-2.083848023825061410e-21,3.100407536126099204e-20,-2.489066911801516693e-22,6.000000000000000559e-04
9.981107332499170592e-01,0.000000000000000000e+00,9.482213648060203726e-01,4.988936844389665198e-02,-1.120795392314901483e-22,1.252752916098319735e-01,-1.758137388699747847e-04,-9.399094956767894971e-01,7.214116781188798996e-03,3.925913977582224187e-05,-4.936899364840589832e-02,-8.153441655710023039e-21,-8.467036039282137611e-21,-9.740541411993067777e-22,8.000000000000000383e-04
9.976404137559449214e-01,0.000000000000000000e+00,9.477769745680704183e-01,4.986343918787445456e-02,-1.696393246439377027e-22,1.252102306060997594e-01,-2.002179678050263975e-04,-9.394698475057040588e-01,7.303512959121802664e-03,4.515033152386365898e-05,-4.933091543507700516e-02,-1.158571035042215165e-20,-2.321260258094516267e-20,-1.373620793187100484e-21,1.000000000000000021e-03
9.971706983053657547e-01,0.000000000000000000e+00,9.473327264192213937e-01,4.983797188614438878e-02,-3.328116466311980255e-23,1.251465018766563519e-01,-2.194518526225350307e-04,-9.390301650445980197e-01,7.376421655523662455e-03,4.999935437443714365e-05,-4.929550159508183649e-02,-6.967593604320945094e-21,6.028725782775606257e-20,-8.954367865907168567e-22,1.200000000000000112e-03
9.967015186929925052e-01,0.000000000000000000e+00,9.468886323350031997e-01,4.981288635798932635e-02,-1.487916726320583584e-22,1.250838718662208304e-01,-2.344421793214501476e-04,-9.385904915156855211e-01,7.435763631493378170e-03,5.399070719952236183e-05,-4.926228180331235912e-02,4.949729945051058302e-22,-6.091017077095855790e-20,2.161048380326295207e-22,1.399999999999999986e-03
9.962328187763408449e-01,0.000000000000000000e+00,9.464447020994136706e-01,4.978811667692718823e-02,-1.782072594465162039e-22,1.250221484106986969e-01,-2.459514354215924488e-04,-9.381508624114294204e-01,7.483942314690593400e-03,5.727621080087852814e-05,-4.923086909283364010e-02,-1.147486638489013409e-20,-1.601533422382071780e-20,-1.350197839070351723e-21,1.600000000000000077e-03
9.957645523390358244e-01,0.000000000000000000e+00,9.460009437027510071e-01,4.976360863628479653e-02,2.269110251858436329e-22,1.249611734066360391e-01,-2.546069131250183553e-04,-9.377113068733001766e-01,7.522935430485776925e-03,5.998079599066021066e-05,-4.920094508054202731e-02,2.631141132203261158e-20,-1.053467052790304216e-19,3.279269049771875796e-21,1.800000000000000168e-03
9.952966813326542539e-01,0.000000000000000000e+00,9.455573636672216509e-01,4.973931766543256139e-02,-2.396211659555161892e-22,1.249008167788703272e-01,-2.609246575623691360e-04,-9.372718488245793678e-01,7.554370403225704050e-03,6.220726646110504823e-05,-4.917224781145696638e-02,-2.056839084656202380e-20,-4.485781138992309579e-20,-2.500710364291694550e-21,2.000000000000000042e-03
9.948291744299866401e-01,0.000000000000000000e+00,9.451139673134447694e-01,4.971520711654191932e-02,-3.711372394139001167e-22,1.248409715164754824e-01,-2.653291731878767122e-04,-9.368325079010954015e-01,7.579586402282438400e-03,6.404021803138747648e-05,-4.914456175751025224e-02,5.819224760295902523e-22,2.380878815757280846e-20,4.520113672567008364e-22,2.200000000000000133e-03
9.943620058345529200e-01,0.000000000000000000e+00,9.446707589785786618e-01,4.969124685597429286e-02,-7.703500697986277384e-24,1.247815495878147468e-01,-2.681696396599725731e-04,-9.363933002159410268e-01,7.599685398384786218e-03,6.554926369790164129e-05,-4.911770958895821798e-02,-2.054918624464387807e-20,1.158350565152159510e-19,-2.732119824686415654e-21,2.400000000000000223e-03
9.938951543009748590e-01,0.000000000000000000e+00,9.442277421948481742e-01,4.966741210612665713e-02,-3.030876673055262269e-23,1.247224785790172624e-01,-2.697332554648260790e-04,-9.359542389877828494e-01,7.615574176751987133e-03,6.679168744955735367e-05,-4.909154540422685370e-02,2.613021775979227199e-20,-2.304792995905079861e-19,3.514606025772571803e-21,2.600000000000000314e-03
