Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.000000000000000000e+00,0.000000000000000000e+00,9.499999999999999556e-01,5.000000000000000278e-02,0.000000000000000000e+00,9.499999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.870026308090706912e-01,0.000000000000000000e+00,9.418082773667397767e-01,4.519435344233094232e-02,0.000000000000000000e+00,9.418082773667397767e-01,2.061477457696555930e-03,-2.389903635751396485e-03,4.519435344233094232e-02,1.593727957359019828e-03,4.103806814114585415e-03,0.000000000000000000e+00,-4.308952464470291882e-20,6.766222442933900775e-19,2.000000000000000096e-04
9.748253466470175876e-01,0.000000000000000000e+00,9.336189932008955861e-01,4.120635344612194606e-02,0.000000000000000000e+00,9.336189932008955861e-01,3.736663238277881244e-03,-4.332234239451948632e-03,4.120635344612194606e-02,2.889532107889479246e-03,7.440380116872967811e-03,0.000000000000000000e+00,-9.128138946348533120e-20,1.389992449093565989e-18,4.000000000000000192e-04
9.633357769970070095e-01,0.000000000000000000e+00,9.254448462118701757e-01,3.789093078513679907e-02,0.000000000000000000e+00,9.254448462118701757e-01,5.094442840999077911e-03,-5.906815732579852839e-03,3.789093078513679907e-02,3.940534135454716765e-03,1.014655451962604392e-02,0.000000000000000000e+00,2.105440911560605542e-18,-3.828313038680144050e-18,6.000000000000000559e-04
9.524249738296320933e-01,0.000000000000000000e+00,9.172961627648588134e-01,3.512881106477330762e-02,0.000000000000000000e+00,9.172961627648588134e-01,6.191449439743961641e-03,-7.179271233827085388e-03,3.512881106477330762e-02,4.790405979036974071e-03,1.233481726903956285e-02,0.000000000000000000e+00,-1.989338409247495082e-19,2.895039867808421961e-18,8.000000000000000383e-04
9.420032465737357974e-01,0.000000000000000000e+00,9.091813189473162415e-01,3.282192762641954892e-02,0.000000000000000000e+00,9.091813189473162415e-01,7.074242840762095912e-03,-8.203549071154820835e-03,3.282192762641954892e-02,5.475050634351165749e-03,1.409763993511956547e-02,0.000000000000000000e+00,6.559321679610887445e-19,1.865624606833416614e-18,1.000000000000000021e-03
9.319967379068013758e-01,0.000000000000000000e+00,9.011070877281434077e-01,3.088965017865801313e-02,0.000000000000000000e+00,9.011070877281434077e-01,7.781100937090981197e-03,-9.023999474569565499e-03,3.088965017865801313e-02,6.023983997467805517e-03,1.551103944348931375e-02,0.000000000000000000e+00,3.411356163153494425e-18,-7.422774765354655108e-18,1.200000000000000112e-03
9.223446085961498619e-01,0.000000000000000000e+00,8.930789245020264167e-01,2.926568409412341060e-02,0.000000000000000000e+00,8.930789245020264167e-01,8.343492572702075963e-03,-9.677081873154082595e-03,2.926568409412341060e-02,6.461470924984146977e-03,1.663750556036198980e-02,0.000000000000000000e+00,4.048499765685737391e-18,2.520830090913783116e-19,1.399999999999999986e-03
9.129967230597898498e-01,0.000000000000000000e+00,8.851012019526841579e-01,2.789552110710565372e-02,0.000000000000000000e+00,8.851012019526841579e-01,8.787288474025713517e-03,-1.019276850332824155e-02,2.789552110710565372e-02,6.807459227324803158e-03,1.752840754546015553e-02,0.000000000000000000e+00,-4.399428686037396822e-19,6.065338046482086105e-18,1.600000000000000077e-03
9.039117465844841437e-01,0.000000000000000000e+00,8.771774032285689637e-01,2.673434335591515915e-02,0.000000000000000000e+00,8.771774032285689637e-01,9.133756830602824187e-03,-1.059569834755810791e-02,2.673434335591515915e-02,7.078347536049495181e-03,1.822597263478260149e-02,0.000000000000000000e+00,-1.653648037046986450e-18,-1.938933921847172123e-17,1.800000000000000168e-03
8.950555809800828655e-01,0.000000000000000000e+00,8.693102808287130889e-01,2.574530015136977656e-02,0.000000000000000000e+00,8.693102808287130889e-01,9.400381822583566555e-03,-1.090612581395708144e-02,2.574530015136977656e-02,7.287616593377076873e-03,1.876491252949477606e-02,0.000000000000000000e+00,1.368602135985856563e-18,3.934501160797473047e-18,2.000000000000000042e-03
